,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,1990-10-04,1,30-232,NJD,,DET,T,0,0,0,0,0,0,0,0,0,,,,3,0.0,,,,,,,
1,1990-10-06,2,30-234,NJD,,PHI,W,1,0,1,1,0,1,0,0,0,,,,2,50.0,,,,,,,
2,1990-10-07,3,30-235,NJD,@,PIT,L,1,0,1,1,0,1,0,0,0,,,,3,33.3,,,,,,,
3,1990-10-09,4,30-237,NJD,,MNS,W,0,1,1,1,0,0,0,0,0,,,,0,,,,,,,,
4,1990-10-11,5,30-239,NJD,@,PHI,L,1,0,1,1,2,1,0,0,0,,,,2,50.0,,,,,,,
5,1990-10-13,6,30-241,NJD,,CGY,W,1,0,1,1,2,1,0,0,0,,,,4,25.0,,,,,,,
6,1990-10-17,7,30-245,NJD,,WSH,W,0,1,1,1,0,0,0,0,0,,,,2,0.0,,,,,,,
7,1990-10-19,8,30-247,NJD,,NYR,W,0,2,2,1,2,0,0,0,0,,,,0,,,,,,,,
8,1990-10-20,9,30-248,NJD,@,WSH,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,,,,,,,
9,1990-10-30,10,30-258,NJD,@,CGY,L,0,0,0,0,2,0,0,0,0,,,,1,0.0,,,,,,,
10,1990-11-03,11,30-262,NJD,@,EDM,W,0,1,1,1,0,0,0,0,0,,,,0,,,,,,,,
11,1990-11-07,12,30-266,NJD,,NYI,L,0,1,1,0,2,0,0,0,0,,,,1,0.0,,,,,,,
12,1990-11-10,13,30-269,NJD,@,MTL,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
13,1990-11-20,14,30-279,NJD,@,LAK,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
14,1991-10-16,1,31-244,NJD,@,NYR,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,,,,,,,
15,1991-10-18,2,31-246,NJD,@,WSH,L,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
16,1991-10-24,3,31-252,NJD,@,PIT,W,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
17,1991-10-26,4,31-254,NJD,,SJS,W,1,0,1,1,0,1,0,0,0,,,,5,20.0,,,,,,,
18,1991-10-29,5,31-257,NJD,@,VAN,L,0,0,0,-1,2,0,0,0,0,,,,0,,,,,,,,
19,1991-11-14,6,31-273,NJD,,NYI,L,0,2,2,0,4,0,0,0,0,,,,2,0.0,,,,,,,
20,1991-11-16,7,31-275,NJD,,WIN,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
