,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,2008-10-10,1,24-134,STL,,NSH,W,0,1,1,0,0,0,0,0,0,,,,2,0.0,24,15:30,0,1,0,1,0.0
1,2008-10-11,2,24-135,STL,@,NYI,L,0,0,0,-1,0,0,0,0,0,,,,2,0.0,13,9:30,0,2,0,0,
2,2008-10-13,3,24-137,STL,@,TOR,W,0,0,0,0,0,0,0,0,0,,,,0,,16,10:20,0,0,0,0,
3,2008-10-18,4,24-142,STL,,CHI,W,1,0,1,0,0,1,0,0,0,,,,2,50.0,16,11:18,1,0,0,0,
4,2008-10-22,5,24-146,STL,,DET,L,0,0,0,0,0,0,0,0,0,,,,0,,11,6:56,1,0,0,0,
5,2008-11-25,6,24-180,STL,@,NSH,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,14,9:37,1,0,1,1,50.0
6,2010-11-11,1,26-166,STL,,NSH,L-SO,0,0,0,0,0,0,0,0,0,,,,1,0.0,14,9:00,1,0,0,0,
7,2010-11-13,2,26-168,STL,@,PHX,L,0,0,0,0,0,0,0,0,0,,,,4,0.0,9,5:37,1,0,0,0,
8,2010-11-15,3,26-170,STL,@,COL,L,0,0,0,-1,2,0,0,0,0,,,,0,,15,7:02,3,0,0,0,
9,2010-11-19,4,26-174,STL,,OTT,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,11,6:09,1,0,1,0,100.0
10,2010-11-20,5,26-175,STL,,NJD,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,8,5:18,0,0,0,0,
11,2010-11-24,6,26-179,STL,@,NSH,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,10,5:43,2,0,0,0,
12,2010-11-26,7,26-181,STL,@,DAL,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,9,5:23,2,0,0,0,
13,2010-11-27,8,26-182,STL,,DAL,L,0,0,0,0,0,0,0,0,0,,,,0,,9,6:02,2,0,1,0,100.0
14,2010-11-30,9,26-185,STL,@,CHI,L,0,0,0,-1,5,0,0,0,0,,,,2,0.0,13,7:46,2,0,0,0,
15,2010-12-15,10,26-200,STL,@,DET,L,0,0,0,1,0,0,0,0,0,,,,1,0.0,17,10:17,2,0,0,1,0.0
16,2010-12-16,11,26-201,STL,,LAK,W,0,0,0,0,0,0,0,0,0,,,,0,,11,6:43,1,0,0,0,
17,2010-12-18,12,26-203,STL,,SJS,L,0,0,0,0,5,0,0,0,0,,,,1,0.0,13,10:10,2,0,0,0,
18,2010-12-20,13,26-205,STL,,VAN,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,9,5:35,3,0,0,0,
19,2010-12-21,14,26-206,STL,@,ATL,W,0,1,1,2,0,0,0,0,0,,,,0,,15,9:58,0,0,0,0,
20,2010-12-23,15,26-208,STL,,DET,W,0,0,0,0,0,0,0,0,0,,,,0,,9,6:21,3,1,1,0,100.0
21,2010-12-26,16,26-211,STL,,NSH,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,13,9:52,2,0,0,2,0.0
22,2010-12-28,17,26-213,STL,,CHI,W,0,0,0,0,0,0,0,0,0,,,,0,,9,4:55,1,0,0,0,
23,2010-12-31,18,26-216,STL,,PHX,W,0,0,0,0,0,0,0,0,0,,,,0,,14,8:44,3,0,1,0,100.0
24,2011-01-02,19,26-218,STL,,DAL,L,0,0,0,0,2,0,0,0,0,,,,0,,10,7:43,0,0,1,0,100.0
25,2011-01-06,20,26-222,STL,@,TOR,L-SO,0,0,0,-1,0,0,0,0,0,,,,3,0.0,12,8:08,1,0,0,0,
26,2011-01-08,21,26-224,STL,,NYR,L,0,0,0,-1,0,0,0,0,0,,,,0,,8,6:05,2,0,1,0,100.0
27,2011-01-10,22,26-226,STL,,PHX,L,0,0,0,-2,0,0,0,0,0,,,,1,0.0,9,4:48,0,0,0,0,
28,2011-01-12,23,26-228,STL,@,ANA,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,15,10:04,3,0,0,0,
29,2011-01-13,24,26-229,STL,@,LAK,W,0,1,1,1,0,0,0,0,0,,,,1,0.0,7,5:17,2,0,0,1,0.0
30,2011-01-15,25,26-231,STL,@,SJS,L,0,0,0,0,0,0,0,0,0,,,,0,,10,4:48,2,0,0,1,0.0
31,2011-03-01,26,26-276,STL,,CGY,L,0,0,0,0,0,0,0,0,0,,,,0,,16,11:22,3,0,0,0,
32,2011-03-03,27,26-278,STL,@,WSH,L,0,0,0,1,0,0,0,0,0,,,,2,0.0,18,11:22,3,0,0,0,
33,2011-03-05,28,26-280,STL,@,NYI,L,0,0,0,-2,2,0,0,0,0,,,,2,0.0,19,15:07,2,0,0,1,0.0
34,2011-03-07,29,26-282,STL,,CBJ,W,0,0,0,1,0,0,0,0,0,,,,3,0.0,28,16:44,3,0,0,0,
35,2011-03-09,30,26-284,STL,@,CBJ,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,26,15:58,3,1,0,0,
36,2011-03-10,31,26-285,STL,,MTL,W,0,0,0,-1,0,0,0,0,0,,,,1,0.0,24,15:23,1,0,1,0,100.0
37,2011-03-12,32,26-287,STL,,DET,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,26,17:01,2,0,0,0,
38,2011-03-16,33,26-291,STL,@,ANA,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,21,13:45,0,0,0,0,
39,2011-03-17,34,26-292,STL,@,LAK,W,0,1,1,1,0,0,0,0,0,,,,2,0.0,26,16:53,1,0,0,0,
40,2011-03-19,35,26-294,STL,@,SJS,L,0,0,0,-1,0,0,0,0,0,,,,3,0.0,18,13:49,1,0,1,0,100.0
41,2011-03-22,36,26-297,STL,@,PHX,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,24,15:48,0,0,0,0,
42,2011-03-24,37,26-299,STL,,EDM,W,0,0,0,0,0,0,0,0,0,,,,3,0.0,25,16:17,6,0,0,0,
43,2011-03-26,38,26-301,STL,@,MIN,W,0,0,0,1,0,0,0,0,0,,,,4,0.0,20,14:14,5,0,2,1,66.7
44,2011-03-29,39,26-304,STL,,MIN,L-SO,0,0,0,-1,0,0,0,0,0,,,,2,0.0,22,15:38,3,0,0,1,0.0
45,2011-03-30,40,26-305,STL,@,DET,W,2,1,3,2,0,2,0,0,0,,,,2,100.0,24,16:28,3,0,2,2,50.0
46,2011-04-01,41,26-307,STL,,CGY,L,0,0,0,-1,0,0,0,0,0,,,,0,,19,12:12,4,0,0,0,
47,2011-04-03,42,26-309,STL,@,CBJ,W,1,0,1,1,0,1,0,0,1,,,,1,100.0,16,11:10,2,2,0,0,
48,2011-04-05,43,26-311,STL,,COL,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,19,13:36,4,1,0,0,
49,2011-04-06,44,26-312,STL,@,CHI,L-OT,0,0,0,-2,0,0,0,0,0,,,,1,0.0,18,11:26,3,0,0,0,
50,2011-04-09,45,26-315,STL,,NSH,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,19,15:38,1,0,0,0,
51,2011-10-15,1,27-139,STL,@,SJS,W,0,0,0,0,0,0,0,0,0,,,,0,,11,6:57,3,0,0,0,
52,2011-10-16,2,27-140,STL,@,ANA,L,0,0,0,0,2,0,0,0,0,,,,0,,10,6:24,1,0,0,0,
53,2011-10-21,3,27-145,STL,,CAR,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,11,8:34,2,0,1,0,100.0
54,2011-10-22,4,27-146,STL,@,PHI,W,0,0,0,1,0,0,0,0,0,,,,0,,12,6:42,3,0,0,0,
55,2011-10-26,5,27-150,STL,@,VAN,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,12,8:47,5,0,0,1,0.0
56,2011-10-28,6,27-152,STL,@,CGY,L,0,0,0,0,0,0,0,0,0,,,,3,0.0,10,6:34,1,0,0,0,
57,2011-10-30,7,27-154,STL,@,EDM,L,0,0,0,-1,0,0,0,0,0,,,,0,,9,4:46,1,0,0,0,
58,2011-11-15,8,27-170,STL,,DET,W,0,0,0,-1,0,0,0,0,0,,,,3,0.0,12,7:14,2,0,0,0,
59,2011-11-17,9,27-172,STL,,FLA,W,1,0,1,1,0,1,0,0,1,,,,3,33.3,15,9:58,1,0,0,0,
60,2011-11-19,10,27-174,STL,@,MIN,L-SO,0,0,0,0,0,0,0,0,0,,,,1,0.0,19,13:36,7,0,0,0,
61,2011-11-22,11,27-177,STL,,LAK,L,0,0,0,0,2,0,0,0,0,,,,0,,15,11:17,3,0,0,0,
62,2011-11-27,12,27-182,STL,@,CBJ,W,0,0,0,0,0,0,0,0,0,,,,3,0.0,13,9:44,3,0,0,0,
