,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,2006-04-11,1,25-261,PHI,,PIT,W,0,0,0,0,0,0,0,0,0,,,,0,,9,5:45,,,,,
1,2006-12-19,1,26-148,PHI,,CAR,L,0,0,0,0,0,0,0,0,0,,,,0,,7,4:51,,,,,
2,2006-12-21,2,26-150,PHI,@,MTL,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,12,9:38,,,,,
3,2006-12-27,3,26-156,PHI,@,FLA,L,0,0,0,-1,0,0,0,0,0,,,,0,,12,8:25,,,,,
4,2006-12-28,4,26-157,PHI,@,TBL,W,0,0,0,0,0,0,0,0,0,,,,0,,5,2:59,,,,,
5,2006-12-31,5,26-160,PHI,@,CAR,W,0,0,0,0,0,0,0,0,0,,,,0,,5,2:51,,,,,
6,2007-01-02,6,26-162,PHI,@,NYI,W,0,0,0,1,0,0,0,0,0,,,,0,,10,6:40,,,,,
7,2007-01-04,7,26-164,PHI,@,NYR,L,0,0,0,0,0,0,0,0,0,,,,0,,12,9:01,,,,,
8,2007-01-06,8,26-166,PHI,@,BOS,L,0,0,0,0,2,0,0,0,0,,,,0,,10,4:28,,,,,
9,2007-01-07,9,26-167,PHI,@,OTT,L,0,0,0,-2,2,0,0,0,0,,,,0,,12,7:53,,,,,
10,2007-01-09,10,26-169,PHI,@,WSH,L,0,0,0,-1,0,0,0,0,0,,,,0,,15,7:46,,,,,
11,2007-01-11,11,26-171,PHI,,MTL,L,0,0,0,0,0,0,0,0,0,,,,0,,8,7:51,,,,,
12,2007-01-13,12,26-173,PHI,,PIT,L,0,0,0,0,0,0,0,0,0,,,,0,,13,6:11,,,,,
