,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,1997-10-09,1,25-220,TOR,@,VAN,T,0,0,0,0,0,0,0,0,0,,,,1,0.0,17,16:33,,,,,
1,1997-10-11,2,25-222,TOR,@,EDM,L,0,0,0,-1,0,0,0,0,0,,,,2,0.0,7,5:42,,,,,
2,1997-10-15,3,25-226,TOR,@,DET,W,0,0,0,1,0,0,0,0,0,,,,1,0.0,13,12:26,,,,,
3,1997-10-18,4,25-229,TOR,,DAL,L,0,1,1,-1,0,0,0,0,0,,,,1,0.0,16,12:57,,,,,
4,1997-10-22,5,25-233,TOR,,OTT,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,11,10:07,,,,,
5,1997-11-25,6,25-267,TOR,,SJS,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,18,14:06,,,,,
6,1997-11-29,7,25-271,TOR,,VAN,L,0,0,0,-1,0,0,0,0,0,,,,4,0.0,17,16:46,,,,,
7,1997-12-02,8,25-274,TOR,,MDA,T,0,0,0,1,0,0,0,0,0,,,,1,0.0,18,16:30,,,,,
8,1997-12-04,9,25-276,TOR,@,STL,L,0,0,0,-1,2,0,0,0,0,,,,0,,17,12:17,,,,,
9,1997-12-27,10,25-299,TOR,,DET,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,10,9:11,,,,,
10,1997-12-31,11,25-303,TOR,,BOS,T,0,0,0,-1,0,0,0,0,0,,,,2,0.0,14,13:42,,,,,
11,1998-01-01,12,25-304,TOR,@,CHI,T,0,1,1,1,2,0,0,0,0,,,,2,0.0,19,15:24,,,,,
12,1998-01-03,13,25-306,TOR,@,NJD,L,1,1,2,2,0,1,0,0,0,,,,2,50.0,18,16:57,,,,,
13,1998-01-06,14,25-309,TOR,@,WSH,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,15,14:43,,,,,
14,1998-01-07,15,25-310,TOR,@,TBL,W,1,0,1,2,0,1,0,0,0,,,,1,100.0,10,14:03,,,,,
15,1998-01-10,16,25-313,TOR,,CHI,L,0,1,1,1,0,0,0,0,0,,,,1,0.0,13,11:13,,,,,
16,1998-01-12,17,25-315,TOR,@,NYR,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,15,12:09,,,,,
17,1998-01-14,18,25-317,TOR,,BUF,L,0,0,0,-1,0,0,0,0,0,,,,3,0.0,15,14:08,,,,,
18,1998-01-21,19,25-324,TOR,@,DET,W,0,0,0,0,0,0,0,0,0,,,,3,0.0,13,12:10,,,,,
19,1998-01-22,20,25-325,TOR,@,CHI,W,0,0,0,0,0,0,0,0,0,,,,0,,10,6:39,,,,,
20,1998-01-24,21,25-327,TOR,,TBL,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,14,12:14,,,,,
21,1998-01-26,22,25-329,TOR,@,DAL,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,14,13:45,,,,,
22,1998-02-28,23,25-362,TOR,,MTL,W,0,0,0,0,0,0,0,0,0,,,,0,,12,12:02,,,,,
23,1998-03-02,24,25-364,TOR,@,PIT,L,0,0,0,-1,0,0,0,0,0,,,,2,0.0,11,7:09,,,,,
24,1998-03-04,25,26-001,TOR,,COL,L,0,0,0,-1,4,0,0,0,0,,,,0,,12,8:43,,,,,
25,1998-03-19,26,26-016,TOR,@,BOS,L,0,0,0,0,0,0,0,0,0,,,,3,0.0,17,13:39,,,,,
26,1998-03-21,27,26-018,TOR,,VAN,T,0,0,0,0,0,0,0,0,0,,,,0,,14,9:58,,,,,
27,1998-03-24,28,26-021,TOR,@,PHX,L,0,0,0,0,0,0,0,0,0,,,,0,,12,9:01,,,,,
28,1998-03-26,29,26-023,TOR,@,DAL,W,0,0,0,0,0,0,0,0,0,,,,0,,9,8:36,,,,,
29,1999-10-02,1,27-213,ATL,,NJD,L,0,1,1,0,0,0,0,0,0,,,,1,0.0,20,14:36,,,,,
30,1999-10-07,2,27-218,ATL,,DET,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,9,22:39,,,,,
31,1999-10-17,3,27-228,ATL,@,NYR,L,0,0,0,0,0,0,0,0,0,,,,3,0.0,15,12:36,,,,,
