,date_game,game_season,age,team_id,game_location,opp_id,game_result,decision,goals_against,shots_against,saves,save_pct,shutouts,pen_min,time_on_ice
0,2006-12-02,1,20-154,TBL,@,OTT,L,,2,18,16,.889,0,0,51:43
1,2007-03-24,2,20-266,TBL,,OTT,L,,2,5,3,.600,0,0,17:48
2,2007-12-20,1,21-172,TBL,,TOR,W,W,1,32,31,.969,0,0,59:55
3,2007-12-22,2,21-174,TBL,,CAR,L,L,2,35,33,.943,0,0,59:07
4,2007-12-26,3,21-178,TBL,@,WSH,L,L,3,32,29,.906,0,0,59:33
5,2007-12-27,4,21-179,TBL,,MTL,L,,2,14,12,.857,0,0,26:05
6,2007-12-29,5,21-181,TBL,,PHI,L,L,4,22,18,.818,0,2,59:12
7,2008-01-01,6,21-184,TBL,@,TOR,L-SO,O,3,29,26,.897,0,0,64:18
8,2008-01-03,7,21-186,TBL,@,MTL,L,L,6,30,24,.800,0,2,60:00
9,2008-01-08,8,21-191,TBL,@,NYR,W,W,3,34,31,.912,0,0,59:57
10,2008-01-10,9,21-193,TBL,,PIT,L,L,3,28,25,.893,0,0,58:36
11,2008-01-15,10,21-198,TBL,,COL,L,L,2,24,22,.917,0,0,59:10
12,2008-01-24,11,21-207,TBL,,OTT,L,L,5,12,7,.583,0,0,40:00
13,2008-01-31,12,21-214,TBL,,VAN,W,W,3,26,23,.885,0,0,59:53
14,2008-02-02,13,21-216,TBL,,FLA,L,L,3,32,29,.906,0,0,59:08
15,2008-02-12,14,21-226,TBL,,MTL,W,W,2,21,19,.905,0,0,60:00
16,2008-02-21,15,21-235,TBL,@,NYI,L,L,1,28,27,.964,0,0,59:33
17,2008-03-07,16,21-250,TBL,@,NJD,L-OT,O,2,33,31,.939,0,0,64:02
18,2008-03-11,17,21-254,TBL,,NYI,W,W,4,24,20,.833,0,0,60:00
19,2008-03-19,18,21-262,TBL,@,BUF,L,L,6,31,25,.806,0,0,58:17
20,2008-03-25,19,21-268,TBL,,FLA,W,W,1,35,34,.971,0,0,60:00
21,2008-03-27,20,21-270,TBL,,WSH,L-OT,O,4,32,28,.875,0,0,62:27
22,2008-03-29,21,21-272,TBL,,CAR,W,W,1,39,38,.974,0,0,59:59
23,2008-04-03,22,21-277,TBL,@,WSH,L,L,3,39,36,.923,0,0,59:31
24,2008-11-23,1,22-145,TBL,,NJD,L,,2,17,15,.882,0,0,28:21
25,2009-01-09,2,22-192,TBL,@,ANA,W,W,3,32,29,.906,0,0,59:43
26,2009-01-13,3,22-196,TBL,@,SJS,L,L,7,42,35,.833,0,0,60:00
27,2009-02-03,4,22-217,TBL,@,NYI,L,L,3,16,13,.813,0,0,29:49
28,2009-02-14,5,22-228,TBL,,WSH,L,,2,20,18,.900,0,0,40:00
29,2009-02-17,6,22-231,TBL,,CHI,L,L,5,49,44,.898,0,0,58:36
30,2009-02-19,7,22-233,TBL,,NJD,L-SO,O,2,40,38,.950,0,0,64:59
31,2009-02-22,8,22-236,TBL,,BOS,W,W,3,43,40,.930,0,0,60:00
32,2009-02-24,9,22-238,TBL,@,EDM,L,L,4,44,40,.909,0,0,58:39
33,2009-02-27,10,22-241,TBL,@,VAN,L,L,2,25,23,.920,0,0,59:14
34,2009-03-03,11,22-245,TBL,,PIT,L,L,3,33,30,.909,0,0,58:58
35,2009-03-06,12,22-248,TBL,,STL,L-OT,O,4,36,32,.889,0,0,59:56
36,2009-03-07,13,22-249,TBL,,CAR,L,L,6,22,16,.727,0,0,29:47
37,2009-03-11,14,22-253,TBL,@,OTT,L-OT,O,3,27,24,.889,0,0,62:31
38,2009-03-12,15,22-254,TBL,@,TOR,W,W,1,21,20,.952,0,0,59:48
39,2009-03-14,16,22-256,TBL,@,FLA,W,W,3,37,34,.919,0,0,65:00
40,2009-03-17,17,22-259,TBL,,TOR,L-SO,O,3,39,36,.923,0,0,64:55
41,2009-03-21,18,22-263,TBL,,ATL,L-SO,O,3,36,33,.917,0,0,65:00
42,2009-03-26,19,22-268,TBL,@,MTL,L-OT,O,3,36,33,.917,0,2,61:45
43,2009-03-29,20,22-271,TBL,,OTT,L,L,3,29,26,.897,0,0,60:00
44,2009-04-03,21,22-276,TBL,@,NJD,L-OT,O,5,39,34,.872,0,0,61:21
45,2009-04-07,22,22-280,TBL,,PIT,L,L,5,30,25,.833,0,0,58:48
46,2009-04-09,23,22-282,TBL,,WSH,L,L,3,32,29,.906,0,0,58:53
47,2009-04-11,24,22-284,TBL,@,ATL,L,,2,11,9,.818,0,0,25:51
48,2013-10-03,1,27-094,CGY,@,WSH,L-SO,O,4,39,35,.897,0,0,65:00
49,2013-10-19,2,27-110,CGY,@,SJS,L,L,5,35,30,.857,0,0,58:30
50,2013-10-21,3,27-112,CGY,@,LAK,W,W,2,29,27,.931,0,0,59:44
51,2013-10-24,4,27-115,CGY,@,DAL,L,L,5,34,29,.853,0,2,59:32
52,2013-10-26,5,27-117,CGY,,WSH,W,W,2,29,27,.931,0,0,60:00
53,2013-10-30,6,27-121,CGY,,TOR,L,L,3,21,18,.857,0,0,58:16
54,2013-11-08,7,27-130,CGY,@,COL,L,L,3,26,23,.885,0,0,58:40
55,2013-11-14,8,27-136,CGY,,DAL,L,\,3,15,12,.800,0,0,31:28
56,2013-11-29,9,27-151,CGY,@,ANA,L,\,0,4,4,1.000,0,0,8:34
57,2013-11-30,10,27-152,CGY,@,LAK,W,W,1,22,21,.955,0,0,60:00
58,2013-12-04,11,27-156,CGY,,PHX,W,W,1,30,29,.967,0,4,59:56
59,2013-12-06,12,27-158,CGY,,COL,L,L,3,25,22,.880,0,0,59:03
60,2013-12-12,13,27-164,CGY,,CAR,W,W,1,30,29,.967,0,0,64:29
61,2013-12-14,14,27-166,CGY,@,BUF,W,W,1,27,26,.963,0,0,60:14
62,2013-12-15,15,27-167,CGY,@,NYR,L-SO,O,3,32,29,.906,0,2,65:00
63,2013-12-19,16,27-171,CGY,@,DET,L-OT,O,3,38,35,.921,0,0,60:48
64,2013-12-21,17,27-173,CGY,@,PIT,L,L,4,23,19,.826,0,0,58:01
65,2014-01-03,18,27-186,CGY,,TBL,L,L,2,29,27,.931,0,0,59:34
66,2014-01-06,19,27-189,CGY,@,COL,W,W,3,25,22,.880,0,0,60:00
67,2014-01-09,20,27-192,CGY,,STL,L,L,5,29,24,.828,0,0,59:40
68,2014-01-13,21,27-196,CGY,@,CAR,W,W,0,23,23,1.000,1,0,59:57
69,2014-01-14,22,27-197,CGY,@,NSH,L,L,4,34,30,.882,0,0,57:51
70,2014-01-18,23,27-201,CGY,@,VAN,L-SO,O,2,33,31,.939,0,0,65:00
71,2014-01-20,24,27-203,CGY,@,SJS,L,L,3,27,24,.889,0,0,58:30
72,2014-01-22,25,27-205,CGY,,PHX,W,W,2,32,30,.938,0,0,60:00
73,2014-01-24,26,27-207,CGY,,NSH,W,\,3,12,9,.750,0,0,26:00
74,2014-01-28,27,27-211,CGY,,CHI,W,W,0,9,9,1.000,0,0,22:26
75,2014-01-30,28,27-213,CGY,,SJS,W,W,1,28,27,.964,0,0,60:00
76,2014-02-01,29,27-215,CGY,,MIN,W,\,0,6,6,1.000,0,0,17:32
77,2014-03-22,30,27-264,CGY,@,EDM,W,W,1,25,24,.960,0,0,59:59
78,2014-03-24,31,27-266,CGY,,SJS,W,W,1,34,33,.971,0,0,65:00
79,2014-03-26,32,27-268,CGY,,ANA,L,L,3,34,31,.912,0,0,58:39
80,2014-03-28,33,27-270,CGY,,NYR,W,W,3,41,38,.927,0,0,60:00
81,2014-03-30,34,27-272,CGY,@,OTT,L,L,5,36,31,.861,0,0,59:45
82,2014-04-01,35,27-274,CGY,@,TOR,L,L,3,22,19,.864,0,0,59:02
83,2014-04-03,36,27-276,CGY,@,TBL,W,W,1,32,31,.969,0,0,60:00
84,2014-04-07,37,27-280,CGY,@,NJD,W,W,0,31,31,1.000,1,2,60:00
85,2014-04-09,38,27-282,CGY,,LAK,W,W,3,44,41,.932,0,0,65:00
86,2014-04-11,39,27-284,CGY,,WPG,L,L,4,26,22,.846,0,0,58:47
87,2014-04-13,40,27-286,CGY,@,VAN,L,L,4,20,16,.800,0,0,33:49
88,2014-10-09,1,28-100,CGY,@,EDM,W,W,2,40,38,.950,0,0,60:00
89,2014-10-14,2,28-105,CGY,@,NSH,W,W,2,21,19,.905,0,0,65:00
90,2014-10-17,3,28-108,CGY,@,CBJ,L,L,3,26,23,.885,0,0,58:22
91,2014-10-21,4,28-112,CGY,,TBL,L-OT,O,2,22,20,.909,0,0,62:43
92,2014-10-25,5,28-116,CGY,,WSH,L,L,3,30,27,.900,0,0,57:11
93,2014-11-08,6,28-130,CGY,@,FLA,W,,4,22,18,.818,0,0,33:31
94,2014-11-15,7,28-137,CGY,,OTT,W,W,2,25,23,.920,0,0,59:19
95,2014-11-22,8,28-144,CGY,,NJD,W,W,4,29,25,.862,0,0,62:44
96,2014-11-26,9,28-148,CGY,@,SJS,W,W,0,32,32,1.000,1,0,60:00
97,2014-11-29,10,28-151,CGY,@,ARI,W,W,0,26,26,1.000,1,0,60:00
