,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,2015-12-08,1,25-158,CHI,,NSH,W,1,0,1,1,0,1,0,0,0,0,0,0,1,100.0,15,8:33,2,0,1,3,25.0
1,2015-12-10,2,25-160,CHI,@,NSH,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,17,11:26,1,0,5,4,55.6
2,2015-12-11,3,25-161,CHI,,WPG,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,12,6:58,0,1,1,2,33.3
3,2015-12-13,4,25-163,CHI,,VAN,W,1,1,2,2,0,1,0,0,0,1,0,0,3,33.3,14,9:56,1,1,5,3,62.5
4,2015-12-15,5,25-165,CHI,,COL,L,0,0,0,-1,0,0,0,0,0,0,0,0,4,0.0,14,10:41,1,0,3,3,50.0
5,2015-12-17,6,25-167,CHI,,EDM,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,17,13:49,0,0,2,6,25.0
6,2015-12-19,7,25-169,CHI,@,BUF,W,1,0,1,1,0,1,0,0,0,0,0,0,1,100.0,14,11:06,0,1,4,2,66.7
7,2015-12-20,8,25-170,CHI,,SJS,W,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,14,6:59,2,0,5,3,62.5
8,2015-12-22,9,25-172,CHI,@,DAL,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,18,10:51,0,1,3,5,37.5
9,2015-12-27,10,25-177,CHI,,CAR,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,12,9:59,0,0,2,2,50.0
10,2015-12-29,11,25-179,CHI,@,ARI,W,0,0,0,1,2,0,0,0,0,0,0,0,0,,11,6:21,0,1,3,2,60.0
11,2015-12-31,12,25-181,CHI,@,COL,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,12,8:04,0,0,1,3,25.0
12,2016-01-03,13,25-184,CHI,,OTT,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,12,8:15,2,0,4,3,57.1
13,2016-01-05,14,25-186,CHI,@,PIT,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,13,6:30,0,0,0,2,0.0
14,2016-01-06,15,25-187,CHI,,PIT,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,10,6:27,0,1,3,3,50.0
15,2016-01-08,16,25-189,CHI,,BUF,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,11,7:23,1,1,4,3,57.1
16,2016-01-10,17,25-191,CHI,,COL,W,0,1,1,1,2,0,0,0,0,1,0,0,0,,15,10:50,1,0,6,5,54.5
17,2016-01-12,18,25-193,CHI,,NSH,W,0,1,1,2,0,0,0,0,0,1,0,0,0,,11,6:38,1,0,4,2,66.7
18,2016-01-14,19,25-195,CHI,@,MTL,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,17,10:10,0,2,7,1,87.5
19,2016-01-15,20,25-196,CHI,@,TOR,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,15,8:14,2,0,2,6,25.0
