,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,2018-10-04,1,19-170,DET,,CBJ,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,14,12:06,2,0,0,0,
1,2018-10-07,2,19-173,DET,@,LAK,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,19,13:36,1,0,0,0,
2,2018-10-08,3,19-174,DET,@,ANA,L-SO,0,1,1,1,0,0,0,0,0,1,0,0,2,0.0,14,11:13,2,0,1,1,50.0
3,2018-10-11,4,19-177,DET,,TOR,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,10:24,0,0,0,1,0.0
4,2018-10-13,5,19-179,DET,@,BOS,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,20,15:30,2,1,3,1,75.0
5,2018-10-18,6,19-184,DET,@,TBL,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,9:56,0,1,0,0,
6,2018-10-20,7,19-186,DET,@,FLA,W,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,21,13:15,1,0,0,1,0.0
7,2018-10-22,8,19-188,DET,,CAR,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,19,13:22,2,1,1,0,100.0
8,2018-10-28,9,19-194,DET,,DAL,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,14:32,1,0,1,2,33.3
9,2018-10-30,10,19-196,DET,@,CBJ,W,1,0,1,-1,2,0,1,0,0,0,0,0,4,25.0,20,13:29,2,1,0,5,0.0
10,2018-11-01,11,19-198,DET,,NJD,W,1,0,1,0,0,0,1,0,0,0,0,0,1,100.0,19,14:07,2,1,0,1,0.0
11,2018-11-03,12,19-200,DET,,EDM,L,0,1,1,0,0,0,0,0,0,1,0,0,3,0.0,24,17:31,0,0,1,2,33.3
12,2018-11-06,13,19-203,DET,,VAN,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,23,15:45,3,0,0,1,0.0
13,2018-11-09,14,19-206,DET,,NYR,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,12:45,0,0,0,0,
14,2018-11-10,15,19-207,DET,@,CAR,W,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,13,9:41,4,0,0,0,
15,2018-11-13,16,19-210,DET,,ARI,W,1,0,1,-1,2,0,1,0,0,0,0,0,1,100.0,18,13:29,1,1,0,0,
16,2018-11-15,17,19-212,DET,@,OTT,L,1,0,1,1,0,1,0,0,0,0,0,0,2,50.0,12,10:47,3,0,1,2,33.3
17,2018-11-17,18,19-214,DET,@,NJD,W,1,0,1,0,0,1,0,0,0,0,0,0,1,100.0,18,13:41,1,0,0,1,0.0
