,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,2009-01-20,1,22-279,OTT,,WSH,W,0,0,0,0,0,0,0,0,0,,,,0,,14,10:08,0,1,4,4,50.0
1,2009-01-27,2,22-286,OTT,,NJD,L,0,0,0,0,0,0,0,0,0,,,,0,,13,9:55,1,0,7,0,100.0
2,2009-01-29,3,22-288,OTT,@,STL,W,1,0,1,1,0,1,0,0,1,,,,1,100.0,12,7:29,1,0,2,3,40.0
3,2009-01-30,4,22-289,OTT,@,CBJ,L,0,0,0,0,0,0,0,0,0,,,,0,,10,9:03,1,0,0,3,0.0
4,2009-02-01,5,22-291,OTT,@,WSH,L,0,0,0,-1,0,0,0,0,0,,,,2,0.0,18,13:09,0,1,8,2,80.0
5,2009-02-03,6,22-293,OTT,,LAK,L,0,0,0,0,0,0,0,0,0,,,,0,,15,11:47,1,0,2,1,66.7
6,2009-03-05,7,22-323,OTT,,EDM,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,15,8:57,0,1,5,2,71.4
7,2009-03-07,8,22-325,OTT,,BUF,W,0,1,1,1,2,0,0,0,0,,,,1,0.0,15,12:58,1,0,6,7,46.2
8,2009-03-09,9,22-327,OTT,,TOR,W,0,0,0,0,0,0,0,0,0,,,,0,,14,12:11,1,0,4,5,44.4
9,2009-03-11,10,22-329,OTT,,TBL,W,0,0,0,0,0,0,0,0,0,,,,0,,13,11:39,2,0,1,4,20.0
10,2009-03-12,11,22-330,OTT,@,BOS,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,14,8:40,1,0,2,5,28.6
11,2009-10-03,1,23-170,OTT,@,NYR,L,1,0,1,1,2,1,0,0,0,,,,4,25.0,18,13:41,3,0,4,3,57.1
12,2009-10-06,2,23-173,OTT,@,TOR,W,0,0,0,0,0,0,0,0,0,,,,0,,14,8:41,0,0,2,4,33.3
13,2009-10-08,3,23-175,OTT,,NYI,W,1,0,1,2,0,1,0,0,0,,,,1,100.0,18,12:17,0,0,4,5,44.4
14,2009-10-10,4,23-177,OTT,,ATL,W,0,1,1,0,0,0,0,0,0,,,,2,0.0,16,11:35,2,0,4,3,57.1
15,2009-10-22,5,23-189,OTT,,NSH,L-OT,0,1,1,1,0,0,0,0,0,,,,0,,16,14:13,0,0,0,7,0.0
16,2009-10-24,6,23-191,OTT,,BOS,L-SO,0,0,0,0,0,0,0,0,0,,,,2,0.0,16,14:10,1,0,0,3,0.0
17,2009-10-28,7,23-195,OTT,@,FLA,W,0,0,0,0,0,0,0,0,0,,,,0,,13,10:31,0,0,4,2,66.7
18,2009-10-29,8,23-196,OTT,@,TBL,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,18,13:15,0,0,5,6,45.5
19,2009-10-31,9,23-198,OTT,,ATL,L,0,0,0,0,0,0,0,0,0,,,,3,0.0,18,13:18,2,1,7,7,50.0
20,2009-11-05,10,23-203,OTT,,TBL,W,0,0,0,0,0,0,0,0,0,,,,0,,18,11:06,1,0,2,7,22.2
21,2009-11-07,11,23-205,OTT,,NJD,L,0,0,0,0,2,0,0,0,0,,,,1,0.0,13,11:13,1,1,4,1,80.0
22,2009-11-10,12,23-208,OTT,,EDM,W,0,0,0,1,0,0,0,0,0,,,,2,0.0,13,8:43,0,0,4,3,57.1
23,2009-11-12,13,23-210,OTT,@,PHI,L,0,0,0,0,0,0,0,0,0,,,,0,,13,10:30,1,1,5,4,55.6
24,2009-11-14,14,23-212,OTT,,NYR,L-SO,0,0,0,0,0,0,0,0,0,,,,2,0.0,17,11:44,2,0,5,6,45.5
25,2009-11-21,15,23-219,OTT,,BUF,W,0,0,0,0,2,0,0,0,0,,,,1,0.0,10,6:16,0,0,0,0,
26,2009-11-23,16,23-221,OTT,,WSH,W,1,0,1,1,0,1,0,0,0,,,,1,100.0,16,13:45,3,1,2,1,66.7
27,2009-11-25,17,23-223,OTT,@,NJD,L,0,0,0,0,0,0,0,0,0,,,,0,,12,10:21,0,1,5,4,55.6
28,2009-11-26,18,23-224,OTT,,CBJ,W,0,0,0,0,0,0,0,0,0,,,,0,,6,4:47,0,1,1,3,25.0
29,2009-11-28,19,23-226,OTT,@,BOS,L-SO,0,0,0,0,0,0,0,0,0,,,,2,0.0,13,8:47,0,0,0,0,
30,2009-12-03,20,23-231,OTT,@,LAK,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,12,7:46,0,0,0,0,
31,2009-12-05,21,23-233,OTT,@,PHX,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,10,7:32,4,0,2,0,100.0
32,2009-12-06,22,23-234,OTT,@,ANA,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,9,6:50,0,0,0,0,
33,2009-12-08,23,23-236,OTT,,MTL,L,0,0,0,-1,0,0,0,0,0,,,,4,0.0,17,10:53,0,0,0,1,0.0
34,2009-12-10,24,23-238,OTT,@,PHI,W,0,0,0,0,0,0,0,0,0,,,,0,,7,5:17,0,0,0,0,
35,2009-12-12,25,23-240,OTT,,CAR,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,10,8:22,1,0,0,0,
36,2009-12-14,26,23-242,OTT,@,TOR,L,0,0,0,-1,0,0,0,0,0,,,,0,,9,6:31,0,0,0,1,0.0
37,2009-12-16,27,23-244,OTT,,BUF,W,0,1,1,1,0,0,0,0,0,,,,5,0.0,17,13:21,1,0,1,1,50.0
38,2009-12-18,28,23-246,OTT,@,NJD,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,18,13:54,1,0,0,0,
