,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,1990-10-08,1,19-105,CGY,@,WIN,W,0,0,0,-1,0,0,0,0,0,,,,0,,,,,,,,
1,1990-10-10,2,19-107,CGY,@,DET,L,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
2,1990-10-20,3,19-117,CGY,,BOS,W,1,1,2,2,2,1,0,0,0,,,,2,50.0,,,,,,,
3,1990-10-21,4,19-118,CGY,@,EDM,W,0,0,0,0,0,0,0,0,0,,,,3,0.0,,,,,,,
4,1990-10-23,5,19-120,CGY,@,LAK,L,0,0,0,-1,0,0,0,0,0,,,,2,0.0,,,,,,,
5,1990-10-25,6,19-122,CGY,,EDM,W,0,2,2,1,0,0,0,0,0,,,,0,,,,,,,,
6,1990-10-27,7,19-124,CGY,,WSH,W,1,0,1,0,0,1,0,0,0,,,,1,100.0,,,,,,,
7,1990-10-30,8,19-127,CGY,,NJD,W,1,0,1,1,0,1,0,0,0,,,,2,50.0,,,,,,,
8,1990-11-01,9,19-129,CGY,,WIN,W,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
9,1990-11-03,10,19-131,CGY,@,TOR,W,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
10,1990-11-11,11,19-139,CGY,@,NYR,T,0,0,0,1,0,0,0,0,0,,,,0,,,,,,,,
11,1990-11-15,12,19-143,CGY,,NYI,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
12,1990-11-17,13,19-145,CGY,,BUF,T,0,0,0,0,4,0,0,0,0,,,,2,0.0,,,,,,,
13,1990-11-19,14,19-147,CGY,@,VAN,W,1,0,1,2,0,1,0,0,0,,,,4,25.0,,,,,,,
14,1990-11-22,15,19-150,CGY,,LAK,W,2,0,2,1,2,1,1,0,1,,,,2,100.0,,,,,,,
15,1990-11-24,16,19-152,CGY,,CHI,L,0,0,0,0,0,0,0,0,0,,,,4,0.0,,,,,,,
16,1990-11-28,17,19-156,CGY,@,WIN,T,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
17,1990-12-01,18,19-159,CGY,@,MTL,W,0,1,1,0,0,0,0,0,0,,,,1,0.0,,,,,,,
18,1990-12-02,19,19-160,CGY,@,QUE,T,2,0,2,0,2,2,0,0,0,,,,6,33.3,,,,,,,
19,1990-12-05,20,19-163,CGY,,NYR,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
20,1990-12-07,21,19-165,CGY,,QUE,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,,,,,,,
21,1990-12-09,22,19-167,CGY,@,EDM,W,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
22,1990-12-11,23,19-169,CGY,@,MNS,W,2,0,2,0,0,1,1,0,1,,,,4,50.0,,,,,,,
23,1990-12-13,24,19-171,CGY,@,LAK,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
24,1990-12-16,25,19-174,CGY,@,VAN,W,0,0,0,0,2,0,0,0,0,,,,0,,,,,,,,
25,1990-12-18,26,19-176,CGY,,VAN,L,1,0,1,-2,0,0,1,0,0,,,,2,50.0,,,,,,,
26,1990-12-20,27,19-178,CGY,,LAK,L,0,0,0,-1,0,0,0,0,0,,,,2,0.0,,,,,,,
27,1990-12-22,28,19-180,CGY,,EDM,L,1,0,1,1,0,1,0,0,0,,,,4,25.0,,,,,,,
28,1990-12-27,29,19-185,CGY,@,EDM,L,0,0,0,-1,2,0,0,0,0,,,,2,0.0,,,,,,,
29,1990-12-29,30,19-187,CGY,,HAR,W,0,2,2,2,0,0,0,0,0,,,,2,0.0,,,,,,,
30,1990-12-31,31,19-189,CGY,,MTL,W,1,1,2,3,0,1,0,0,0,,,,3,33.3,,,,,,,
31,1991-01-02,32,19-191,CGY,@,WIN,T,0,0,0,-1,2,0,0,0,0,,,,2,0.0,,,,,,,
32,1991-01-05,33,19-194,CGY,,DET,W,0,1,1,1,0,0,0,0,0,,,,2,0.0,,,,,,,
33,1991-01-08,34,19-197,CGY,@,TOR,W,0,0,0,1,0,0,0,0,0,,,,5,0.0,,,,,,,
34,1991-01-10,35,19-199,CGY,@,PIT,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,,,,,,,
35,1991-01-11,36,19-200,CGY,@,WSH,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,,,,,,,
36,1991-01-22,37,19-211,CGY,@,PHI,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,,,,,,,
37,1991-01-23,38,19-212,CGY,@,HAR,L,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
38,1991-01-26,39,19-215,CGY,@,BOS,L,0,0,0,0,0,0,0,0,0,,,,3,0.0,,,,,,,
39,1991-01-27,40,19-216,CGY,@,BUF,W,0,1,1,0,0,0,0,0,0,,,,2,0.0,,,,,,,
40,1991-01-30,41,19-219,CGY,,NYR,W,0,1,1,0,0,0,0,0,0,,,,0,,,,,,,,
41,1991-02-02,42,19-222,CGY,,CHI,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
42,1991-02-05,43,19-225,CGY,@,NJD,L,0,0,0,0,0,0,0,0,0,,,,3,0.0,,,,,,,
43,1991-02-07,44,19-227,CGY,@,BOS,W,0,1,1,1,0,0,0,0,0,,,,1,0.0,,,,,,,
44,1991-02-09,45,19-229,CGY,@,HAR,W,0,2,2,1,0,0,0,0,0,,,,1,0.0,,,,,,,
45,1991-02-12,46,19-232,CGY,@,LAK,T,0,0,0,-1,2,0,0,0,0,,,,1,0.0,,,,,,,
46,1991-02-15,47,19-235,CGY,,WSH,W,0,1,1,1,0,0,0,0,0,,,,1,0.0,,,,,,,
47,1991-02-17,48,19-237,CGY,,STL,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
48,1991-02-19,49,19-239,CGY,,DET,T,0,1,1,1,0,0,0,0,0,,,,2,0.0,,,,,,,
49,1991-02-21,50,19-241,CGY,,VAN,W,1,0,1,0,0,1,0,0,0,,,,5,20.0,,,,,,,
50,1991-02-23,51,19-243,CGY,,QUE,W,0,0,0,-2,0,0,0,0,0,,,,1,0.0,,,,,,,
51,1991-02-25,52,19-245,CGY,@,VAN,L,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
52,1991-02-27,53,19-247,CGY,,EDM,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,,,,,,,
53,1991-03-01,54,19-249,CGY,,PIT,W,1,2,3,3,0,1,0,0,1,,,,5,20.0,,,,,,,
54,1991-03-02,55,19-250,CGY,,MNS,W,0,0,0,0,0,0,0,0,0,,,,4,0.0,,,,,,,
55,1991-03-04,56,19-252,CGY,,MTL,W,0,0,0,0,0,0,0,0,0,,,,5,0.0,,,,,,,
56,1991-03-07,57,19-255,CGY,,PHI,W,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
57,1991-03-09,58,19-257,CGY,@,STL,W,1,0,1,1,0,1,0,0,0,,,,3,33.3,,,,,,,
58,1991-03-10,59,19-258,CGY,@,MNS,L,0,1,1,0,0,0,0,0,0,,,,3,0.0,,,,,,,
59,1991-03-12,60,19-260,CGY,,WIN,W,0,0,0,0,4,0,0,0,0,,,,3,0.0,,,,,,,
60,1991-03-14,61,19-262,CGY,,NYI,W,0,0,0,0,0,0,0,0,0,,,,4,0.0,,,,,,,
61,1991-03-16,62,19-264,CGY,,LAK,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
62,1991-03-26,63,19-274,CGY,,VAN,W,1,2,3,3,0,1,0,0,0,,,,5,20.0,,,,,,,
63,1991-03-28,64,19-276,CGY,,EDM,T,0,1,1,0,0,0,0,0,0,,,,3,0.0,,,,,,,
64,1991-03-29,65,19-277,CGY,@,EDM,L,2,1,3,1,0,2,0,0,0,,,,3,66.7,,,,,,,
65,1991-03-31,66,19-279,CGY,,LAK,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
66,1991-10-04,1,20-101,CGY,,EDM,W,1,1,2,2,0,0,1,0,1,,,,3,33.3,,,,,,,
67,1991-10-06,2,20-103,CGY,@,WIN,L,0,0,0,-1,10,0,0,0,0,,,,1,0.0,,,,,,,
68,1991-10-08,3,20-105,CGY,@,SJS,L,2,0,2,0,0,1,1,0,0,,,,3,66.7,,,,,,,
69,1991-10-10,4,20-107,CGY,@,LAK,W,0,1,1,1,2,0,0,0,0,,,,0,,,,,,,,
70,1991-10-12,5,20-109,CGY,@,EDM,L,0,0,0,-1,0,0,0,0,0,,,,4,0.0,,,,,,,
71,1991-10-15,6,20-112,CGY,,MNS,W,1,0,1,1,0,1,0,0,0,,,,5,20.0,,,,,,,
72,1991-10-17,7,20-114,CGY,,TOR,W,1,2,3,3,0,1,0,0,0,,,,3,33.3,,,,,,,
73,1991-10-19,8,20-116,CGY,@,VAN,L,0,0,0,0,2,0,0,0,0,,,,3,0.0,,,,,,,
74,1991-10-22,9,20-119,CGY,@,MNS,W,0,0,0,1,2,0,0,0,0,,,,0,,,,,,,,
75,1991-10-24,10,20-121,CGY,@,CHI,W,0,1,1,-1,0,0,0,0,0,,,,1,0.0,,,,,,,
76,1991-10-26,11,20-123,CGY,@,STL,T,1,0,1,0,0,0,1,0,0,,,,3,33.3,,,,,,,
77,1991-10-30,12,20-127,CGY,,NJD,L,0,0,0,-2,0,0,0,0,0,,,,1,0.0,,,,,,,
78,1991-11-01,13,20-129,CGY,@,WIN,W,2,1,3,1,0,1,1,0,1,,,,5,40.0,,,,,,,
79,1991-11-04,14,20-132,CGY,@,NYR,L,0,0,0,-1,0,0,0,0,0,,,,5,0.0,,,,,,,
80,1991-11-06,15,20-134,CGY,@,HAR,W,1,0,1,0,0,1,0,0,0,,,,3,33.3,,,,,,,
81,1991-11-07,16,20-135,CGY,@,BOS,T,0,0,0,-1,0,0,0,0,0,,,,3,0.0,,,,,,,
82,1991-11-09,17,20-137,CGY,@,TOR,W,1,2,3,2,0,1,0,0,0,,,,1,100.0,,,,,,,
83,1991-11-12,18,20-140,CGY,,DET,L,0,1,1,1,0,0,0,0,0,,,,3,0.0,,,,,,,
84,1991-11-14,19,20-142,CGY,,VAN,T,0,1,1,0,0,0,0,0,0,,,,4,0.0,,,,,,,
85,1991-11-16,20,20-144,CGY,,BUF,L,0,2,2,1,0,0,0,0,0,,,,3,0.0,,,,,,,
86,1991-11-21,21,20-149,CGY,,VAN,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,,,,,,,
87,1991-11-22,22,20-150,CGY,@,VAN,L,0,1,1,0,0,0,0,0,0,,,,1,0.0,,,,,,,
88,1991-11-25,23,20-153,CGY,,WIN,T,0,0,0,-1,0,0,0,0,0,,,,4,0.0,,,,,,,
89,1991-11-28,24,20-156,CGY,,LAK,W,1,0,1,0,0,0,1,0,0,,,,4,25.0,,,,,,,
90,1991-11-30,25,20-158,CGY,,SJS,L,0,0,0,0,0,0,0,0,0,,,,3,0.0,,,,,,,
91,1991-12-03,26,20-161,CGY,@,DET,L,0,0,0,-2,0,0,0,0,0,,,,2,0.0,,,,,,,
92,1991-12-05,27,20-163,CGY,@,NJD,L,0,1,1,0,0,0,0,0,0,,,,0,,,,,,,,
93,1991-12-07,28,20-165,CGY,@,MTL,L,0,0,0,0,0,0,0,0,0,,,,4,0.0,,,,,,,
94,1991-12-08,29,20-166,CGY,@,BUF,W,0,0,0,0,0,0,0,0,0,,,,5,0.0,,,,,,,
95,1991-12-10,30,20-168,CGY,@,WSH,L,0,0,0,-2,0,0,0,0,0,,,,2,0.0,,,,,,,
96,1991-12-14,31,20-172,CGY,,DET,L,0,0,0,-2,0,0,0,0,0,,,,4,0.0,,,,,,,
97,1991-12-17,32,20-175,CGY,,WIN,W,0,1,1,-1,0,0,0,0,0,,,,0,,,,,,,,
98,1991-12-19,33,20-177,CGY,,QUE,T,0,0,0,0,0,0,0,0,0,,,,3,0.0,,,,,,,
99,1991-12-21,34,20-179,CGY,@,WIN,L,0,0,0,-1,0,0,0,0,0,,,,4,0.0,,,,,,,
100,1991-12-23,35,20-181,CGY,@,EDM,L,0,1,1,-1,0,0,0,0,0,,,,0,,,,,,,,
101,1991-12-28,36,20-186,CGY,,PHI,W,0,1,1,0,2,0,0,0,0,,,,4,0.0,,,,,,,
102,1991-12-29,37,20-187,CGY,,LAK,W,2,1,3,2,2,1,1,0,0,,,,4,50.0,,,,,,,
103,1991-12-31,38,20-189,CGY,,MTL,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,,,,,,,
104,1992-01-04,39,20-193,CGY,,EDM,L,0,1,1,0,0,0,0,0,0,,,,1,0.0,,,,,,,
105,1992-01-05,40,20-194,CGY,@,EDM,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,,,,,,,
106,1992-01-08,41,20-197,CGY,,SJS,W,1,0,1,1,0,1,0,0,0,,,,3,33.3,,,,,,,
107,1992-01-10,42,20-199,CGY,,PIT,W,0,2,2,1,0,0,0,0,0,,,,2,0.0,,,,,,,
108,1992-01-13,43,20-202,CGY,@,MTL,T,0,1,1,0,0,0,0,0,0,,,,0,,,,,,,,
109,1992-01-14,44,20-203,CGY,@,QUE,W,0,1,1,2,0,0,0,0,0,,,,0,,,,,,,,
110,1992-01-16,45,20-205,CGY,@,NYR,L,1,0,1,0,0,1,0,0,0,,,,8,12.5,,,,,,,
111,1992-01-22,46,20-211,CGY,,NYR,T,0,2,2,2,0,0,0,0,0,,,,3,0.0,,,,,,,
112,1992-01-24,47,20-213,CGY,@,SJS,W,0,0,0,0,2,0,0,0,0,,,,1,0.0,,,,,,,
113,1992-01-25,48,20-214,CGY,@,LAK,L,0,0,0,-1,0,0,0,0,0,,,,2,0.0,,,,,,,
114,1992-01-27,49,20-216,CGY,,CHI,L,0,1,1,1,0,0,0,0,0,,,,2,0.0,,,,,,,
115,1992-01-30,50,20-219,CGY,@,BOS,L,0,0,0,-1,0,0,0,0,0,,,,6,0.0,,,,,,,
116,1992-02-01,51,20-221,CGY,@,WSH,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,,,,,,,
117,1992-02-02,52,20-222,CGY,@,NYI,L,0,2,2,-1,2,0,0,0,0,,,,2,0.0,,,,,,,
118,1992-02-05,53,20-225,CGY,,QUE,W,1,0,1,1,0,1,0,0,0,,,,3,33.3,,,,,,,
119,1992-02-07,54,20-227,CGY,@,WIN,L,0,0,0,-1,0,0,0,0,0,,,,3,0.0,,,,,,,
120,1992-02-11,55,20-231,CGY,,NYI,L,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
121,1992-02-13,56,20-233,CGY,,WSH,T,0,0,0,0,0,0,0,0,0,,,,3,0.0,,,,,,,
122,1992-02-16,57,20-236,CGY,@,CHI,T,0,0,0,0,0,0,0,0,0,,,,2,0.0,,,,,,,
123,1992-02-19,58,20-239,CGY,,BOS,W,1,0,1,-1,0,1,0,0,0,,,,3,33.3,,,,,,,
124,1992-02-21,59,20-241,CGY,,LAK,W,0,0,0,1,2,0,0,0,0,,,,1,0.0,,,,,,,
125,1992-02-23,60,20-243,CGY,@,SJS,W,0,1,1,1,0,0,0,0,0,,,,2,0.0,,,,,,,
126,1992-02-25,61,20-245,CGY,,BUF,L,0,1,1,0,0,0,0,0,0,,,,3,0.0,,,,,,,
127,1992-02-27,62,20-247,CGY,,PHI,L,0,0,0,-1,2,0,0,0,0,,,,2,0.0,,,,,,,
128,1992-03-01,63,20-250,CGY,@,VAN,L,0,0,0,0,0,0,0,0,0,,,,4,0.0,,,,,,,
129,1992-03-03,64,20-252,CGY,,PIT,L,0,0,0,-1,2,0,0,0,0,,,,0,,,,,,,,
130,1992-03-05,65,20-254,CGY,,TOR,T,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
131,1992-03-07,66,20-256,CGY,,STL,W,0,0,0,1,2,0,0,0,0,,,,0,,,,,,,,
132,1992-03-10,67,20-259,CGY,@,PIT,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,,,,,,,
133,1992-03-12,68,20-261,CGY,@,PHI,L,1,0,1,0,0,0,1,0,0,,,,4,25.0,,,,,,,
134,1992-03-14,69,20-263,CGY,,VAN,L,0,0,0,-2,0,0,0,0,0,,,,2,0.0,,,,,,,
135,1992-03-16,70,20-265,CGY,,HAR,L,0,1,1,-1,0,0,0,0,0,,,,1,0.0,,,,,,,
136,1992-03-24,71,20-273,CGY,,EDM,T,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
137,1992-03-26,72,20-275,CGY,,LAK,W,1,0,1,0,0,0,1,0,0,,,,2,50.0,,,,,,,
138,1992-03-28,73,20-277,CGY,,MNS,W,1,1,2,2,0,1,0,0,1,,,,4,25.0,,,,,,,
139,1992-03-31,74,20-280,CGY,,EDM,W,0,1,1,0,0,0,0,0,0,,,,1,0.0,,,,,,,
140,1992-04-12,75,20-292,CGY,,WIN,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,,,,,,,
141,1992-04-15,76,20-295,CGY,@,SJS,W,0,0,0,1,0,0,0,0,0,,,,1,0.0,,,,,,,
142,1992-04-16,77,20-296,CGY,@,VAN,T,0,1,1,0,0,0,0,0,0,,,,0,,,,,,,,
143,1992-10-06,1,21-103,CGY,,LAK,L,1,0,1,-1,0,0,1,0,0,,,,5,20.0,,,,,,,
144,1992-10-08,2,21-105,CGY,,EDM,W,0,0,0,1,6,0,0,0,0,,,,1,0.0,,,,,,,
145,1992-10-10,3,21-107,CGY,,TOR,W,1,0,1,1,2,1,0,0,0,,,,3,33.3,,,,,,,
146,1992-10-13,4,21-110,CGY,vs.,MNS,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
147,1992-10-15,5,21-112,CGY,@,LAK,L,0,0,0,0,0,0,0,0,0,,,,3,0.0,,,,,,,
148,1992-10-17,6,21-114,CGY,@,SJS,W,0,1,1,0,0,0,0,0,0,,,,3,0.0,,,,,,,
149,1992-10-20,7,21-117,CGY,,LAK,W,1,1,2,3,0,1,0,0,0,,,,4,25.0,,,,,,,
150,1992-10-22,8,21-119,CGY,,BOS,L,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
151,1992-10-25,9,21-122,CGY,@,EDM,W,0,1,1,1,0,0,0,0,0,,,,1,0.0,,,,,,,
152,1992-10-28,10,21-125,CGY,@,WIN,W,0,1,1,1,0,0,0,0,0,,,,3,0.0,,,,,,,
153,1992-10-30,11,21-127,CGY,,WSH,L,0,0,0,0,0,0,0,0,0,,,,3,0.0,,,,,,,
154,1992-10-31,12,21-128,CGY,,MNS,W,0,0,0,1,0,0,0,0,0,,,,2,0.0,,,,,,,
155,1992-11-02,13,21-130,CGY,,VAN,W,0,1,1,0,0,0,0,0,0,,,,4,0.0,,,,,,,
156,1992-11-04,14,21-132,CGY,@,VAN,T,0,2,2,-1,0,0,0,0,0,,,,2,0.0,,,,,,,
157,1992-11-05,15,21-133,CGY,,OTT,W,1,1,2,-1,0,1,0,0,0,,,,3,33.3,,,,,,,
158,1992-11-08,16,21-136,CGY,@,QUE,T,0,0,0,-2,0,0,0,0,0,,,,0,,,,,,,,
159,1992-11-09,17,21-137,CGY,@,MTL,L,0,0,0,-2,2,0,0,0,0,,,,1,0.0,,,,,,,
160,1992-11-11,18,21-139,CGY,@,HAR,W,0,0,0,0,2,0,0,0,0,,,,0,,,,,,,,
161,1992-11-12,19,21-140,CGY,@,BOS,L,0,1,1,-2,0,0,0,0,0,,,,2,0.0,,,,,,,
162,1992-11-19,20,21-147,CGY,,VAN,W,0,1,1,1,0,0,0,0,0,,,,3,0.0,,,,,,,
163,1992-11-21,21,21-149,CGY,,NYI,L,1,0,1,2,0,1,0,0,0,,,,3,33.3,,,,,,,
164,1992-11-25,22,21-153,CGY,,SJS,L,0,1,1,1,0,0,0,0,0,,,,1,0.0,,,,,,,
165,1992-11-27,23,21-155,CGY,,TBL,W,1,0,1,0,0,1,0,0,0,,,,8,12.5,,,,,,,
166,1992-11-28,24,21-156,CGY,,CHI,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,,,,,,,
167,1992-12-02,25,21-160,CGY,,WIN,T,0,0,0,0,0,0,0,0,0,,,,2,0.0,,,,,,,
168,1992-12-04,26,21-162,CGY,,STL,W,0,0,0,-1,2,0,0,0,0,,,,1,0.0,,,,,,,
169,1992-12-07,27,21-165,CGY,,EDM,W,0,1,1,1,0,0,0,0,0,,,,4,0.0,,,,,,,
170,1992-12-08,28,21-166,CGY,@,EDM,L,0,0,0,-1,2,0,0,0,0,,,,5,0.0,,,,,,,
171,1992-12-11,29,21-169,CGY,@,TOR,W,1,1,2,1,0,1,0,0,0,,,,4,25.0,,,,,,,
172,1992-12-12,30,21-170,CGY,@,OTT,T,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
