,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,1991-10-05,1,24-169,STL,@,NJD,L,0,0,0,-2,0,0,0,0,0,,,,0,,,,,,,,
1,1991-10-07,2,24-171,STL,@,TOR,L,0,0,0,-1,2,0,0,0,0,,,,2,0.0,,,,,,,
2,1991-10-10,3,24-174,STL,,EDM,W,0,0,0,-1,0,0,0,0,0,,,,1,0.0,,,,,,,
3,1991-10-12,4,24-176,STL,,SJS,W,0,0,0,-1,0,0,0,0,0,,,,0,,,,,,,,
4,1991-10-15,5,24-179,STL,,TOR,W,0,0,0,1,0,0,0,0,0,,,,0,,,,,,,,
5,1991-10-17,6,24-181,STL,@,DET,L,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
6,1991-10-20,7,24-184,STL,@,CHI,W,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
7,1991-10-24,8,24-188,STL,,BOS,W,0,1,1,1,0,0,0,0,0,,,,1,0.0,,,,,,,
8,1991-10-26,9,24-190,STL,,CGY,T,0,0,0,-1,0,0,0,0,0,,,,1,0.0,,,,,,,
9,1991-10-28,10,24-192,STL,@,TOR,T,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
10,1991-10-30,11,24-194,STL,@,EDM,T,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
11,1991-11-01,12,24-196,STL,@,VAN,W,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
12,1991-11-03,13,24-198,STL,@,WIN,T,0,0,0,-1,0,0,0,0,0,,,,1,0.0,,,,,,,
13,1991-11-07,14,24-202,STL,@,DET,L,0,0,0,1,0,0,0,0,0,,,,1,0.0,,,,,,,
14,1991-12-04,15,24-229,STL,@,MNS,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,,,,,,,
15,1991-12-07,16,24-232,STL,,PIT,W,0,0,0,0,2,0,0,0,0,,,,1,0.0,,,,,,,
16,1991-12-10,17,24-235,STL,@,NYI,T,0,0,0,2,0,0,0,0,0,,,,0,,,,,,,,
17,1991-12-11,18,24-236,STL,@,BUF,W,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
18,1991-12-14,19,24-239,STL,@,QUE,W,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
19,1991-12-16,20,24-241,STL,@,MTL,L,0,0,0,0,2,0,0,0,0,,,,0,,,,,,,,
20,1991-12-19,21,24-244,STL,,SJS,W,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
21,1991-12-28,22,24-253,STL,@,MNS,L,0,0,0,-1,2,0,0,0,0,,,,0,,,,,,,,
