,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,2016-04-08,1,22-255,BUF,,CBJ,L,0,0,0,0,0,0,0,0,0,0,0,0,5,0.0,13,10:10,2,0,0,0,
1,2016-04-09,2,22-256,BUF,@,NYI,W,1,1,2,2,0,1,0,0,0,1,0,0,3,33.3,19,13:20,1,0,0,0,
2,2016-11-15,1,23-110,BUF,@,STL,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,15,10:59,0,0,0,0,
3,2016-11-17,2,23-112,BUF,,TBL,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,16,11:57,0,0,1,0,100.0
4,2017-02-11,3,23-198,BUF,@,TOR,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,11:50,2,0,2,4,33.3
5,2017-02-12,4,23-199,BUF,,VAN,L,0,1,1,1,0,0,0,0,0,1,0,0,3,0.0,14,11:12,0,0,3,4,42.9
6,2017-02-14,5,23-201,BUF,@,OTT,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,18,12:07,0,1,3,7,30.0
7,2017-02-16,6,23-203,BUF,,COL,W,0,1,1,1,0,0,0,0,0,1,0,0,3,0.0,21,15:47,0,0,5,9,35.7
8,2017-02-18,7,23-205,BUF,,STL,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,12:27,0,0,5,4,55.6
9,2017-02-19,8,23-206,BUF,,CHI,L,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,19,18:49,0,0,7,4,63.6
10,2017-02-25,9,23-212,BUF,@,COL,L,1,0,1,1,0,1,0,0,0,0,0,0,1,100.0,13,8:46,0,0,2,3,40.0
11,2017-02-26,10,23-213,BUF,@,ARI,L,1,0,1,1,0,1,0,0,0,0,0,0,4,25.0,14,8:46,0,0,0,4,0.0
12,2017-02-28,11,23-215,BUF,,NSH,L-OT,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,15,13:05,1,1,2,3,40.0
13,2017-03-02,12,23-217,BUF,,ARI,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,15,13:03,0,0,5,5,50.0
14,2017-03-04,13,23-219,BUF,,TBL,L-SO,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,15,14:03,0,0,2,6,25.0
15,2017-03-05,14,23-220,BUF,@,PIT,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,14,11:38,1,0,3,5,37.5
16,2017-03-07,15,23-222,BUF,,PHI,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,19,14:43,0,0,3,6,33.3
17,2017-03-10,16,23-225,BUF,@,CBJ,L,1,0,1,1,0,1,0,0,0,0,0,0,2,50.0,16,10:59,0,2,1,4,20.0
18,2017-03-11,17,23-226,BUF,,CBJ,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,11:09,4,0,5,2,71.4
19,2017-03-14,18,23-229,BUF,@,SJS,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,18,13:17,0,2,2,5,28.6
20,2017-03-16,19,23-231,BUF,@,LAK,L,0,0,0,-1,0,0,0,0,0,0,0,0,5,0.0,20,14:49,0,0,3,3,50.0
21,2017-03-17,20,23-232,BUF,@,ANA,W,0,0,0,0,0,0,0,0,0,0,0,0,5,0.0,18,15:31,2,0,4,5,44.4
22,2017-03-20,21,23-235,BUF,@,DET,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,19,13:02,0,1,3,7,30.0
23,2017-03-21,22,23-236,BUF,,PIT,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,19,13:13,0,0,8,4,66.7
24,2017-03-25,23,23-240,BUF,,TOR,W,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,21,13:34,0,1,5,5,50.0
25,2017-03-27,24,23-242,BUF,,FLA,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,16,14:18,0,1,6,9,40.0
26,2017-03-28,25,23-243,BUF,@,CBJ,L,1,0,1,-2,0,0,1,0,0,0,0,0,5,20.0,18,13:57,0,2,3,6,33.3
27,2017-04-02,26,23-248,BUF,,NYI,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,15,11:56,0,1,5,6,45.5
28,2017-04-03,27,23-249,BUF,,TOR,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,18,13:10,0,0,4,7,36.4
29,2017-04-05,28,23-251,BUF,,MTL,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,17,14:09,0,0,2,6,25.0
30,2017-04-08,29,23-254,BUF,@,FLA,L,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,16,12:18,1,0,4,5,44.4
31,2017-04-09,30,23-255,BUF,@,TBL,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,17,13:11,1,0,6,8,42.9
32,2017-12-05,1,24-130,BUF,@,COL,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,20,14:33,0,2,5,8,38.5
33,2017-12-08,2,24-133,BUF,@,CHI,L-OT,0,1,1,1,4,0,0,0,0,1,0,0,1,0.0,21,14:13,0,2,3,4,42.9
34,2017-12-10,3,24-135,BUF,@,STL,L-OT,2,0,2,1,0,1,1,0,0,0,0,0,3,66.7,20,16:29,0,0,3,5,37.5
35,2017-12-12,4,24-137,BUF,,OTT,W,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,18,14:09,0,1,1,6,14.3
36,2017-12-14,5,24-139,BUF,@,PHI,L,0,0,0,-2,2,0,0,0,0,0,0,0,1,0.0,20,14:36,1,0,3,4,42.9
37,2017-12-15,6,24-140,BUF,,CAR,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,17,13:18,0,0,5,3,62.5
38,2017-12-19,7,24-144,BUF,,BOS,L,0,0,0,0,2,0,0,0,0,0,0,0,3,0.0,16,12:49,1,0,0,0,
39,2017-12-23,8,24-148,BUF,@,CAR,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,13,10:18,1,1,0,2,0.0
40,2017-12-27,9,24-152,BUF,@,NYI,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,18,13:39,0,2,8,3,72.7
41,2017-12-29,10,24-154,BUF,@,NJD,W,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,20,13:09,0,0,9,3,75.0
42,2018-01-01,11,24-157,BUF,,NYR,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,20,14:15,0,0,7,3,70.0
43,2018-01-04,12,24-160,BUF,@,MIN,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,17,13:13,0,1,3,5,37.5
44,2018-01-05,13,24-161,BUF,@,WPG,L,0,2,2,1,0,0,0,0,0,2,0,0,3,0.0,20,12:15,0,0,5,7,41.7
45,2018-01-07,14,24-163,BUF,@,PHI,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,18,13:48,2,0,4,7,36.4
46,2018-01-09,15,24-165,BUF,,WPG,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,19,11:43,0,0,1,5,16.7
47,2018-01-11,16,24-167,BUF,,CBJ,W,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,19,11:54,0,0,4,4,50.0
48,2018-01-18,17,24-174,BUF,@,NYR,L,0,1,1,1,0,0,0,0,0,1,0,0,0,,17,13:27,1,0,8,7,53.3
49,2018-01-20,18,24-176,BUF,,DAL,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,16,13:20,1,0,2,3,40.0
50,2018-01-22,19,24-178,BUF,@,CGY,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,11:37,1,1,0,1,0.0
51,2018-01-23,20,24-179,BUF,@,EDM,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,17,12:16,0,2,4,8,33.3
52,2018-01-25,21,24-181,BUF,@,VAN,W,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,14,10:07,0,2,6,3,66.7
53,2018-01-30,22,24-186,BUF,,NJD,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,14,11:07,2,0,3,2,60.0
54,2018-02-03,23,24-190,BUF,,STL,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,18,14:49,0,1,4,8,33.3
55,2018-02-06,24,24-193,BUF,,ANA,L-OT,0,0,0,-1,2,0,0,0,0,0,0,0,1,0.0,17,11:35,0,0,0,7,0.0
56,2018-02-08,25,24-195,BUF,,NYI,W,1,1,2,2,0,1,0,0,0,1,0,0,2,50.0,19,11:04,0,0,0,0,
57,2018-02-10,26,24-197,BUF,@,BOS,W,0,1,1,2,0,0,0,0,0,1,0,0,1,0.0,17,10:45,2,0,2,4,33.3
58,2018-02-11,27,24-198,BUF,,COL,L,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,20,19:22,1,0,3,4,42.9
59,2018-02-13,28,24-200,BUF,,TBL,W,0,1,1,0,0,0,0,0,0,0,1,0,2,0.0,19,17:00,0,0,3,6,33.3
60,2018-02-15,29,24-202,BUF,@,OTT,L-OT,1,0,1,0,2,1,0,0,0,0,0,0,1,100.0,18,15:56,1,1,2,7,22.2
61,2018-02-17,30,24-204,BUF,,LAK,L,0,0,0,-2,0,0,0,0,0,0,0,0,2,0.0,18,14:18,1,0,0,4,0.0
62,2018-02-19,31,24-206,BUF,,WSH,L,0,1,1,-1,0,0,0,0,0,1,0,0,2,0.0,20,15:09,0,1,2,6,25.0
63,2018-02-22,32,24-209,BUF,@,DET,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,17,15:27,1,0,1,5,16.7
64,2018-02-24,33,24-211,BUF,@,WSH,L,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,22,18:57,0,1,4,8,33.3
65,2018-02-25,34,24-212,BUF,,BOS,W,1,1,2,0,0,1,0,0,0,0,1,0,2,50.0,19,15:31,0,0,6,4,60.0
66,2018-02-28,35,24-215,BUF,@,TBL,W,1,0,1,1,0,1,0,0,0,0,0,0,5,20.0,21,15:36,0,1,5,3,62.5
67,2018-03-15,36,24-230,BUF,,TOR,L,0,2,2,-1,0,0,0,0,0,0,2,0,4,0.0,20,16:28,0,1,6,5,54.5
68,2018-03-17,37,24-232,BUF,,CHI,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,18,16:48,1,0,4,3,57.1
69,2018-03-19,38,24-234,BUF,,NSH,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,19,13:46,0,0,3,3,50.0
70,2018-03-21,39,24-236,BUF,,ARI,L,0,1,1,0,0,0,0,0,0,1,0,0,2,0.0,21,16:07,0,1,4,6,40.0
71,2018-03-23,40,24-238,BUF,,MTL,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,11:06,0,1,2,5,28.6
72,2018-03-24,41,24-239,BUF,@,NYR,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,21,13:30,0,0,7,5,58.3
