,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,2002-01-09,1,27-358,WSH,,CBJ,W,0,1,1,1,2,0,0,0,0,,,,0,,23,17:43,,,,,
1,2002-01-11,2,27-360,WSH,,TOR,T,0,0,0,-1,2,0,0,0,0,,,,0,,24,17:28,,,,,
2,2002-01-12,3,27-361,WSH,@,FLA,W,0,0,0,1,0,0,0,0,0,,,,0,,22,16:55,,,,,
3,2002-01-14,4,27-363,WSH,,BOS,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,28,18:16,,,,,
4,2002-01-16,5,28-000,WSH,@,MTL,L,0,0,0,-1,2,0,0,0,0,,,,0,,20,15:32,,,,,
5,2002-01-18,6,28-002,WSH,@,DET,L,0,0,0,0,0,0,0,0,0,,,,0,,15,12:03,,,,,
6,2002-01-19,7,28-003,WSH,,VAN,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,17,14:01,,,,,
7,2002-01-22,8,28-006,WSH,@,ATL,W,0,0,0,1,4,0,0,0,0,,,,0,,25,18:16,,,,,
8,2002-01-23,9,28-007,WSH,,MTL,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,12,11:52,,,,,
9,2002-01-26,10,28-010,WSH,@,NYR,L,0,0,0,0,0,0,0,0,0,,,,0,,13,10:27,,,,,
10,2002-01-27,11,28-011,WSH,,BUF,L-OT,0,0,0,-1,2,0,0,0,0,,,,2,0.0,18,14:30,,,,,
11,2002-01-30,12,28-014,WSH,,STL,L,0,0,0,0,0,0,0,0,0,,,,0,,13,10:15,,,,,
12,2002-02-06,13,28-021,WSH,,MIN,W,0,0,0,0,0,0,0,0,0,,,,0,,23,12:53,,,,,
13,2002-02-08,14,28-023,WSH,@,NSH,T,0,0,0,0,0,0,0,0,0,,,,0,,21,13:46,,,,,
14,2002-03-29,15,28-072,WSH,@,NJD,W,0,0,0,0,2,0,0,0,0,,,,0,,17,11:34,,,,,
15,2002-03-30,16,28-073,WSH,,NYI,W,0,0,0,0,0,0,0,0,0,,,,0,,14,11:23,,,,,
16,2003-11-16,1,29-304,CBJ,,PHX,T,0,0,0,0,0,0,0,0,0,,,,1,0.0,23,17:49,,,,,
17,2003-11-19,2,29-307,CBJ,@,DET,L,0,0,0,-2,2,0,0,0,0,,,,0,,23,18:51,,,,,
18,2003-11-20,3,29-308,CBJ,,DET,W,0,0,0,0,0,0,0,0,0,,,,0,,25,20:30,,,,,
19,2003-11-22,4,29-310,CBJ,,NYI,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,32,21:34,,,,,
20,2003-11-25,5,29-313,CBJ,,EDM,T,0,1,1,-1,0,0,0,0,0,,,,1,0.0,24,20:23,,,,,
21,2003-11-26,6,29-314,CBJ,@,NSH,L,0,0,0,0,2,0,0,0,0,,,,0,,24,17:39,,,,,
22,2003-11-29,7,29-317,CBJ,,WSH,L,0,0,0,-1,0,0,0,0,0,,,,0,,24,22:05,,,,,
23,2003-12-02,8,29-320,CBJ,,MDA,W,0,0,0,-1,0,0,0,0,0,,,,1,0.0,27,20:59,,,,,
24,2003-12-04,9,29-322,CBJ,,NSH,L,0,0,0,-2,0,0,0,0,0,,,,1,0.0,28,18:03,,,,,
25,2003-12-06,10,29-324,CBJ,@,COL,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,30,20:46,,,,,
26,2003-12-10,11,29-328,CBJ,,PHI,T,0,0,0,1,0,0,0,0,0,,,,1,0.0,32,23:32,,,,,
27,2003-12-12,12,29-330,CBJ,,STL,L-OT,0,0,0,0,2,0,0,0,0,,,,2,0.0,27,19:46,,,,,
28,2003-12-13,13,29-331,CBJ,@,PIT,L,0,0,0,0,0,0,0,0,0,,,,0,,30,19:40,,,,,
29,2003-12-16,14,29-334,CBJ,@,STL,L-OT,0,0,0,-1,0,0,0,0,0,,,,0,,35,25:28,,,,,
30,2003-12-19,15,29-337,CBJ,,CGY,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,22,18:07,,,,,
31,2003-12-20,16,29-338,CBJ,@,MIN,L,0,1,1,-2,0,0,0,0,0,,,,0,,26,19:21,,,,,
32,2003-12-23,17,29-341,CBJ,,PHX,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,23,20:05,,,,,
33,2003-12-26,18,29-344,CBJ,@,CHI,W,0,0,0,1,2,0,0,0,0,,,,1,0.0,28,19:15,,,,,
34,2003-12-27,19,29-345,CBJ,,DAL,L,0,0,0,0,0,0,0,0,0,,,,0,,26,18:17,,,,,
35,2003-12-29,20,29-347,CBJ,,STL,L,0,0,0,-1,0,0,0,0,0,,,,0,,30,20:08,,,,,
36,2003-12-31,21,29-349,CBJ,,SJS,L,0,0,0,-1,0,0,0,0,0,,,,0,,23,17:09,,,,,
37,2004-01-02,22,29-351,CBJ,@,TBL,W,0,0,0,0,0,0,0,0,0,,,,0,,16,12:21,,,,,
38,2004-01-03,23,29-352,CBJ,@,FLA,L,0,0,0,0,0,0,0,0,0,,,,3,0.0,22,15:57,,,,,
39,2004-01-06,24,29-355,CBJ,@,COL,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,21,14:03,,,,,
40,2004-01-11,25,29-360,WSH,,EDM,W,0,0,0,0,0,0,0,0,0,,,,0,,7,4:40,,,,,
41,2004-01-14,26,29-363,WSH,,CGY,T,0,0,0,0,0,0,0,0,0,,,,0,,13,6:59,,,,,
42,2004-01-17,27,30-001,WSH,@,NJD,L-OT,0,0,0,0,2,0,0,0,0,,,,0,,15,11:50,,,,,
43,2004-01-23,28,30-007,WSH,@,FLA,L,0,0,0,0,0,0,0,0,0,,,,0,,18,8:44,,,,,
44,2004-01-25,29,30-009,WSH,,PHI,L,0,0,0,-2,0,0,0,0,0,,,,1,0.0,25,19:14,,,,,
45,2004-01-28,30,30-012,WSH,@,NYR,W,0,0,0,0,0,0,0,0,0,,,,0,,22,18:17,,,,,
46,2004-01-29,31,30-013,WSH,@,CAR,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,24,16:10,,,,,
47,2004-01-31,32,30-015,WSH,,VAN,L,0,0,0,-1,2,0,0,0,0,,,,0,,19,12:13,,,,,
48,2004-02-03,33,30-018,WSH,,TBL,W,0,0,0,0,0,0,0,0,0,,,,0,,15,9:35,,,,,
49,2004-02-12,34,30-027,WSH,@,CAR,T,0,0,0,0,0,0,0,0,0,,,,0,,11,5:52,,,,,
50,2004-02-13,35,30-028,WSH,@,NSH,L,0,0,0,0,0,0,0,0,0,,,,0,,16,11:35,,,,,
51,2004-02-15,36,30-030,WSH,@,CHI,W,0,0,0,0,0,0,0,0,0,,,,0,,12,9:54,,,,,
52,2004-02-17,37,30-032,WSH,,OTT,T,0,0,0,0,2,0,0,0,0,,,,1,0.0,13,7:40,,,,,
53,2004-02-19,38,30-034,WSH,,NJD,W,0,0,0,1,0,0,0,0,0,,,,0,,15,9:58,,,,,
