,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,2000-10-06,1,27-045,MDA,,MIN,W,0,1,1,0,0,0,0,0,0,,,,1,0.0,21,15:09,,,,,
1,2000-10-08,2,27-047,MDA,,STL,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,9,7:04,,,,,
2,2000-10-16,3,27-055,MDA,@,NYR,W,0,0,0,1,0,0,0,0,0,,,,2,0.0,21,13:52,,,,,
3,2000-10-17,4,27-056,MDA,@,NYI,W,0,0,0,-1,0,0,0,0,0,,,,1,0.0,20,12:35,,,,,
4,2000-10-20,5,27-059,MDA,@,BUF,T,0,0,0,0,0,0,0,0,0,,,,0,,18,12:19,,,,,
5,2000-10-21,6,27-060,MDA,@,PHI,W,0,0,0,-1,2,0,0,0,0,,,,1,0.0,20,14:52,,,,,
6,2000-10-23,7,27-062,MDA,,LAK,L-OT,0,0,0,-2,0,0,0,0,0,,,,0,,18,13:11,,,,,
7,2000-10-25,8,27-064,MDA,@,LAK,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,20,14:23,,,,,
8,2000-10-27,9,27-066,MDA,,EDM,W,0,0,0,0,4,0,0,0,0,,,,2,0.0,14,11:41,,,,,
9,2000-10-29,10,27-068,MDA,@,CGY,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,20,16:13,,,,,
10,2000-10-30,11,27-069,MDA,@,EDM,L,0,1,1,0,0,0,0,0,0,,,,0,,19,13:41,,,,,
11,2000-11-01,12,27-071,MDA,,PHX,T,0,0,0,0,0,0,0,0,0,,,,1,0.0,20,16:55,,,,,
12,2000-11-04,13,27-074,MDA,@,NSH,T,0,0,0,0,0,0,0,0,0,,,,1,0.0,25,15:45,,,,,
13,2000-11-05,14,27-075,MDA,@,CHI,L,0,0,0,-1,0,0,0,0,0,,,,0,,11,8:03,,,,,
14,2000-11-11,15,27-081,MDA,@,COL,L,0,0,0,-2,0,0,0,0,0,,,,1,0.0,17,11:09,,,,,
15,2001-01-31,16,27-162,MDA,,NSH,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,11,8:13,,,,,
16,2001-02-01,17,27-163,MDA,@,PHX,W,0,0,0,0,0,0,0,0,0,,,,0,,14,11:56,,,,,
17,2001-02-07,18,27-169,MDA,,CHI,L,0,0,0,0,2,0,0,0,0,,,,1,0.0,12,7:48,,,,,
18,2001-02-09,19,27-171,MDA,,WSH,L,0,0,0,-1,0,0,0,0,0,,,,0,,2,1:40,,,,,
19,2001-02-11,20,27-173,MDA,,CAR,T,0,0,0,0,0,0,0,0,0,,,,2,0.0,10,7:12,,,,,
20,2001-02-14,21,27-176,MDA,,EDM,T,0,0,0,0,0,0,0,0,0,,,,0,,10,8:02,,,,,
21,2001-02-16,22,27-178,MDA,@,DAL,L-OT,0,0,0,-1,2,0,0,0,0,,,,1,0.0,14,10:34,,,,,
22,2001-02-19,23,27-181,MDA,,CGY,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,11,6:11,,,,,
23,2001-02-21,24,27-183,MDA,,SJS,W,0,0,0,0,0,0,0,0,0,,,,0,,14,8:51,,,,,
24,2001-02-23,25,27-185,MDA,@,SJS,L,0,0,0,0,0,0,0,0,0,,,,0,,11,8:28,,,,,
25,2001-02-25,26,27-187,MDA,,CBJ,L,0,0,0,0,0,0,0,0,0,,,,0,,9,6:45,,,,,
26,2001-02-28,27,27-190,MDA,,DET,L,0,1,1,1,0,0,0,0,0,,,,2,0.0,14,9:03,,,,,
27,2001-03-02,28,27-192,MDA,,DAL,L,0,0,0,-1,0,0,0,0,0,,,,0,,15,10:38,,,,,
28,2001-03-04,29,27-194,MDA,,LAK,W,0,1,1,1,0,0,0,0,0,,,,0,,13,9:42,,,,,
29,2001-03-07,30,27-197,MDA,,MTL,W,0,0,0,0,0,0,0,0,0,,,,0,,6,2:51,,,,,
30,2001-03-09,31,27-199,MDA,,CHI,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,16,14:15,,,,,
31,2001-03-11,32,27-201,MDA,,NSH,W,0,0,0,0,2,0,0,0,0,,,,3,0.0,13,9:24,,,,,
32,2001-03-13,33,27-203,MDA,@,WSH,W,0,0,0,1,0,0,0,0,0,,,,0,,13,10:44,,,,,
33,2001-03-14,34,27-204,MDA,@,TOR,L,0,0,0,0,2,0,0,0,0,,,,2,0.0,13,9:09,,,,,
34,2001-03-16,35,27-206,MDA,@,OTT,L,0,0,0,-1,0,0,0,0,0,,,,0,,16,12:35,,,,,
35,2001-03-18,36,27-208,MDA,@,CHI,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,20,15:13,,,,,
36,2001-03-21,37,27-211,MDA,@,DAL,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,16,10:38,,,,,
37,2001-03-24,38,27-214,MDA,@,LAK,T,0,0,0,0,0,0,0,0,0,,,,0,,11,7:00,,,,,
