,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,2003-10-28,1,23-236,CAR,,SJS,W,0,0,0,0,0,0,0,0,0,,,,0,,18,11:36,,,,,
1,2004-02-12,2,23-343,CAR,,WSH,T,0,0,0,1,0,0,0,0,0,,,,3,0.0,17,11:31,,,,,
2,2004-02-14,3,23-345,CAR,@,NJD,L,0,0,0,-1,0,0,0,0,0,,,,0,,25,17:27,,,,,
3,2004-02-16,4,23-347,CAR,,FLA,W,0,0,0,0,0,0,0,0,0,,,,0,,19,10:18,,,,,
4,2004-02-19,5,23-350,CAR,,TOR,L-OT,0,0,0,0,0,0,0,0,0,,,,3,0.0,19,12:18,,,,,
5,2004-02-21,6,23-352,CAR,,BOS,T,0,0,0,1,4,0,0,0,0,,,,1,0.0,24,14:24,,,,,
6,2004-02-23,7,23-354,CAR,@,TOR,W,0,1,1,-1,2,0,0,0,0,,,,1,0.0,20,13:06,,,,,
7,2004-02-25,8,23-356,CAR,@,WSH,W,0,0,0,1,2,0,0,0,0,,,,1,0.0,20,12:11,,,,,
8,2004-02-28,9,23-359,CAR,@,MTL,L-OT,0,0,0,0,2,0,0,0,0,,,,0,,17,10:12,,,,,
9,2004-02-29,10,23-360,CAR,@,MIN,T,0,0,0,1,2,0,0,0,0,,,,0,,23,14:24,,,,,
10,2004-03-02,11,23-362,CAR,,CBJ,L,0,0,0,-1,0,0,0,0,0,,,,0,,22,17:55,,,,,
11,2004-03-05,12,23-365,CAR,@,ATL,W,0,0,0,0,2,0,0,0,0,,,,1,0.0,19,10:46,,,,,
12,2004-03-06,13,24-000,CAR,,NJD,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,24,17:49,,,,,
13,2004-03-13,14,24-007,CAR,@,TBL,W,0,0,0,-1,0,0,0,0,0,,,,0,,10,8:30,,,,,
14,2004-03-15,15,24-009,CAR,@,ATL,L-OT,0,0,0,0,2,0,0,0,0,,,,1,0.0,12,7:05,,,,,
15,2004-03-17,16,24-011,CAR,@,CHI,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,14,10:30,,,,,
16,2004-03-19,17,24-013,CAR,@,PIT,L-OT,0,0,0,1,0,0,0,0,0,,,,0,,13,9:46,,,,,
17,2004-03-20,18,24-014,CAR,@,OTT,W,0,0,0,0,0,0,0,0,0,,,,3,0.0,14,10:03,,,,,
18,2004-03-23,19,24-017,CAR,,PHI,L,0,0,0,0,0,0,0,0,0,,,,0,,10,7:19,,,,,
19,2004-03-25,20,24-019,CAR,,FLA,W,0,1,1,1,0,0,0,0,0,,,,2,0.0,14,10:43,,,,,
20,2004-03-27,21,24-021,CAR,@,NYI,W,1,0,1,1,2,1,0,0,0,,,,2,50.0,15,10:04,,,,,
21,2004-03-29,22,24-023,CAR,@,FLA,L,0,0,0,0,0,0,0,0,0,,,,0,,17,11:35,,,,,
22,2004-03-30,23,24-024,CAR,,BOS,L,0,0,0,0,2,0,0,0,0,,,,0,,21,17:33,,,,,
23,2004-04-02,24,24-027,CAR,,NYI,L,0,0,0,1,0,0,0,0,0,,,,1,0.0,24,17:21,,,,,
24,2004-04-04,25,24-029,CAR,@,FLA,T,0,0,0,1,2,0,0,0,0,,,,2,0.0,23,17:07,,,,,
25,2006-03-16,1,26-010,NYI,@,ATL,L,0,1,1,1,0,0,0,0,0,,,,0,,23,16:12,,,,,
26,2006-04-05,2,26-030,NYI,@,TOR,L,0,0,0,0,0,0,0,0,0,,,,0,,25,18:42,,,,,
27,2006-04-06,3,26-031,NYI,@,NYR,L,0,0,0,0,0,0,0,0,0,,,,0,,24,19:39,,,,,
28,2006-04-08,4,26-033,NYI,,WSH,W,0,0,0,0,0,0,0,0,0,,,,0,,20,15:03,,,,,
29,2006-04-11,5,26-036,NYI,@,NYR,W,0,0,0,0,0,0,0,0,0,,,,0,,24,16:01,,,,,
30,2006-04-13,6,26-038,NYI,,TOR,L-OT,0,0,0,0,0,0,0,0,0,,,,2,0.0,24,17:50,,,,,
31,2006-12-30,1,26-299,NYI,,NJD,L,0,0,0,-1,0,0,0,0,0,,,,0,,14,12:23,,,,,
32,2007-01-01,2,26-301,NYI,@,BUF,L,0,0,0,0,0,0,0,0,0,,,,0,,20,12:02,,,,,
33,2007-01-02,3,26-302,NYI,,PHI,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,18,11:26,,,,,
34,2007-01-04,4,26-304,NYI,@,NJD,L,0,0,0,-1,2,0,0,0,0,,,,0,,17,11:21,,,,,
35,2007-01-27,5,26-327,NYI,,BUF,W,0,1,1,2,0,0,0,0,0,,,,0,,19,13:24,,,,,
36,2007-01-30,6,26-330,NYI,,DET,L-OT,0,0,0,-1,0,0,0,0,0,,,,0,,15,10:18,,,,,
37,2007-02-01,7,26-332,NYI,@,ATL,W,0,0,0,-1,2,0,0,0,0,,,,0,,14,9:17,,,,,
38,2007-02-03,8,26-334,NYI,@,MTL,W,0,0,0,1,0,0,0,0,0,,,,0,,14,10:25,,,,,
39,2007-02-04,9,26-335,NYI,@,WSH,L-SO,0,0,0,0,0,0,0,0,0,,,,0,,17,9:53,,,,,
40,2007-03-27,10,27-021,NYI,,NJD,L,0,0,0,0,0,0,0,0,0,,,,0,,10,5:41,,,,,
41,2007-03-30,11,27-024,NYI,@,BUF,L,0,0,0,1,0,0,0,0,0,,,,0,,15,11:15,,,,,
42,2007-11-10,1,27-249,EDM,@,CGY,W,0,0,0,0,5,0,0,0,0,,,,1,0.0,13,8:09,0,1,0,0,
43,2007-11-14,2,27-253,EDM,@,VAN,W,0,0,0,0,0,0,0,0,0,,,,0,,12,11:41,0,1,0,0,
44,2007-11-15,3,27-254,EDM,,MIN,L,0,0,0,-1,0,0,0,0,0,,,,0,,13,8:56,1,5,0,0,
45,2007-11-17,4,27-256,EDM,,CGY,L,0,0,0,0,0,0,0,0,0,,,,0,,18,12:09,0,3,0,0,
46,2007-11-20,5,27-259,EDM,,VAN,W,0,0,0,-1,0,0,0,0,0,,,,0,,15,10:23,0,2,0,0,
47,2007-11-26,6,27-265,EDM,,CBJ,W,0,0,0,2,0,0,0,0,0,,,,1,0.0,18,11:40,0,1,0,0,
48,2007-11-28,7,27-267,EDM,@,COL,L,0,0,0,1,0,0,0,0,0,,,,0,,16,12:13,0,1,0,0,
49,2007-11-30,8,27-269,EDM,,ANA,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,17,12:04,0,0,0,0,
50,2007-12-02,9,27-271,EDM,@,ANA,W,0,0,0,0,0,0,0,0,0,,,,0,,18,14:01,1,2,0,0,
51,2007-12-03,10,27-272,EDM,@,LAK,W,0,0,0,0,0,0,0,0,0,,,,0,,15,9:34,1,2,0,0,
52,2007-12-05,11,27-274,EDM,,PIT,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,18,12:44,0,2,0,0,
53,2007-12-07,12,27-276,EDM,,STL,L,0,0,0,-1,0,0,0,0,0,,,,0,,12,9:14,0,1,0,0,
54,2007-12-10,13,27-279,EDM,@,DAL,L-OT,0,0,0,-1,0,0,0,0,0,,,,0,,12,9:18,0,1,0,0,
