,date_game,game_season,age,team_id,game_location,opp_id,game_result,decision,goals_against,shots_against,saves,save_pct,shutouts,pen_min,time_on_ice
0,1991-10-17,1,21-237,PHI,,QUE,W,W,0,12,12,1.000,0,0,37:06
1,1991-10-19,2,21-239,PHI,,MTL,L,L,1,26,25,.962,0,0,59:12
2,1991-10-24,3,21-244,PHI,@,MNS,W,W,2,28,26,.929,0,0,60:00
3,1991-10-25,4,21-245,PHI,@,WIN,L,L,2,19,17,.895,0,0,58:36
4,1991-11-29,5,21-280,PHI,,PIT,L,L,6,24,18,.750,0,0,44:36
5,1991-12-08,6,21-289,PHI,,NJD,T,T,2,29,27,.931,0,0,65:00
6,1991-12-14,7,21-295,PHI,,CHI,T,T,1,42,41,.976,0,0,65:00
7,1991-12-18,8,21-299,PHI,@,NYR,L,L,6,34,28,.824,0,0,60:00
8,1992-02-23,9,22-001,PHI,@,NYR,L,L,2,40,38,.950,0,0,64:21
9,1992-02-25,10,22-003,PHI,,NYI,W,W,1,18,17,.944,0,0,60:00
10,1992-02-27,11,22-005,PHI,@,CGY,W,W,0,20,20,1.000,1,0,60:00
11,1992-03-03,12,22-010,PHI,@,LAK,L,L,2,5,3,.600,0,0,7:54
12,1992-03-10,13,22-017,PHI,@,NYI,L,L,5,26,21,.808,0,2,58:55
13,1992-03-22,14,22-029,PHI,,DET,W,W,0,21,21,1.000,0,0,40:00
14,1992-03-29,15,22-036,PHI,,NJD,W,W,4,32,28,.875,0,0,60:00
15,1992-04-13,16,22-051,PHI,,TOR,W,W,2,38,36,.947,0,0,60:00
16,1992-04-15,17,22-053,PHI,,HAR,L,L,4,23,19,.826,0,0,61:38
17,1992-10-06,1,22-227,PHI,@,PIT,T,T,3,45,42,.933,0,0,65:00
18,1992-10-09,2,22-230,PHI,,NJD,W,W,4,37,33,.892,0,0,60:00
19,1992-10-10,3,22-231,PHI,@,WSH,W,W,2,34,32,.941,0,0,60:00
20,1992-10-13,4,22-234,PHI,@,QUE,L,L,5,26,21,.808,0,0,59:33
21,1992-10-15,5,22-236,PHI,,NYI,L,L,5,39,34,.872,0,0,59:53
22,1992-10-18,6,22-239,PHI,,WIN,W,W,4,22,18,.818,0,0,60:00
23,1992-10-22,7,22-243,PHI,,VAN,T,T,4,34,30,.882,0,0,65:00
24,1992-10-24,8,22-245,PHI,,MTL,L,L,3,21,18,.857,0,0,38:46
25,1992-10-26,9,22-247,PHI,@,NYR,L,L,8,42,34,.810,0,0,60:00
26,1992-10-29,10,22-250,PHI,@,CHI,T,T,5,47,42,.894,0,0,65:00
27,1992-10-31,11,22-252,PHI,@,STL,L,L,5,16,11,.688,0,0,34:12
28,1992-11-14,12,22-266,PHI,@,MTL,W,W,3,33,30,.909,0,0,60:48
29,1992-11-15,13,22-267,PHI,,OTT,W,W,2,33,31,.939,0,0,60:00
30,1992-11-19,14,22-271,PHI,,NYR,W,W,3,25,22,.880,0,0,60:00
31,1992-11-22,15,22-274,PHI,,BUF,T,T,4,34,30,.882,0,0,64:02
32,1992-11-27,16,22-279,PHI,,NYI,W,W,3,25,22,.880,0,0,60:00
33,1992-12-11,17,22-293,PHI,@,DET,L,L,4,24,20,.833,0,0,40:00
34,1993-01-26,18,22-339,PHI,,BUF,L,L,4,35,31,.886,0,0,62:23
35,1993-01-28,19,22-341,PHI,,QUE,L,L,3,14,11,.786,0,0,40:00
36,1993-01-31,20,22-344,PHI,@,MTL,L,L,6,24,18,.750,0,0,58:52
37,1993-02-16,21,22-360,PHI,vs.,CGY,T,,4,13,9,.692,0,0,20:00
38,1993-02-22,22,23-000,PHI,vs.,DET,T,T,2,26,24,.923,0,0,39:48
39,1993-02-24,23,23-002,PHI,@,HAR,W,W,2,27,25,.926,0,7,60:00
40,1993-02-25,24,23-003,PHI,,NJD,W,W,2,30,28,.933,0,0,60:00
41,1993-02-27,25,23-005,PHI,,NYI,L,L,3,36,33,.917,0,0,59:03
42,1993-03-02,26,23-008,PHI,,PIT,W,,3,11,8,.727,0,2,23:29
43,1993-03-20,27,23-026,PHI,@,PIT,L,,2,16,14,.875,0,2,20:00
44,1993-03-25,28,23-031,PHI,,SJS,W,W,2,18,16,.889,0,0,60:00
45,1993-03-27,29,23-033,PHI,@,QUE,L,,2,9,7,.778,0,0,20:00
46,1993-03-30,30,23-036,PHI,@,NYI,L,L,2,37,35,.946,0,0,59:15
47,1993-04-03,31,23-040,PHI,,TBL,W,W,2,34,32,.941,0,0,60:00
48,1993-04-06,32,23-043,PHI,@,WIN,W,,1,12,11,.917,0,0,32:54
49,1993-04-12,33,23-049,PHI,,NYR,W,W,0,24,24,1.000,1,0,60:00
50,1993-04-16,34,23-053,PHI,@,HAR,W,W,4,30,26,.867,0,0,61:25
51,1993-10-05,1,23-225,PHI,,PIT,W,W,3,26,23,.885,0,0,60:00
52,1993-10-09,2,23-229,PHI,@,HAR,W,W,2,28,26,.929,0,0,60:00
53,1993-10-12,3,23-232,PHI,,BUF,W,W,3,25,22,.880,0,0,60:00
54,1993-10-15,4,23-235,PHI,@,WSH,W,W,0,39,39,1.000,1,0,60:00
55,1993-10-16,5,23-236,PHI,,NYR,W,W,3,25,22,.880,0,0,60:00
56,1993-10-22,6,23-242,PHI,,NYI,W,W,3,26,23,.885,0,0,60:00
57,1993-10-26,7,23-246,PHI,@,QUE,W,W,2,32,30,.938,0,0,60:00
58,1993-10-27,8,23-247,PHI,@,OTT,W,W,2,21,19,.905,0,0,40:00
59,1993-10-30,9,23-250,PHI,@,NJD,L,L,5,32,27,.844,0,0,60:00
60,1993-10-31,10,23-251,PHI,@,CHI,W,W,6,32,26,.813,0,0,60:00
61,1993-11-02,11,23-253,PHI,@,FLA,W,W,3,30,27,.900,0,0,60:00
62,1993-11-04,12,23-255,PHI,,QUE,W,W,1,28,27,.964,0,0,60:00
63,1993-11-06,13,23-257,PHI,@,TOR,L,L,5,35,30,.857,0,0,60:00
64,1993-11-07,14,23-258,PHI,,VAN,L,L,5,23,18,.783,0,0,60:00
65,1993-11-10,15,23-261,PHI,@,BUF,W,W,3,44,41,.932,0,0,60:00
66,1993-11-11,16,23-262,PHI,,NJD,L,L,4,30,26,.867,0,0,59:04
67,1993-11-13,17,23-264,PHI,,BUF,L,L,3,10,7,.700,0,0,17:52
68,1993-11-18,18,23-269,PHI,,HAR,W,W,3,29,26,.897,0,0,60:00
69,1993-11-21,19,23-272,PHI,,NYI,L,L,5,31,26,.839,0,0,60:24
70,1993-11-27,20,23-278,PHI,@,TBL,W,W,3,33,30,.909,0,0,60:34
71,1993-12-02,21,23-283,PHI,@,VAN,W,W,3,37,34,.919,0,0,60:00
72,1993-12-04,22,23-285,PHI,@,CGY,L,,2,22,20,.909,0,0,30:38
73,1993-12-09,23,23-290,PHI,,WSH,L,L,4,33,29,.879,0,0,60:00
74,1993-12-12,24,23-293,PHI,,EDM,L,L,2,33,31,.939,0,0,59:37
75,1993-12-16,25,23-297,PHI,,QUE,W,W,2,18,16,.889,0,0,60:00
76,1993-12-19,26,23-300,PHI,@,NJD,L,L,4,37,33,.892,0,0,60:00
77,1993-12-28,27,23-309,PHI,@,PIT,T,T,2,32,30,.938,0,0,54:48
78,1993-12-31,28,23-312,PHI,vs.,BOS,W,W,3,35,32,.914,0,0,60:00
79,1994-01-06,29,23-318,PHI,@,DAL,L,L,5,15,10,.667,0,0,28:22
80,1994-01-11,30,23-323,PHI,,OTT,W,W,1,25,24,.960,0,0,60:00
81,1994-01-13,31,23-325,PHI,,BOS,W,W,2,35,33,.943,0,0,60:00
82,1994-01-16,32,23-328,PHI,,LAK,W,W,2,29,27,.931,0,0,60:00
83,1994-01-19,33,23-331,PHI,,STL,W,W,3,36,33,.917,0,0,60:00
84,1994-01-25,34,23-337,PHI,@,QUE,L,L,5,41,36,.878,0,0,59:23
85,1994-01-29,35,23-341,PHI,,WSH,L,L,3,30,27,.900,0,0,59:07
86,1994-02-02,36,23-345,PHI,vs.,WSH,L,L,5,39,34,.872,0,0,60:00
