,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,2017-03-07,1,24-020,DET,@,TOR,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,19,15:44,1,1,0,0,
1,2017-03-08,2,24-021,DET,@,BOS,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,23,16:09,2,1,0,0,
2,2017-03-10,3,24-023,DET,,CHI,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,19,14:10,1,0,0,0,
3,2017-03-12,4,24-025,DET,,NYR,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,21,15:46,1,0,0,0,
4,2017-03-15,5,24-028,DET,@,COL,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,19,16:34,1,2,0,0,
5,2017-03-16,6,24-029,DET,@,ARI,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,19,15:18,1,0,0,0,
6,2017-03-18,7,24-031,DET,,COL,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,22,18:04,0,2,0,0,
7,2017-03-20,8,24-033,DET,,BUF,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,19,15:04,1,1,0,0,
8,2017-03-21,9,24-034,DET,@,MTL,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,15:05,1,0,0,0,
9,2017-03-24,10,24-037,DET,,TBL,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,15,12:41,1,0,0,0,
10,2017-03-26,11,24-039,DET,,MIN,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,20,17:51,2,1,0,0,
11,2017-03-27,12,24-040,DET,@,CAR,W,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,22,18:51,1,3,0,0,
12,2017-03-28,13,24-041,DET,@,CAR,L,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,21,15:40,0,0,0,0,
13,2017-03-30,14,24-043,DET,@,TBL,L,0,0,0,2,0,0,0,0,0,0,0,0,3,0.0,23,17:10,0,1,0,0,
14,2017-04-01,15,24-045,DET,,TOR,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,12:08,3,0,0,0,
15,2017-04-03,16,24-047,DET,,OTT,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,21,17:38,1,0,0,0,
16,2017-04-04,17,24-048,DET,@,OTT,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,24,17:26,1,0,0,0,
17,2017-04-08,18,24-052,DET,,MTL,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,21,18:19,5,1,0,0,
18,2017-04-09,19,24-053,DET,,NJD,W,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,20,15:41,1,0,0,0,
