,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,2017-10-05,1,27-068,CHI,,PIT,W,0,1,1,4,2,0,0,0,0,1,0,0,1,0.0,29,20:45,1,1,0,0,
1,2017-10-07,2,27-070,CHI,,CBJ,W,1,0,1,3,0,1,0,0,0,0,0,0,3,33.3,28,19:13,1,1,0,0,
2,2017-10-09,3,27-072,CHI,@,TOR,L-OT,1,1,2,0,2,1,0,0,0,0,1,0,1,100.0,26,17:27,0,1,0,0,
3,2017-10-10,4,27-073,CHI,@,MTL,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,31,19:57,1,2,0,0,
4,2017-10-12,5,27-075,CHI,,MIN,L,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,30,17:33,1,1,0,0,
5,2017-10-14,6,27-077,CHI,,NSH,W,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,30,18:54,0,4,0,0,
6,2017-10-18,7,27-081,CHI,@,STL,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,28,18:42,0,1,0,0,
7,2017-10-19,8,27-082,CHI,,EDM,L-OT,0,1,1,1,0,0,0,0,0,1,0,0,2,0.0,32,19:34,1,0,0,0,
8,2017-10-21,9,27-084,CHI,@,ARI,W,0,0,0,-1,2,0,0,0,0,0,0,0,2,0.0,33,21:25,0,0,0,0,
9,2017-10-24,10,27-087,CHI,@,VEG,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,27,19:39,0,3,0,0,
10,2017-10-27,11,27-090,CHI,,NSH,L,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,27,19:35,0,0,0,0,
11,2017-10-28,12,27-091,CHI,@,COL,L,0,0,0,-1,2,0,0,0,0,0,0,0,3,0.0,30,21:25,0,1,0,0,
12,2017-11-01,13,27-095,CHI,,PHI,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,33,19:40,2,2,0,0,
13,2017-11-04,14,27-098,CHI,@,MIN,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,27,17:40,0,2,0,0,
14,2017-11-05,15,27-099,CHI,,MTL,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,26,20:55,1,4,0,0,
15,2017-11-09,16,27-103,CHI,@,PHI,L,0,1,1,-1,0,0,0,0,0,1,0,0,1,0.0,27,18:04,0,0,0,0,
16,2017-11-11,17,27-105,CHI,@,CAR,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,29,22:45,3,0,0,0,
17,2017-11-12,18,27-106,CHI,,NJD,L,1,2,3,-1,0,0,1,0,0,1,1,0,3,33.3,31,22:59,1,2,0,0,
18,2017-11-15,19,27-109,CHI,,NYR,W,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,32,20:49,0,2,0,0,
19,2017-11-18,20,27-112,CHI,@,PIT,W,0,0,0,-1,2,0,0,0,0,0,0,0,1,0.0,31,22:39,3,0,0,0,
20,2017-11-22,21,27-116,CHI,@,TBL,L-OT,0,1,1,1,2,0,0,0,0,1,0,0,0,,34,22:09,0,0,0,0,
21,2017-11-25,22,27-119,CHI,@,FLA,W,0,0,0,2,0,0,0,0,0,0,0,0,3,0.0,29,20:52,0,1,0,0,
