,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,2019-10-02,1,27-064,OTT,@,TOR,L,1,0,1,1,0,1,0,0,0,0,0,0,3,33.3,12,8:27,4,1,0,0,
1,2019-10-05,2,27-067,OTT,,NYR,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,11,6:39,1,1,0,0,
2,2019-10-10,3,27-072,OTT,,STL,L,0,1,1,1,2,0,0,0,0,1,0,0,0,,14,8:16,2,0,0,0,
3,2019-10-12,4,27-074,OTT,,TBL,W,0,0,0,-1,4,0,0,0,0,0,0,0,2,0.0,6,3:26,1,0,0,0,
4,2019-10-14,5,27-076,OTT,,MIN,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,8,5:37,4,0,0,0,
5,2019-10-17,6,27-079,OTT,@,VEG,L-SO,0,0,0,0,5,0,0,0,0,0,0,0,0,,12,7:21,1,0,0,0,
6,2019-10-19,7,27-081,OTT,@,ARI,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,8:14,4,2,0,0,
7,2019-10-23,8,27-085,OTT,,DET,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,8,5:26,1,1,0,1,0.0
8,2019-10-25,9,27-087,OTT,,NYI,L,0,0,0,-2,0,0,0,0,0,0,0,0,2,0.0,12,8:14,4,0,0,0,
9,2019-10-27,10,27-089,OTT,,SJS,W,0,0,0,0,2,0,0,0,0,0,0,0,0,,10,6:48,3,0,0,0,
10,2019-11-02,11,27-095,OTT,@,BOS,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,3,0:21,1,0,0,0,
11,2019-12-29,12,27-152,OTT,,NJD,L-OT,0,0,0,0,2,0,0,0,0,0,0,0,0,,11,7:17,3,0,0,0,
12,2019-12-30,13,27-153,OTT,@,PIT,L,0,1,1,1,2,0,0,0,0,1,0,0,1,0.0,15,7:08,1,2,0,0,
13,2020-01-02,14,27-156,OTT,,FLA,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,12,8:42,3,0,0,0,
14,2020-01-16,15,27-170,OTT,,VEG,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,9,6:53,2,0,0,0,
15,2020-01-18,16,27-172,OTT,,CGY,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,5,3:41,1,1,0,0,
16,2020-01-28,17,27-182,OTT,@,BUF,W,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,12,7:14,5,0,0,0,
17,2020-01-31,18,27-185,OTT,,WSH,L,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,7,4:51,2,0,0,0,
18,2020-02-01,19,27-186,OTT,@,TOR,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,5,2:31,0,0,0,0,
19,2020-02-04,20,27-189,OTT,,ANA,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,11,6:59,4,1,0,0,
20,2020-02-06,21,27-191,OTT,,COL,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,10,6:29,1,0,0,0,
21,2020-02-15,22,27-200,OTT,,TOR,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,9,6:14,2,0,0,0,
22,2020-02-16,23,27-201,OTT,,DAL,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,13,8:07,1,0,0,0,
23,2020-02-18,24,27-203,OTT,,BUF,W,0,1,1,0,0,0,0,0,0,1,0,0,0,,10,7:31,1,0,0,0,
24,2020-02-20,25,27-205,OTT,,WPG,L,0,0,0,0,10,0,0,0,0,0,0,0,1,0.0,9,7:14,3,1,0,0,
25,2020-02-22,26,27-207,OTT,,MTL,L,0,0,0,0,2,0,0,0,0,0,0,0,0,,12,7:30,3,1,0,0,
26,2020-02-24,27,27-209,OTT,@,CBJ,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,7,3:45,0,0,0,0,
27,2020-02-25,28,27-210,OTT,@,NSH,L,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,14,8:55,0,0,0,0,
28,2020-02-27,29,27-212,OTT,,VAN,W,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,10,7:59,1,0,0,0,
29,2020-02-29,30,27-214,OTT,,DET,W,1,0,1,1,0,1,0,0,0,0,0,0,3,33.3,13,7:41,2,0,0,0,
30,2020-03-03,31,27-217,OTT,@,PIT,L,0,0,0,1,0,0,0,0,0,0,0,0,0,,14,9:39,3,0,0,0,
31,2020-03-05,32,27-219,OTT,,NYI,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,8,6:01,1,0,0,0,
32,2020-03-07,33,27-221,OTT,@,SJS,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,18,10:57,3,0,0,0,
33,2020-03-10,34,27-224,OTT,@,ANA,L,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,17,13:09,4,0,0,0,
34,2020-03-11,35,27-225,OTT,@,LAK,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,10:14,2,2,0,0,
