,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,2015-01-08,1,21-305,NSH,,DAL,W,1,0,1,1,0,1,0,0,0,0,0,0,4,25.0,15,10:49,7,1,0,0,
1,2015-11-01,1,22-237,NSH,@,ANA,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,16,9:54,3,1,0,0,
2,2015-11-05,2,22-241,NSH,@,MIN,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,18,12:11,2,0,0,0,
3,2015-11-07,3,22-243,NSH,,STL,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,17,12:40,5,0,0,0,
4,2015-11-10,4,22-246,NSH,,OTT,W,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,20,12:54,5,2,0,0,
5,2015-11-12,5,22-248,NSH,,TOR,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,16,12:57,4,0,0,0,
6,2015-11-14,6,22-250,NSH,,WPG,W,0,0,0,1,2,0,0,0,0,0,0,0,1,0.0,21,13:56,3,0,0,0,
7,2015-11-17,7,22-253,NSH,,ANA,W,1,0,1,1,0,1,0,0,1,0,0,0,2,50.0,14,10:18,4,0,0,0,
8,2015-11-20,8,22-256,NSH,@,CBJ,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,17,10:45,2,0,0,0,
9,2015-12-07,9,22-273,NSH,@,BOS,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,19,12:15,2,0,0,0,
10,2015-12-08,10,22-274,NSH,@,CHI,L,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,19,14:34,2,2,0,0,
11,2015-12-10,11,22-276,NSH,,CHI,W,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,22,11:48,2,0,0,0,
12,2015-12-12,12,22-278,NSH,,COL,L,1,0,1,1,0,1,0,0,0,0,0,0,2,50.0,17,10:43,3,1,0,0,
13,2015-12-15,13,22-281,NSH,,CGY,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,20,13:48,0,1,1,1,50.0
14,2015-12-17,14,22-283,NSH,@,STL,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,19,11:27,1,1,0,0,
15,2015-12-19,15,22-285,NSH,,MIN,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,17,13:34,1,0,0,0,
16,2015-12-21,16,22-287,NSH,,MTL,W,0,0,0,0,4,0,0,0,0,0,0,0,1,0.0,19,14:52,3,0,1,0,100.0
