,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,2009-11-27,1,21-271,NYR,@,TBL,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,22,16:14,1,1,0,0,
1,2009-11-28,2,21-272,NYR,@,PIT,L,0,0,0,1,0,0,0,0,0,,,,2,0.0,18,10:46,2,0,0,0,
2,2009-11-30,3,21-274,NYR,,PIT,L,0,0,0,-1,2,0,0,0,0,,,,0,,16,11:20,0,0,0,0,
3,2009-12-17,4,21-291,NYR,@,NYI,W,0,0,0,0,2,0,0,0,0,,,,1,0.0,14,8:46,0,1,0,0,
4,2009-12-19,5,21-293,NYR,@,PHI,W,0,0,0,1,0,0,0,0,0,,,,1,0.0,15,10:34,0,0,0,0,
5,2012-03-13,1,24-013,CAR,@,NYR,L,0,0,0,-1,0,0,0,0,0,,,,0,,12,9:39,0,1,0,0,
6,2012-03-15,2,24-015,CAR,,STL,W,0,0,0,1,0,0,0,0,0,,,,3,0.0,17,13:45,1,1,0,0,
7,2012-03-18,3,24-018,CAR,@,WPG,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,15,12:25,0,0,0,0,
8,2013-01-19,1,24-325,CAR,@,FLA,L,0,0,0,-1,0,0,0,0,0,,,,0,,25,16:20,1,0,0,0,
9,2013-01-22,2,24-328,CAR,,TBL,L,0,0,0,-2,0,0,0,0,0,,,,0,,21,12:58,0,1,0,0,
10,2013-01-24,3,24-330,CAR,,BUF,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,20,13:31,1,3,0,0,
11,2013-01-28,4,24-334,CAR,,BOS,L,0,0,0,1,0,0,0,0,0,,,,1,0.0,20,15:17,5,2,0,0,
12,2013-02-02,5,24-339,CAR,@,PHI,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,16,12:43,0,0,0,0,
13,2013-02-04,6,24-341,CAR,@,TOR,W,0,0,0,-1,0,0,0,0,0,,,,1,0.0,17,11:04,3,1,0,0,
14,2013-02-07,7,24-344,CAR,@,OTT,W,0,0,0,1,0,0,0,0,0,,,,1,0.0,20,13:11,4,3,0,0,
15,2013-02-09,8,24-346,CAR,@,PHI,L-OT,0,0,0,-3,2,0,0,0,0,,,,1,0.0,16,11:15,0,0,0,0,
16,2013-02-14,9,24-351,CAR,,TOR,W,0,0,0,0,2,0,0,0,0,,,,0,,16,12:20,2,0,0,0,
17,2013-02-18,10,24-355,CAR,@,MTL,L,0,0,0,-2,0,0,0,0,0,,,,1,0.0,21,15:15,2,1,0,0,
18,2013-02-21,11,24-358,CAR,,WPG,L,0,0,0,1,0,0,0,0,0,,,,1,0.0,15,11:20,0,2,0,0,
19,2013-02-23,12,24-360,CAR,,TBL,L,0,1,1,1,0,0,0,0,0,,,,3,0.0,22,16:40,1,0,0,0,
20,2013-02-24,13,24-361,CAR,@,NYI,W,1,0,1,1,0,1,0,0,1,,,,2,50.0,30,21:55,1,2,0,0,
21,2013-02-26,14,24-363,CAR,@,WSH,L,0,0,0,-1,0,0,0,0,0,,,,2,0.0,24,19:53,2,2,0,0,
22,2013-02-28,15,24-365,CAR,,PIT,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,21,17:55,1,3,0,0,
23,2013-03-03,16,25-002,CAR,@,FLA,W,0,0,0,-1,0,0,0,0,0,,,,1,0.0,22,15:58,3,0,0,0,
24,2013-03-05,17,25-004,CAR,,BUF,W,0,1,1,2,0,0,0,0,0,,,,0,,20,15:12,0,0,0,0,
25,2013-03-07,18,25-006,CAR,,MTL,L,0,0,0,1,0,0,0,0,0,,,,4,0.0,22,15:25,1,2,0,0,
26,2013-03-09,19,25-008,CAR,,NJD,W,0,1,1,1,0,0,0,0,0,,,,1,0.0,22,16:09,3,1,0,0,
27,2013-03-12,20,25-011,CAR,@,WSH,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,22,16:29,1,1,0,0,
28,2013-03-14,21,25-013,CAR,,WSH,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,22,14:01,3,1,0,0,
29,2013-03-18,22,25-017,CAR,@,NYR,L-SO,0,0,0,0,0,0,0,0,0,,,,0,,21,14:41,1,1,0,0,
30,2013-03-19,23,25-018,CAR,,FLA,L,0,0,0,-1,0,0,0,0,0,,,,2,0.0,19,16:27,2,2,0,0,
31,2013-03-21,24,25-020,CAR,,NJD,L,0,0,0,-1,0,0,0,0,0,,,,0,,15,12:41,2,1,0,0,
32,2013-04-02,25,25-032,CAR,,WSH,L,0,1,1,0,0,0,0,0,0,,,,2,0.0,19,12:23,0,3,0,0,
