,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,1990-10-04,1,29-242,MTL,@,BUF,T,0,1,1,1,0,0,0,0,0,,,,2,0.0,,,,,,,
1,1990-10-06,2,29-244,MTL,,BUF,W,1,1,2,1,0,0,0,1,0,,,,4,25.0,,,,,,,
2,1990-10-08,3,29-246,MTL,,HAR,W,0,1,1,1,0,0,0,0,0,,,,0,,,,,,,,
3,1990-10-12,4,29-250,MTL,@,NYR,L,0,0,0,-1,0,0,0,0,0,,,,2,0.0,,,,,,,
4,1990-10-13,5,29-251,MTL,@,HAR,L,1,0,1,0,4,1,0,0,0,,,,3,33.3,,,,,,,
5,1990-10-15,6,29-253,MTL,,WSH,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
6,1990-10-17,7,29-255,MTL,@,BUF,W,1,2,3,2,0,1,0,0,0,,,,2,50.0,,,,,,,
7,1990-10-18,8,29-256,MTL,@,DET,L,1,0,1,1,0,1,0,0,0,,,,3,33.3,,,,,,,
8,1990-10-20,9,29-258,MTL,,PHI,L,0,0,0,-1,0,0,0,0,0,,,,3,0.0,,,,,,,
9,1990-10-23,10,29-261,MTL,@,PIT,W,1,1,2,1,0,1,0,0,0,,,,2,50.0,,,,,,,
10,1990-10-24,11,29-262,MTL,,NYI,W,0,2,2,2,0,0,0,0,0,,,,4,0.0,,,,,,,
11,1990-10-27,12,29-265,MTL,@,STL,L,0,0,0,-1,0,0,0,0,0,,,,0,,,,,,,,
12,1990-10-28,13,29-266,MTL,@,CHI,L,0,0,0,-1,4,0,0,0,0,,,,2,0.0,,,,,,,
13,1990-10-31,14,29-269,MTL,@,HAR,W,1,0,1,-1,2,0,1,0,0,,,,3,33.3,,,,,,,
14,1990-11-03,15,29-272,MTL,,DET,W,0,0,0,-1,0,0,0,0,0,,,,3,0.0,,,,,,,
15,1990-11-04,16,29-273,MTL,,MNS,T,0,0,0,0,2,0,0,0,0,,,,3,0.0,,,,,,,
