,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,1990-10-04,1,24-130,NYR,@,CHI,L,1,0,1,2,0,1,0,0,0,,,,1,100.0,,,,,,,
1,1990-10-06,2,24-132,NYR,@,HAR,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
2,1990-10-08,3,24-134,NYR,,MNS,W,0,1,1,1,0,0,0,0,0,,,,3,0.0,,,,,,,
3,1990-10-10,4,24-136,NYR,,WSH,W,0,0,0,0,2,0,0,0,0,,,,0,,,,,,,,
4,1990-10-12,5,24-138,NYR,,MTL,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
5,1990-10-17,6,24-143,NYR,,WIN,W,0,1,1,-1,0,0,0,0,0,,,,1,0.0,,,,,,,
6,1990-10-20,7,24-146,NYR,@,PIT,W,0,1,1,1,0,0,0,0,0,,,,7,0.0,,,,,,,
7,1990-10-22,8,24-148,NYR,,TOR,W,0,1,1,0,0,0,0,0,0,,,,5,0.0,,,,,,,
8,1990-10-25,9,24-151,NYR,,PHI,W,0,1,1,0,0,0,0,0,0,,,,0,,,,,,,,
9,1990-10-29,10,24-155,NYR,,QUE,W,1,0,1,1,2,1,0,0,1,,,,1,100.0,,,,,,,
10,1990-10-31,11,24-157,NYR,,LAK,W,1,1,2,0,0,0,1,0,0,,,,1,100.0,,,,,,,
11,1990-11-02,12,24-159,NYR,,NYI,L,1,0,1,1,0,1,0,0,0,,,,3,33.3,,,,,,,
12,1990-11-03,13,24-160,NYR,@,PIT,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,,,,,,,
13,1990-11-05,14,24-162,NYR,,BOS,L,0,0,0,-1,0,0,0,0,0,,,,5,0.0,,,,,,,
14,1990-11-07,15,24-164,NYR,,BUF,W,0,2,2,1,0,0,0,0,0,,,,1,0.0,,,,,,,
15,1990-11-09,16,24-166,NYR,@,NJD,W,0,0,0,0,0,0,0,0,0,,,,3,0.0,,,,,,,
16,1990-11-11,17,24-168,NYR,,CGY,T,0,0,0,-1,0,0,0,0,0,,,,2,0.0,,,,,,,
17,1990-11-15,18,24-172,NYR,@,MNS,W,2,0,2,3,0,2,0,0,1,,,,5,40.0,,,,,,,
18,1990-11-16,19,24-173,NYR,@,WIN,W,1,1,2,-1,0,1,0,0,0,,,,2,50.0,,,,,,,
19,1990-11-19,20,24-176,NYR,,MNS,T,0,0,0,0,0,0,0,0,0,,,,3,0.0,,,,,,,
20,1990-11-21,21,24-178,NYR,@,BUF,T,1,1,2,1,0,1,0,0,0,,,,4,25.0,,,,,,,
21,1990-11-24,22,24-181,NYR,@,NYI,T,0,0,0,-2,0,0,0,0,0,,,,2,0.0,,,,,,,
22,1990-11-26,23,24-183,NYR,,BUF,W,2,0,2,2,0,2,0,0,0,,,,5,40.0,,,,,,,
23,1990-11-28,24,24-185,NYR,,WSH,L,1,0,1,1,0,1,0,0,0,,,,3,33.3,,,,,,,
24,1990-11-30,25,24-187,NYR,@,PHI,L,0,0,0,-1,0,0,0,0,0,,,,0,,,,,,,,
25,1990-12-03,26,24-190,NYR,,PIT,L,0,2,2,0,0,0,0,0,0,,,,3,0.0,,,,,,,
26,1990-12-05,27,24-192,NYR,@,CGY,L,0,1,1,-2,0,0,0,0,0,,,,2,0.0,,,,,,,
27,1990-12-07,28,24-194,NYR,@,EDM,L,1,0,1,0,0,0,1,0,0,,,,4,25.0,,,,,,,
28,1990-12-11,29,24-198,NYR,@,LAK,W,0,2,2,4,0,0,0,0,0,,,,1,0.0,,,,,,,
29,1990-12-14,30,24-201,NYR,@,VAN,W,1,1,2,0,0,1,0,0,0,,,,3,33.3,,,,,,,
30,1990-12-17,31,24-204,NYR,,WSH,W,1,0,1,0,0,0,1,0,1,,,,3,33.3,,,,,,,
31,1990-12-19,32,24-206,NYR,,TOR,L,1,0,1,-1,0,0,1,0,0,,,,1,100.0,,,,,,,
32,1990-12-22,33,24-209,NYR,@,MTL,L,1,0,1,1,0,1,0,0,0,,,,3,33.3,,,,,,,
33,1990-12-23,34,24-210,NYR,,BOS,T,0,0,0,-2,0,0,0,0,0,,,,1,0.0,,,,,,,
34,1990-12-28,35,24-215,NYR,@,WSH,W,1,0,1,1,0,1,0,0,0,,,,2,50.0,,,,,,,
35,1990-12-30,36,24-217,NYR,,NJD,T,0,1,1,0,0,0,0,0,0,,,,3,0.0,,,,,,,
36,1991-01-02,37,24-220,NYR,,LAK,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
37,1991-01-03,38,24-221,NYR,@,PIT,W,1,2,3,0,0,1,0,0,1,,,,3,33.3,,,,,,,
38,1991-01-05,39,24-223,NYR,@,STL,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
39,1991-01-07,40,24-225,NYR,,PHI,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,,,,,,,
40,1991-01-09,41,24-227,NYR,,STL,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,,,,,,,
41,1991-01-11,42,24-229,NYR,@,DET,L,0,1,1,-1,0,0,0,0,0,,,,4,0.0,,,,,,,
42,1991-01-13,43,24-231,NYR,,HAR,W,0,0,0,0,15,0,0,0,0,,,,1,0.0,,,,,,,
43,1991-01-15,44,24-233,NYR,,EDM,T,0,1,1,0,0,0,0,0,0,,,,1,0.0,,,,,,,
44,1991-01-17,45,24-235,NYR,,CHI,L,0,0,0,-1,0,0,0,0,0,,,,0,,,,,,,,
45,1991-01-22,46,24-240,NYR,@,NYI,L,0,0,0,-1,0,0,0,0,0,,,,2,0.0,,,,,,,
46,1991-01-25,47,24-243,NYR,@,EDM,W,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
47,1991-01-30,48,24-248,NYR,@,CGY,L,0,0,0,-2,0,0,0,0,0,,,,4,0.0,,,,,,,
48,1991-01-31,49,24-249,NYR,@,VAN,T,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
49,1991-02-03,50,24-252,NYR,,WIN,L,1,0,1,1,0,0,1,0,0,,,,1,100.0,,,,,,,
