,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,2003-12-23,1,20-196,NSH,@,MIN,T,0,0,0,-1,0,0,0,0,0,,,,0,,13,11:29,,,,,
1,2003-12-26,2,20-199,NSH,@,DAL,L,0,0,0,0,0,0,0,0,0,,,,0,,3,1:34,,,,,
2,2006-01-30,1,22-234,STL,,CGY,W,0,0,0,0,0,0,0,0,0,,,,0,,11,8:26,,,,,
3,2006-03-05,2,22-268,STL,@,VAN,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,8,4:40,,,,,
4,2006-03-07,3,22-270,STL,,COL,L-SO,0,0,0,0,0,0,0,0,0,,,,1,0.0,7,4:59,,,,,
5,2006-03-10,4,22-273,STL,,MIN,W,1,0,1,1,0,1,0,0,0,,,,1,100.0,13,8:16,,,,,
6,2006-03-11,5,22-274,STL,,LAK,L-SO,0,0,0,0,2,0,0,0,0,,,,2,0.0,16,9:34,,,,,
7,2006-03-13,6,22-276,STL,,CBJ,W,0,0,0,0,0,0,0,0,0,,,,0,,13,9:24,,,,,
8,2006-03-16,7,22-279,STL,@,SJS,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,14,9:32,,,,,
9,2006-03-18,8,22-281,STL,@,LAK,L,0,0,0,0,0,0,0,0,0,,,,0,,5,3:37,,,,,
10,2006-03-20,9,22-283,STL,@,NSH,L,0,0,0,-1,0,0,0,0,0,,,,4,0.0,18,11:28,,,,,
11,2006-03-21,10,22-284,STL,,SJS,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,13,9:27,,,,,
12,2006-03-23,11,22-286,STL,,CGY,L,0,0,0,-2,0,0,0,0,0,,,,0,,17,12:09,,,,,
13,2006-03-25,12,22-288,STL,,COL,L-OT,0,0,0,0,0,0,0,0,0,,,,0,,5,2:20,,,,,
14,2006-03-27,13,22-290,STL,,DET,L,0,1,1,-1,0,0,0,0,0,,,,2,0.0,17,10:32,,,,,
15,2006-03-29,14,22-292,STL,@,CHI,L-OT,0,1,1,0,2,0,0,0,0,,,,2,0.0,14,7:53,,,,,
16,2006-03-31,15,22-294,STL,,CBJ,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,17,11:19,,,,,
17,2006-04-01,16,22-295,STL,@,NSH,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,11,6:54,,,,,
18,2006-04-04,17,22-298,STL,@,MIN,L-SO,1,0,1,1,0,1,0,0,0,,,,1,100.0,16,14:12,,,,,
19,2006-04-06,18,22-300,STL,,NSH,L,0,0,0,0,0,0,0,0,0,,,,0,,11,9:19,,,,,
20,2006-04-08,19,22-302,STL,@,COL,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,7,4:36,,,,,
21,2006-04-09,20,22-303,STL,,EDM,W,0,0,0,0,2,0,0,0,0,,,,1,0.0,7,4:06,,,,,
22,2006-04-11,21,22-305,STL,,NSH,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,12,7:45,,,,,
23,2006-04-18,22,22-312,STL,@,CHI,L-OT,1,0,1,1,0,1,0,0,0,,,,5,20.0,20,15:52,,,,,
