,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,2015-11-03,1,21-107,DAL,@,BOS,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,11:08,1,0,0,0,
1,2015-11-06,2,21-110,DAL,@,CAR,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,19,13:55,1,0,0,1,0.0
2,2015-11-08,3,21-112,DAL,@,DET,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,15,11:18,0,0,0,0,
3,2016-10-13,1,22-086,DAL,,ANA,W,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,17,11:40,1,0,4,6,40.0
4,2016-10-15,2,22-088,DAL,@,COL,L,1,1,2,2,0,1,0,0,0,1,0,0,2,50.0,23,14:02,0,1,7,12,36.8
5,2016-10-18,3,22-091,DAL,@,NSH,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,24,17:12,1,2,6,9,40.0
6,2016-10-20,4,22-093,DAL,,LAK,L-OT,0,1,1,0,0,0,0,0,0,1,0,0,1,0.0,25,16:06,0,3,8,5,61.5
7,2016-10-22,5,22-095,DAL,,CBJ,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,21,17:02,1,0,3,3,50.0
8,2016-10-25,6,22-098,DAL,,WPG,W,0,2,2,0,0,0,0,0,0,1,1,0,0,,21,15:40,0,2,7,10,41.2
9,2016-10-27,7,22-100,DAL,@,WPG,L,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,19,13:46,0,0,5,3,62.5
10,2016-10-29,8,22-102,DAL,@,MIN,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,23,17:35,0,0,7,7,50.0
11,2016-11-01,9,22-105,DAL,@,CBJ,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,22,17:02,1,0,3,7,30.0
12,2016-11-03,10,22-107,DAL,,STL,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,22,15:38,0,2,1,3,25.0
13,2016-11-05,11,22-109,DAL,,CHI,L,0,0,0,-1,4,0,0,0,0,0,0,0,2,0.0,19,15:35,0,0,0,0,
14,2016-11-06,12,22-110,DAL,@,CHI,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,20,10:06,1,0,3,5,37.5
15,2016-11-08,13,22-112,DAL,@,WPG,L,0,1,1,-2,0,0,0,0,0,0,1,0,2,0.0,25,15:54,1,0,13,5,72.2
16,2016-11-10,14,22-114,DAL,@,CGY,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,16,10:33,0,0,5,4,55.6
17,2016-11-11,15,22-115,DAL,@,EDM,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,17,9:28,1,2,4,6,40.0
18,2016-11-13,16,22-117,DAL,@,VAN,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,20,13:07,0,0,5,5,50.0
19,2016-11-15,17,22-119,DAL,,NJD,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,19,15:07,2,3,1,1,50.0
20,2016-11-17,18,22-121,DAL,,COL,W,0,1,1,-1,0,0,0,0,0,0,1,0,0,,28,15:40,0,1,1,1,50.0
21,2016-11-19,19,22-123,DAL,,EDM,L,0,0,0,-2,0,0,0,0,0,0,0,0,0,,16,8:06,0,0,1,3,25.0
22,2016-11-21,20,22-125,DAL,,MIN,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,11:06,2,0,2,4,33.3
23,2016-11-23,21,22-127,DAL,@,NSH,L,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,16,10:46,1,1,5,2,71.4
24,2016-11-25,22,22-129,DAL,,VAN,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,9:25,1,0,1,4,20.0
25,2016-11-28,23,22-132,DAL,@,STL,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,9:32,0,2,0,0,
26,2016-11-29,24,22-133,DAL,@,DET,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,14,9:11,1,0,3,2,60.0
27,2016-12-01,25,22-135,DAL,@,PIT,L,1,0,1,1,0,1,0,0,0,0,0,0,1,100.0,13,8:58,1,0,1,1,50.0
28,2016-12-03,26,22-137,DAL,@,COL,W,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,17,10:51,0,2,5,3,62.5
29,2016-12-06,27,22-140,DAL,,CGY,L,0,0,0,1,0,0,0,0,0,0,0,0,0,,17,12:04,1,1,3,5,37.5
30,2016-12-08,28,22-142,DAL,,NSH,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,22,13:29,0,1,3,7,30.0
31,2016-12-10,29,22-144,DAL,@,PHI,L,2,0,2,1,0,2,0,0,0,0,0,0,4,50.0,17,11:57,1,1,6,6,50.0
32,2016-12-11,30,22-145,DAL,@,CHI,L,1,0,1,1,0,1,0,0,0,0,0,0,4,25.0,17,13:27,0,1,2,3,40.0
33,2016-12-13,31,22-147,DAL,,ANA,W,0,0,0,1,0,0,0,0,0,0,0,0,3,0.0,18,11:56,0,2,2,6,25.0
34,2016-12-15,32,22-149,DAL,,NYR,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,17,11:22,0,0,2,3,40.0
35,2016-12-17,33,22-151,DAL,,PHI,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,19,12:47,0,2,3,2,60.0
36,2016-12-20,34,22-154,DAL,,STL,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,21,14:57,0,1,7,6,53.8
37,2016-12-23,35,22-157,DAL,,LAK,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,26,17:44,0,1,9,7,56.3
38,2016-12-27,36,22-161,DAL,@,ARI,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,22,14:29,1,1,8,5,61.5
39,2016-12-29,37,22-163,DAL,,COL,W,1,0,1,1,0,1,0,0,0,0,0,0,2,50.0,19,13:48,0,0,7,3,70.0
40,2016-12-31,38,22-165,DAL,,FLA,L,0,0,0,0,0,0,0,0,0,0,0,0,5,0.0,26,17:59,1,0,6,5,54.5
41,2017-01-04,39,22-169,DAL,,MTL,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,20,13:59,1,2,6,5,54.5
42,2017-01-07,40,22-172,DAL,@,STL,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,24,17:55,1,1,1,2,33.3
43,2017-01-09,41,22-174,DAL,@,LAK,W,1,1,2,3,0,1,0,0,0,1,0,0,1,100.0,20,13:46,1,0,1,1,50.0
44,2017-01-10,42,22-175,DAL,@,ANA,L,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,25,17:09,0,2,2,0,100.0
45,2017-01-12,43,22-177,DAL,,DET,W,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,18,12:26,0,2,4,5,44.4
46,2017-01-14,44,22-179,DAL,,MIN,L,0,1,1,1,2,0,0,0,0,1,0,0,0,,18,10:37,0,1,0,2,0.0
47,2017-01-16,45,22-181,DAL,@,BUF,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,21,14:20,0,0,0,2,0.0
48,2017-01-17,46,22-182,DAL,@,NYR,W,0,1,1,0,0,0,0,0,0,1,0,0,3,0.0,26,16:29,0,0,0,1,0.0
49,2017-01-19,47,22-184,DAL,@,NYI,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,20,16:06,0,2,1,0,100.0
50,2017-01-21,48,22-186,DAL,,WSH,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,20,14:37,1,1,0,1,0.0
51,2017-01-24,49,22-189,DAL,,MIN,L-SO,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,23,15:37,1,1,4,4,50.0
52,2017-01-26,50,22-191,DAL,,BUF,W,0,1,1,0,0,0,0,0,0,1,0,0,2,0.0,21,15:44,0,1,5,5,50.0
53,2017-01-31,51,22-196,DAL,,TOR,W,1,1,2,2,0,1,0,0,0,1,0,0,2,50.0,26,17:06,1,1,2,4,33.3
54,2017-02-02,52,22-198,DAL,,WPG,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,24,16:59,2,0,3,0,100.0
55,2017-02-04,53,22-200,DAL,,CHI,L,0,1,1,-1,0,0,0,0,0,1,0,0,2,0.0,23,14:40,2,1,1,2,33.3
56,2017-02-07,54,22-203,DAL,@,TOR,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,20,15:16,0,0,1,1,50.0
57,2017-02-09,55,22-205,DAL,@,OTT,L,0,0,0,-2,0,0,0,0,0,0,0,0,2,0.0,24,16:29,0,1,4,7,36.4
58,2017-02-11,56,22-207,DAL,,CAR,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,22,15:03,0,0,3,8,27.3
59,2017-02-12,57,22-208,DAL,@,NSH,L,1,0,1,-1,0,0,1,0,0,0,0,0,2,50.0,20,14:18,0,3,3,5,37.5
60,2017-02-14,58,22-210,DAL,@,WPG,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,19,12:23,0,0,6,2,75.0
61,2017-02-16,59,22-212,DAL,@,MIN,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,20,14:31,0,1,0,1,0.0
62,2017-02-18,60,22-214,DAL,,TBL,W,0,0,0,0,2,0,0,0,0,0,0,0,0,,19,14:23,1,1,0,1,0.0
63,2017-02-24,61,22-220,DAL,,ARI,W,1,1,2,0,0,1,0,0,0,0,1,0,2,50.0,17,11:02,1,1,3,2,60.0
64,2017-02-26,62,22-222,DAL,,BOS,L,0,1,1,0,0,0,0,0,0,1,0,0,0,,11,7:47,0,1,2,5,28.6
65,2017-02-28,63,22-224,DAL,,PIT,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,11:13,0,0,3,3,50.0
66,2017-03-02,64,22-226,DAL,,NYI,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,22,14:54,1,0,1,2,33.3
67,2017-03-04,65,22-228,DAL,@,FLA,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,14,12:22,0,0,4,3,57.1
68,2017-03-06,66,22-230,DAL,@,WSH,W,1,0,1,1,0,1,0,0,0,0,0,0,2,50.0,17,11:50,0,1,0,1,0.0
69,2017-03-08,67,22-232,DAL,,OTT,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,21,14:45,0,0,0,0,
70,2017-03-12,68,22-236,DAL,@,SJS,L,0,0,0,-2,0,0,0,0,0,0,0,0,0,,18,12:23,0,1,0,1,0.0
71,2017-03-14,69,22-238,DAL,@,EDM,L,0,0,0,-2,0,0,0,0,0,0,0,0,0,,22,14:59,0,0,0,0,
72,2017-03-16,70,22-240,DAL,@,VAN,W,0,1,1,1,0,0,0,0,0,1,0,0,2,0.0,24,16:55,1,2,0,0,
73,2017-03-17,71,22-241,DAL,@,CGY,L,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,25,18:35,0,1,0,0,
74,2017-03-20,72,22-244,DAL,,SJS,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,21,16:59,0,1,0,0,
75,2017-03-23,73,22-247,DAL,@,CHI,L-SO,0,0,0,-1,2,0,0,0,0,0,0,0,4,0.0,22,15:09,3,1,0,0,
76,2017-03-24,74,22-248,DAL,,SJS,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,20,14:20,0,2,0,0,
77,2017-03-26,75,22-250,DAL,@,NJD,W,0,1,1,0,0,0,0,0,0,0,1,0,2,0.0,23,15:57,1,0,2,1,66.7
78,2017-03-28,76,22-252,DAL,@,MTL,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,23,15:47,2,2,0,1,0.0
79,2017-03-30,77,22-254,DAL,@,BOS,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,25,17:15,3,1,0,2,0.0
80,2017-04-01,78,22-256,DAL,@,CAR,W,1,0,1,1,0,1,0,0,0,0,0,0,2,50.0,21,16:26,0,2,0,0,
81,2017-04-02,79,22-257,DAL,@,TBL,L,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,21,16:09,1,2,0,0,
82,2017-04-04,80,22-259,DAL,,ARI,W,0,0,0,0,2,0,0,0,0,0,0,0,3,0.0,20,15:03,0,0,0,0,
83,2017-04-06,81,22-261,DAL,,NSH,L,0,0,0,0,0,0,0,0,0,0,0,0,6,0.0,26,17:32,1,0,0,0,
84,2017-04-08,82,22-263,DAL,,COL,W,1,0,1,1,0,1,0,0,0,0,0,0,2,50.0,23,16:45,0,0,0,0,
85,2017-10-06,1,23-079,DAL,,VEG,L,0,1,1,-1,0,0,0,0,0,0,1,0,0,,23,14:43,0,0,2,2,50.0
86,2017-10-07,2,23-080,DAL,@,STL,L,0,1,1,-1,0,0,0,0,0,0,1,0,3,0.0,23,16:07,1,1,2,4,33.3
87,2017-10-10,3,23-083,DAL,,DET,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,21,14:27,2,2,1,2,33.3
88,2017-10-12,4,23-085,DAL,@,NSH,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,22,15:35,0,1,0,2,0.0
89,2017-10-14,5,23-087,DAL,,COL,W,0,2,2,0,0,0,0,0,0,1,1,0,3,0.0,29,17:38,0,0,0,0,
90,2017-10-17,6,23-090,DAL,,ARI,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,22,16:07,1,0,1,1,50.0
91,2017-10-19,7,23-092,DAL,@,ARI,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,25,16:42,1,1,0,2,0.0
92,2017-10-21,8,23-094,DAL,,CAR,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,25,17:26,0,3,1,0,100.0
93,2017-10-24,9,23-097,DAL,@,COL,L,0,0,0,-4,0,0,0,0,0,0,0,0,3,0.0,30,17:51,1,1,2,2,50.0
94,2017-10-26,10,23-099,DAL,@,EDM,L,0,1,1,-1,0,0,0,0,0,0,1,0,3,0.0,28,20:54,2,1,1,0,100.0
95,2017-10-27,11,23-100,DAL,@,CGY,W,0,1,1,0,0,0,0,0,0,0,1,0,2,0.0,27,16:12,1,0,0,0,
96,2017-10-30,12,23-103,DAL,@,VAN,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,24,18:46,2,3,0,2,0.0
97,2017-11-02,13,23-106,DAL,@,WPG,L,0,1,1,-1,0,0,0,0,0,1,0,0,1,0.0,25,16:29,0,2,0,1,0.0
98,2017-11-04,14,23-108,DAL,,BUF,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,22,16:21,0,0,0,1,0.0
99,2017-11-06,15,23-110,DAL,,WPG,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,26,20:37,0,0,2,0,100.0
100,2017-11-10,16,23-114,DAL,,NYI,W,0,0,0,1,0,0,0,0,0,0,0,0,3,0.0,27,19:36,0,0,1,1,50.0
101,2017-11-13,17,23-117,DAL,@,CAR,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,25,16:54,1,0,2,0,100.0
102,2017-11-14,18,23-118,DAL,@,FLA,L-SO,0,0,0,0,2,0,0,0,0,0,0,0,3,0.0,27,20:32,0,0,1,1,50.0
103,2017-11-16,19,23-120,DAL,@,TBL,L,0,0,0,-4,0,0,0,0,0,0,0,0,4,0.0,24,15:37,1,2,2,2,50.0
104,2017-11-18,20,23-122,DAL,,EDM,W,1,0,1,1,0,1,0,0,0,0,0,0,1,100.0,26,19:57,0,1,0,0,
105,2017-11-21,21,23-125,DAL,,MTL,W,1,1,2,2,0,1,0,0,0,1,0,0,1,100.0,24,15:29,0,1,2,0,100.0
106,2017-11-22,22,23-126,DAL,@,COL,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,24,17:51,0,1,0,1,0.0
107,2017-11-24,23,23-128,DAL,,CGY,W,0,1,1,0,0,0,0,0,0,1,0,0,5,0.0,30,19:18,0,0,0,2,0.0
108,2017-11-28,24,23-132,DAL,@,VEG,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,26,18:43,0,0,1,1,50.0
109,2017-11-30,25,23-134,DAL,@,CHI,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,26,14:16,0,0,0,0,
110,2017-12-02,26,23-136,DAL,,CHI,W,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,25,15:29,0,0,0,3,0.0
111,2017-12-03,27,23-137,DAL,@,COL,W,1,1,2,1,0,0,0,1,0,1,0,0,1,100.0,21,12:16,1,2,2,1,66.7
112,2017-12-05,28,23-139,DAL,,NSH,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,22,15:34,3,1,0,0,
113,2017-12-07,29,23-141,DAL,@,STL,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,25,16:39,0,1,0,0,
114,2017-12-09,30,23-143,DAL,,VEG,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,29,18:32,3,0,0,0,
