,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,2015-12-15,1,21-264,NYR,,EDM,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,21,14:54,0,2,0,0,
1,2015-12-17,2,21-266,NYR,@,MIN,L,0,0,0,1,2,0,0,0,0,0,0,0,1,0.0,24,15:17,2,2,0,0,
2,2016-02-23,3,21-334,NYR,@,NJD,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,31,22:17,2,0,0,0,
3,2016-03-08,4,21-348,NYR,@,BUF,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,24,17:38,1,1,0,0,
4,2016-04-05,5,22-010,NYR,,TBL,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,24,16:22,2,2,0,0,
5,2016-04-07,6,22-012,NYR,,NYI,L,0,0,0,-1,2,0,0,0,0,0,0,0,1,0.0,24,15:36,3,2,0,0,
6,2016-04-09,7,22-014,NYR,,DET,W,0,0,0,2,0,0,0,0,0,0,0,0,0,,31,22:04,1,2,0,0,
7,2016-10-13,1,22-201,NYR,,NYI,W,0,1,1,1,2,0,0,0,0,1,0,0,1,0.0,22,14:14,1,1,0,0,
8,2016-10-15,2,22-203,NYR,@,STL,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,24,16:38,3,1,0,0,
9,2016-10-17,3,22-205,NYR,,SJS,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,25,18:13,4,2,0,0,
10,2016-10-19,4,22-207,NYR,,DET,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,12:10,0,0,0,0,
11,2016-10-22,5,22-210,NYR,@,WSH,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,16,10:50,5,1,0,0,
12,2016-10-23,6,22-211,NYR,,ARI,W,0,1,1,2,0,0,0,0,0,1,0,0,2,0.0,21,16:48,1,0,0,0,
13,2016-10-26,7,22-214,NYR,,BOS,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,21,17:14,1,0,0,0,
14,2016-10-28,8,22-216,NYR,@,CAR,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,22,18:02,0,1,0,0,
15,2016-10-30,9,22-218,NYR,,TBL,W,0,1,1,1,0,0,0,0,0,1,0,0,0,,24,16:02,2,2,0,0,
16,2016-11-01,10,22-220,NYR,,STL,W,0,1,1,0,0,0,0,0,0,0,1,0,3,0.0,24,18:37,3,0,0,0,
17,2016-11-03,11,22-222,NYR,,EDM,W,0,2,2,1,0,0,0,0,0,2,0,0,1,0.0,24,17:50,1,0,0,0,
18,2016-11-05,12,22-224,NYR,@,BOS,W,0,1,1,0,0,0,0,0,0,0,1,0,0,,22,14:44,1,1,0,0,
19,2016-11-06,13,22-225,NYR,,WPG,W,0,1,1,0,0,0,0,0,0,1,0,0,0,,20,17:51,2,2,0,0,
20,2016-11-08,14,22-227,NYR,,VAN,L,0,1,1,0,0,0,0,0,0,1,0,0,1,0.0,24,17:21,3,0,0,0,
21,2016-11-12,15,22-231,NYR,@,CGY,W,0,0,0,2,0,0,0,0,0,0,0,0,2,0.0,23,18:40,1,0,0,0,
22,2016-11-13,16,22-232,NYR,@,EDM,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,28,15:59,2,2,0,0,
23,2016-11-15,17,22-234,NYR,@,VAN,W,0,1,1,-1,0,0,0,0,0,1,0,0,2,0.0,28,19:07,0,1,0,0,
