,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,2015-10-08,1,21-148,EDM,@,STL,L,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,19,14:19,1,0,0,0,
1,2015-10-10,2,21-150,EDM,@,NSH,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,12,8:17,0,0,0,0,
2,2015-10-13,3,21-153,EDM,@,DAL,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,8,5:27,0,1,0,0,
3,2015-10-15,4,21-155,EDM,,STL,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,10,5:58,0,0,0,0,
4,2015-10-18,5,21-158,EDM,@,VAN,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,14,9:57,2,0,0,0,
5,2015-10-21,6,21-161,EDM,,DET,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,7,4:23,1,0,0,0,
6,2015-10-23,7,21-163,EDM,,WSH,L,0,1,1,1,0,0,0,0,0,1,0,0,2,0.0,16,12:52,1,0,0,0,
7,2015-10-27,8,21-167,EDM,@,MIN,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,11,7:36,2,0,0,0,
8,2015-10-29,9,21-169,EDM,,MTL,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,15,9:34,1,0,1,0,100.0
9,2015-10-31,10,21-171,EDM,,CGY,L,0,0,0,-2,0,0,0,0,0,0,0,0,0,,10,6:07,3,0,0,0,
10,2015-11-12,11,21-183,EDM,@,ARI,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,16,11:06,2,0,0,0,
11,2016-10-12,1,22-152,EDM,,CGY,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,12,9:22,1,0,0,0,
12,2016-10-18,2,22-158,EDM,,CAR,W,1,0,1,1,0,1,0,0,0,0,0,0,2,50.0,18,13:55,1,0,0,0,
13,2016-10-20,3,22-160,EDM,,STL,W,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,17,10:06,1,1,0,0,
14,2016-11-06,4,22-177,EDM,@,DET,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,13,9:40,1,0,0,0,
15,2016-11-08,5,22-179,EDM,@,PIT,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,15,9:00,0,1,0,0,
