,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,2001-12-01,1,22-253,FLA,,ATL,L,0,0,0,0,0,0,0,0,0,,,,0,,13,9:21,,,,,
1,2001-12-05,2,22-257,FLA,,CBJ,W,0,0,0,0,0,0,0,0,0,,,,0,,11,7:11,,,,,
2,2001-12-08,3,22-260,FLA,,CAR,L,0,0,0,0,0,0,0,0,0,,,,0,,4,2:07,,,,,
3,2002-03-20,4,22-362,FLA,,MTL,L,0,0,0,-1,0,0,0,0,0,,,,0,,12,5:52,,,,,
4,2002-03-21,5,22-363,FLA,@,CAR,L,0,0,0,0,0,0,0,0,0,,,,0,,6,3:30,,,,,
5,2002-03-23,6,23-000,FLA,,BOS,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,7,4:14,,,,,
6,2002-03-25,7,23-002,FLA,@,NJD,L,0,0,0,0,0,0,0,0,0,,,,0,,6,3:20,,,,,
7,2002-03-26,8,23-003,FLA,@,MTL,W,0,0,0,0,0,0,0,0,0,,,,0,,3,2:25,,,,,
8,2002-03-28,9,23-005,FLA,@,OTT,W,0,0,0,0,0,0,0,0,0,,,,0,,3,1:19,,,,,
9,2002-03-30,10,23-007,FLA,,NYR,L,0,0,0,0,0,0,0,0,0,,,,0,,3,1:52,,,,,
10,2002-04-05,11,23-013,FLA,@,BUF,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,8,4:07,,,,,
11,2002-04-06,12,23-014,FLA,@,TOR,T,0,0,0,0,0,0,0,0,0,,,,0,,1,0:52,,,,,
12,2002-04-08,13,23-016,FLA,@,PHI,T,0,0,0,0,0,0,0,0,0,,,,0,,5,4:16,,,,,
13,2002-04-10,14,23-018,FLA,@,ATL,T,0,0,0,1,0,0,0,0,0,,,,0,,8,6:00,,,,,
14,2002-04-12,15,23-020,FLA,,CAR,L,0,0,0,-1,0,0,0,0,0,,,,0,,8,5:51,,,,,
