,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,1995-01-22,1,18-335,EDM,@,LAK,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,,,,,,,
1,1995-01-30,2,18-343,EDM,,DET,L,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
2,1995-05-03,3,19-071,EDM,@,CGY,L,0,0,0,-1,0,0,0,0,0,,,,0,,,,,,,,
3,1995-10-10,1,19-231,EDM,@,STL,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
4,1995-11-10,2,19-262,EDM,@,TBL,W,0,0,0,0,2,0,0,0,0,,,,4,0.0,,,,,,,
5,1995-11-12,3,19-264,EDM,@,CHI,T,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
6,1995-11-14,4,19-266,EDM,@,CGY,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
7,1995-11-15,5,19-267,EDM,,MTL,L,0,0,0,-1,0,0,0,0,0,,,,4,0.0,,,,,,,
8,1995-11-17,6,19-269,EDM,,DET,L,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
9,1995-11-20,7,19-272,EDM,,COL,T,0,0,0,-1,2,0,0,0,0,,,,6,0.0,,,,,,,
10,1995-11-22,8,19-274,EDM,,MDA,W,0,0,0,0,0,0,0,0,0,,,,4,0.0,,,,,,,
11,1995-11-24,9,19-276,EDM,@,CGY,W,1,0,1,0,2,0,1,0,0,,,,1,100.0,,,,,,,
12,1995-11-26,10,19-278,EDM,@,WIN,L,0,0,0,-1,2,0,0,0,0,,,,4,0.0,,,,,,,
13,1995-11-28,11,19-280,EDM,,CHI,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,,,,,,,
14,1995-12-01,12,19-283,EDM,,CGY,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
15,1995-12-02,13,19-284,EDM,,STL,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,,,,,,,
16,1995-12-05,14,19-287,EDM,@,VAN,L,0,2,2,0,0,0,0,0,0,,,,0,,,,,,,,
17,1995-12-07,15,19-289,EDM,@,COL,W,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
18,1995-12-09,16,19-291,EDM,@,SJS,W,0,0,0,-1,0,0,0,0,0,,,,2,0.0,,,,,,,
19,1995-12-10,17,19-292,EDM,@,MDA,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,,,,,,,
20,1995-12-13,18,19-295,EDM,,VAN,T,0,0,0,0,0,0,0,0,0,,,,2,0.0,,,,,,,
21,1995-12-15,19,19-297,EDM,@,WIN,L,0,0,0,-1,2,0,0,0,0,,,,1,0.0,,,,,,,
22,1995-12-18,20,19-300,EDM,,OTT,W,0,0,0,1,0,0,0,0,0,,,,2,0.0,,,,,,,
23,1995-12-20,21,19-302,EDM,,COL,L,0,0,0,0,2,0,0,0,0,,,,0,,,,,,,,
24,1995-12-22,22,19-304,EDM,@,WSH,L,0,0,0,-1,0,0,0,0,0,,,,0,,,,,,,,
25,1995-12-23,23,19-305,EDM,@,TOR,L,0,0,0,-1,0,0,0,0,0,,,,0,,,,,,,,
26,1996-01-16,24,19-329,EDM,@,STL,W,0,1,1,1,0,0,0,0,0,,,,2,0.0,,,,,,,
27,1996-01-17,25,19-330,EDM,@,DAL,W,0,1,1,1,2,0,0,0,0,,,,4,0.0,,,,,,,
28,1996-01-24,26,19-337,EDM,,DAL,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,,,,,,,
29,1996-01-26,27,19-339,EDM,,NYI,W,0,0,0,0,2,0,0,0,0,,,,2,0.0,,,,,,,
30,1996-02-07,28,19-351,EDM,,WSH,L,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
31,1996-02-25,29,20-004,EDM,@,NYI,L,0,0,0,0,2,0,0,0,0,,,,3,0.0,,,,,,,
32,1996-02-27,30,20-006,EDM,@,BOS,W,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
33,1996-02-28,31,20-007,EDM,@,HAR,T,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
34,1996-03-08,32,20-016,EDM,,SJS,W,1,0,1,1,0,1,0,0,0,,,,2,50.0,,,,,,,
35,1996-03-13,33,20-021,EDM,@,SJS,W,0,1,1,0,0,0,0,0,0,,,,2,0.0,,,,,,,
36,1996-03-16,34,20-024,EDM,@,LAK,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
37,1996-03-17,35,20-025,EDM,@,COL,L,0,0,0,-3,0,0,0,0,0,,,,1,0.0,,,,,,,
38,1996-03-19,36,20-027,EDM,@,NYR,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
39,1996-03-21,37,20-029,EDM,@,PIT,L,0,1,1,-3,0,0,0,0,0,,,,2,0.0,,,,,,,
40,1996-03-23,38,20-031,EDM,@,MTL,W,0,1,1,0,0,0,0,0,0,,,,0,,,,,,,,
41,1996-03-24,39,20-032,EDM,@,OTT,W,0,0,0,1,0,0,0,0,0,,,,0,,,,,,,,
42,1996-03-27,40,20-035,EDM,,LAK,T,0,1,1,0,0,0,0,0,0,,,,0,,,,,,,,
43,1996-03-29,41,20-037,EDM,,WIN,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
44,1996-03-30,42,20-038,EDM,,TOR,L,0,0,0,-1,2,0,0,0,0,,,,0,,,,,,,,
45,1996-04-01,43,20-040,EDM,@,VAN,W,0,1,1,1,0,0,0,0,0,,,,1,0.0,,,,,,,
46,1996-04-03,44,20-042,EDM,@,MDA,L,0,0,0,0,4,0,0,0,0,,,,1,0.0,,,,,,,
47,1996-04-04,45,20-043,EDM,@,SJS,L,0,0,0,1,2,0,0,0,0,,,,0,,,,,,,,
48,1996-04-08,46,20-047,EDM,,CGY,L,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
49,1996-04-10,47,20-049,EDM,,DAL,L,0,0,0,-1,2,0,0,0,0,,,,1,0.0,,,,,,,
50,1996-04-13,48,20-052,EDM,@,TOR,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
51,1996-10-04,1,20-226,EDM,,BUF,W,1,0,1,1,0,1,0,0,0,,,,3,33.3,,,,,,,
52,1996-10-06,2,20-228,EDM,,VAN,W,0,1,1,1,0,0,0,0,0,,,,1,0.0,,,,,,,
53,1996-10-08,3,20-230,EDM,@,TOR,W,3,0,3,3,0,3,0,0,1,,,,5,60.0,,,,,,,
54,1996-10-09,4,20-231,EDM,@,DET,L,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
55,1996-10-11,5,20-233,EDM,,STL,L,0,0,0,0,0,0,0,0,0,,,,5,0.0,,,,,,,
56,1996-10-14,6,20-236,EDM,@,PHX,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,,,,,,,
57,1996-10-15,7,20-237,EDM,@,COL,L,0,0,0,-1,0,0,0,0,0,,,,3,0.0,,,,,,,
58,1996-10-20,8,20-242,EDM,@,CGY,L,1,0,1,-1,0,1,0,0,0,,,,4,25.0,,,,,,,
59,1996-10-22,9,20-244,EDM,,PIT,W,2,0,2,1,0,2,0,0,0,,,,3,66.7,,,,,,,
60,1996-10-24,10,20-246,EDM,@,LAK,W,0,1,1,0,2,0,0,0,0,,,,1,0.0,,,,,,,
61,1996-10-26,11,20-248,EDM,,COL,L,0,0,0,-2,2,0,0,0,0,,,,0,,,,,,,,
62,1996-10-30,12,20-252,EDM,,PHX,W,2,1,3,2,0,1,1,0,1,,,,5,40.0,,,,,,,
63,1996-11-01,13,20-254,EDM,,VAN,L,0,0,0,-2,0,0,0,0,0,,,,1,0.0,,,,,,,
64,1996-11-03,14,20-256,EDM,@,CHI,L,0,0,0,1,0,0,0,0,0,,,,1,0.0,,,,,,,
