,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,1994-02-26,1,22-290,TOR,,MTL,L,0,0,0,-1,2,0,0,0,0,,,,4,0.0,,,,,,,
1,1994-02-28,2,22-292,TOR,@,OTT,W,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
2,1995-02-04,1,23-268,LAK,,DET,W,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
3,1995-02-05,2,23-269,LAK,,MDA,L,0,0,0,-2,0,0,0,0,0,,,,3,0.0,,,,,,,
4,1995-02-07,3,23-271,LAK,@,STL,T,0,0,0,-1,0,0,0,0,0,,,,0,,,,,,,,
5,1995-02-17,4,23-281,LAK,,SJS,L,0,0,0,-1,0,0,0,0,0,,,,2,0.0,,,,,,,
6,1995-02-18,5,23-282,LAK,,VAN,L,0,0,0,0,0,0,0,0,0,,,,4,0.0,,,,,,,
7,1995-02-23,6,23-287,LAK,,CGY,T,0,0,0,0,0,0,0,0,0,,,,2,0.0,,,,,,,
8,1995-03-11,7,23-303,LAK,@,WIN,W,0,0,0,-1,0,0,0,0,0,,,,1,0.0,,,,,,,
9,1995-03-13,8,23-305,LAK,@,TOR,W,0,0,0,-1,2,0,0,0,0,,,,2,0.0,,,,,,,
10,1995-03-14,9,23-306,LAK,@,DET,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,,,,,,,
11,1995-03-16,10,23-308,LAK,,STL,T,0,0,0,0,0,0,0,0,0,,,,2,0.0,,,,,,,
12,1995-03-18,11,23-310,LAK,,TOR,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
13,1995-03-20,12,23-312,LAK,,STL,W,0,1,1,1,2,0,0,0,0,,,,0,,,,,,,,
14,1995-03-21,13,23-313,LAK,@,MDA,T,0,0,0,-1,0,0,0,0,0,,,,0,,,,,,,,
15,1995-03-25,14,23-317,LAK,,SJS,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,,,,,,,
16,1995-03-26,15,23-318,LAK,@,SJS,W,1,1,2,0,0,0,0,1,0,,,,2,50.0,,,,,,,
17,1995-03-28,16,23-320,LAK,@,CGY,W,0,0,0,-1,0,0,0,0,0,,,,0,,,,,,,,
18,1995-03-29,17,23-321,LAK,@,VAN,L,0,0,0,-1,0,0,0,0,0,,,,0,,,,,,,,
19,1995-04-01,18,23-324,LAK,,WIN,T,0,0,0,-2,0,0,0,0,0,,,,4,0.0,,,,,,,
20,1995-04-03,19,23-326,LAK,,EDM,W,0,1,1,2,2,0,0,0,0,,,,4,0.0,,,,,,,
21,1995-04-06,20,23-329,LAK,,DAL,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
22,1995-04-07,21,23-330,LAK,@,CGY,L,1,1,2,1,0,0,0,1,0,,,,2,50.0,,,,,,,
23,1995-04-09,22,23-332,LAK,@,MDA,L,0,0,0,-1,0,0,0,0,0,,,,2,0.0,,,,,,,
24,1995-04-12,23,23-335,LAK,,CGY,L,0,0,0,1,0,0,0,0,0,,,,0,,,,,,,,
25,1995-04-16,24,23-339,LAK,@,SJS,L,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
26,1995-04-17,25,23-340,LAK,@,CGY,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,,,,,,,
27,1995-04-19,26,23-342,LAK,@,EDM,L,0,0,0,0,12,0,0,0,0,,,,2,0.0,,,,,,,
28,1995-04-21,27,23-344,LAK,,EDM,T,0,1,1,1,2,0,0,0,0,,,,1,0.0,,,,,,,
29,1995-04-25,28,23-348,LAK,,DET,W,0,1,1,2,2,0,0,0,0,,,,0,,,,,,,,
30,1995-04-28,29,23-351,LAK,@,SJS,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
31,1995-04-30,30,23-353,LAK,,MDA,W,0,0,0,0,0,0,0,0,0,,,,3,0.0,,,,,,,
32,1995-05-02,31,23-355,LAK,@,WIN,W,0,1,1,-1,0,0,0,0,0,,,,0,,,,,,,,
33,1995-05-03,32,23-356,LAK,@,CHI,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,,,,,,,
