,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,2007-11-24,1,20-145,BOS,@,NYI,L,0,0,0,0,0,0,0,0,0,,,,0,,6,4:45,1,0,0,4,0.0
1,2007-11-26,2,20-147,BOS,@,PHI,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,12,6:02,0,0,1,2,33.3
2,2007-11-29,3,20-150,BOS,@,FLA,W,0,0,0,0,2,0,0,0,0,,,,0,,16,9:24,2,0,5,2,71.4
3,2007-12-01,4,20-152,BOS,@,TBL,L,0,0,0,-1,2,0,0,0,0,,,,1,0.0,15,10:43,1,0,4,4,50.0
4,2007-12-03,5,20-154,BOS,@,NYI,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,13,6:35,0,0,4,3,57.1
5,2007-12-05,6,20-156,BOS,@,NJD,L-OT,0,0,0,0,0,0,0,0,0,,,,0,,7,4:02,2,0,0,2,0.0
6,2007-12-12,7,20-163,BOS,@,ATL,W,0,1,1,1,0,0,0,0,0,,,,2,0.0,12,7:23,1,1,1,0,100.0
7,2007-12-13,8,20-164,BOS,,NJD,L,0,0,0,0,0,0,0,0,0,,,,0,,8,6:41,1,0,2,0,100.0
8,2007-12-15,9,20-166,BOS,,CBJ,W,0,1,1,1,0,0,0,0,0,,,,0,,10,6:04,1,0,3,1,75.0
9,2007-12-18,10,20-169,BOS,,OTT,L,0,0,0,0,4,0,0,0,0,,,,0,,8,4:12,0,0,4,4,50.0
10,2007-12-20,11,20-171,BOS,,PIT,L-SO,0,0,0,0,0,0,0,0,0,,,,0,,17,8:57,4,0,4,7,36.4
11,2007-12-22,12,20-173,BOS,,STL,L,0,0,0,-1,0,0,0,0,0,,,,2,0.0,13,9:26,0,0,4,1,80.0
12,2007-12-23,13,20-174,BOS,@,PIT,L,0,0,0,1,0,0,0,0,0,,,,3,0.0,13,10:19,3,1,2,4,33.3
13,2007-12-28,14,20-179,BOS,@,CAR,L,0,0,0,0,2,0,0,0,0,,,,0,,6,4:03,2,1,1,2,33.3
14,2008-01-12,15,20-194,BOS,@,PHI,W,0,0,0,0,0,0,0,0,0,,,,4,0.0,14,11:22,1,0,0,4,0.0
15,2008-01-17,16,20-199,BOS,,TOR,L-SO,0,0,0,0,0,0,0,0,0,,,,0,,20,13:00,0,0,0,0,
