,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,1990-10-04,1,23-266,VAN,@,CGY,L,0,0,0,0,2,0,0,0,0,,,,2,0.0,,,,,,,
1,1990-10-06,2,23-268,VAN,@,LAK,W,1,0,1,0,7,1,0,0,0,,,,1,100.0,,,,,,,
2,1990-10-09,3,23-271,VAN,,LAK,L,0,0,0,-2,9,0,0,0,0,,,,0,,,,,,,,
3,1990-10-12,4,23-274,VAN,,STL,W,0,0,0,0,12,0,0,0,0,,,,2,0.0,,,,,,,
4,1990-10-14,5,23-276,VAN,,EDM,W,0,0,0,-1,0,0,0,0,0,,,,0,,,,,,,,
5,1990-10-17,6,23-279,VAN,,BOS,W,0,0,0,0,4,0,0,0,0,,,,0,,,,,,,,
6,1990-10-19,7,23-281,VAN,@,WIN,L,0,0,0,-2,0,0,0,0,0,,,,0,,,,,,,,
7,1990-10-21,8,23-283,VAN,@,QUE,W,0,0,0,0,2,0,0,0,0,,,,0,,,,,,,,
8,1990-10-23,9,23-285,VAN,@,DET,L,0,0,0,0,9,0,0,0,0,,,,2,0.0,,,,,,,
9,1990-10-25,10,23-287,VAN,@,BOS,L,0,0,0,0,10,0,0,0,0,,,,1,0.0,,,,,,,
10,1990-10-27,11,23-289,VAN,@,HAR,W,0,1,1,1,0,0,0,0,0,,,,0,,,,,,,,
11,1990-10-30,12,23-292,VAN,,WSH,L,0,0,0,0,4,0,0,0,0,,,,1,0.0,,,,,,,
12,1991-01-23,13,24-012,VAN,,EDM,W,0,0,0,-1,0,0,0,0,0,,,,1,0.0,,,,,,,
13,1991-01-25,14,24-014,VAN,,LAK,L,0,1,1,0,9,0,0,0,0,,,,0,,,,,,,,
14,1991-01-26,15,24-015,VAN,@,LAK,L,0,1,1,1,0,0,0,0,0,,,,3,0.0,,,,,,,
15,1991-01-28,16,24-017,VAN,,CHI,L,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
16,1991-01-30,17,24-019,VAN,@,EDM,L,0,0,0,0,27,0,0,0,0,,,,1,0.0,,,,,,,
17,1991-01-31,18,24-020,VAN,,NYR,T,0,0,0,-1,2,0,0,0,0,,,,0,,,,,,,,
18,1991-02-02,19,24-022,VAN,@,LAK,L,0,0,0,-3,2,0,0,0,0,,,,1,0.0,,,,,,,
19,1991-02-05,20,24-025,VAN,@,WSH,L,0,0,0,-1,7,0,0,0,0,,,,0,,,,,,,,
20,1991-02-10,21,24-030,VAN,@,NJD,L,0,0,0,-1,17,0,0,0,0,,,,0,,,,,,,,
21,1991-02-14,22,24-034,VAN,,STL,L,0,0,0,-1,0,0,0,0,0,,,,2,0.0,,,,,,,
22,1991-02-16,23,24-036,VAN,,WSH,W,1,0,1,2,0,1,0,0,0,,,,2,50.0,,,,,,,
23,1991-02-18,24,24-038,VAN,,QUE,T,0,0,0,0,5,0,0,0,0,,,,1,0.0,,,,,,,
24,1991-02-20,25,24-040,VAN,@,WIN,T,0,0,0,-1,5,0,0,0,0,,,,1,0.0,,,,,,,
25,1991-02-21,26,24-041,VAN,@,CGY,L,0,0,0,-2,0,0,0,0,0,,,,3,0.0,,,,,,,
