,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,1990-10-05,1,25-173,PIT,@,WSH,W,2,4,6,4,0,2,0,0,1,,,,4,50.0,,,,,,,
1,1990-10-07,2,25-175,PIT,,NJD,W,0,3,3,1,5,0,0,0,0,,,,4,0.0,,,,,,,
2,1990-10-09,3,25-177,PIT,@,STL,L,0,2,2,1,2,0,0,0,0,,,,2,0.0,,,,,,,
3,1990-10-11,4,25-179,PIT,@,CHI,L,1,0,1,1,2,1,0,0,0,,,,4,25.0,,,,,,,
4,1990-10-13,5,25-181,PIT,@,NYI,W,1,1,2,0,2,0,1,0,0,,,,5,20.0,,,,,,,
5,1990-10-16,6,25-184,PIT,,PHI,L,0,1,1,-1,2,0,0,0,0,,,,4,0.0,,,,,,,
6,1990-10-19,7,25-187,PIT,@,BUF,T,0,1,1,0,0,0,0,0,0,,,,2,0.0,,,,,,,
7,1990-10-20,8,25-188,PIT,,NYR,L,0,0,0,1,0,0,0,0,0,,,,1,0.0,,,,,,,
8,1990-10-23,9,25-191,PIT,,MTL,L,0,0,0,-2,0,0,0,0,0,,,,4,0.0,,,,,,,
9,1990-10-25,10,25-193,PIT,,QUE,W,3,0,3,3,0,2,1,0,1,,,,7,42.9,,,,,,,
10,1990-10-27,11,25-195,PIT,@,NJD,L,0,1,1,-1,0,0,0,0,0,,,,4,0.0,,,,,,,
11,1990-10-28,12,25-196,PIT,,NYI,W,1,0,1,0,0,0,1,0,0,,,,4,25.0,,,,,,,
12,1990-10-30,13,25-198,PIT,@,PHI,W,1,0,1,1,0,1,0,0,0,,,,4,25.0,,,,,,,
13,1990-11-03,14,25-202,PIT,,NYR,W,0,1,1,1,0,0,0,0,0,,,,7,0.0,,,,,,,
14,1990-11-06,15,25-205,PIT,,CGY,W,0,1,1,0,0,0,0,0,0,,,,0,,,,,,,,
15,1990-11-08,16,25-207,PIT,,STL,L,1,0,1,2,0,1,0,0,0,,,,4,25.0,,,,,,,
16,1990-11-10,17,25-209,PIT,@,BOS,T,1,0,1,-2,2,1,0,0,0,,,,5,20.0,,,,,,,
17,1990-11-13,18,25-212,PIT,@,MNS,W,0,1,1,0,4,0,0,0,0,,,,0,,,,,,,,
18,1990-11-14,19,25-213,PIT,@,WIN,W,1,1,2,2,2,1,0,0,0,,,,2,50.0,,,,,,,
19,1990-11-17,20,25-216,PIT,@,LAK,L,0,0,0,0,4,0,0,0,0,,,,1,0.0,,,,,,,
20,1990-11-21,21,25-220,PIT,,PHI,L,0,0,0,-2,0,0,0,0,0,,,,1,0.0,,,,,,,
21,1990-11-23,22,25-222,PIT,@,WSH,L,0,0,0,-2,0,0,0,0,0,,,,2,0.0,,,,,,,
22,1990-11-24,23,25-223,PIT,,WSH,W,0,1,1,0,10,0,0,0,0,,,,4,0.0,,,,,,,
23,1990-11-27,24,25-226,PIT,,EDM,L,0,0,0,-4,0,0,0,0,0,,,,4,0.0,,,,,,,
24,1990-11-29,25,25-228,PIT,,HAR,L,2,0,2,-3,4,0,2,0,0,,,,5,40.0,,,,,,,
25,1990-12-01,26,25-230,PIT,@,MNS,L,1,0,1,-3,0,0,1,0,0,,,,1,100.0,,,,,,,
26,1990-12-03,27,25-232,PIT,@,NYR,W,1,1,2,1,0,1,0,0,1,,,,5,20.0,,,,,,,
27,1990-12-05,28,25-234,PIT,,WSH,L,0,0,0,-2,2,0,0,0,0,,,,6,0.0,,,,,,,
28,1990-12-07,29,25-236,PIT,,VAN,T,1,0,1,-1,0,1,0,0,0,,,,4,25.0,,,,,,,
29,1990-12-08,30,25-237,PIT,@,HAR,L,0,0,0,0,2,0,0,0,0,,,,3,0.0,,,,,,,
30,1990-12-11,31,25-240,PIT,,CHI,L,1,0,1,0,0,1,0,0,0,,,,6,16.7,,,,,,,
31,1990-12-13,32,25-242,PIT,,NJD,W,1,0,1,1,2,1,0,0,0,,,,4,25.0,,,,,,,
32,1990-12-14,33,25-243,PIT,@,BUF,W,0,1,1,1,2,0,0,0,0,,,,3,0.0,,,,,,,
33,1990-12-16,34,25-245,PIT,,DET,W,0,0,0,1,0,0,0,0,0,,,,1,0.0,,,,,,,
