,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,2014-01-11,1,26-051,COL,@,MIN,W,0,0,0,1,2,0,0,0,0,,,,1,0.0,17,10:55,1,0,0,0,
1,2014-01-16,2,26-056,COL,,NJD,W,0,0,0,0,0,0,0,0,0,,,,0,,3,2:06,2,0,0,0,
2,2014-11-26,1,27-005,COL,,CHI,L,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,18,12:29,1,3,0,0,
3,2014-12-04,2,27-013,COL,@,CGY,L-OT,0,0,0,2,0,0,0,0,0,0,0,0,0,,19,12:23,1,1,0,0,
4,2014-12-05,3,27-014,COL,@,WPG,L,0,0,0,0,2,0,0,0,0,0,0,0,0,,24,17:34,1,2,0,0,
5,2014-12-09,4,27-018,COL,,NSH,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,10,6:39,0,0,0,0,
6,2014-12-11,5,27-020,COL,,WPG,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,13,8:01,2,1,0,0,
7,2015-04-03,6,27-133,SJS,,ARI,W,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,23,16:49,4,2,0,0,
8,2015-04-04,7,27-134,SJS,@,ARI,L,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,24,16:55,5,3,0,0,
9,2015-04-06,8,27-136,SJS,,DAL,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,27,16:08,0,4,0,0,
10,2015-04-09,9,27-139,SJS,@,EDM,W,0,0,0,0,2,0,0,0,0,0,0,0,0,,23,17:52,6,4,0,0,
11,2015-04-11,10,27-141,SJS,@,LAK,L,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,29,22:27,3,1,0,0,
12,2017-01-12,1,29-052,NJD,@,EDM,L-OT,0,0,0,1,0,0,0,0,0,0,0,0,0,,20,15:59,3,1,0,0,
13,2017-01-13,2,29-053,NJD,@,CGY,W,0,1,1,0,0,0,0,0,0,0,1,0,1,0.0,24,17:37,3,1,0,0,
14,2017-01-15,3,29-055,NJD,@,VAN,W,0,0,0,-1,2,0,0,0,0,0,0,0,1,0.0,23,14:40,0,1,0,0,
15,2017-01-17,4,29-057,NJD,@,MIN,W,0,1,1,-1,2,0,0,0,0,0,1,0,0,,22,15:00,1,1,0,0,
16,2017-01-20,5,29-060,NJD,,MTL,L,0,0,0,1,5,0,0,0,0,0,0,0,1,0.0,26,18:35,2,2,0,0,
17,2017-01-21,6,29-061,NJD,@,PHI,W,0,1,1,1,2,0,0,0,0,0,1,0,2,0.0,21,15:07,2,4,0,0,
18,2017-01-24,7,29-064,NJD,,LAK,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,23,16:56,1,0,0,0,
19,2017-01-26,8,29-066,NJD,,WSH,L,0,0,0,-1,2,0,0,0,0,0,0,0,1,0.0,20,18:11,1,0,0,0,
20,2017-01-31,9,29-071,NJD,@,DET,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,19,17:55,2,5,0,0,
21,2017-02-06,10,29-077,NJD,,BUF,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,25,16:29,6,1,0,0,
22,2017-03-05,11,29-104,NJD,,CBJ,L,0,0,0,-2,0,0,0,0,0,0,0,0,4,0.0,22,19:37,5,0,0,0,
