,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,1996-03-30,1,20-257,NYI,@,HAR,L,0,0,0,0,7,0,0,0,0,,,,0,,,,,,,,
1,1997-12-31,1,22-167,NYI,@,COL,L,0,0,0,0,7,0,0,0,0,,,,0,,9,5:32,,,,,
2,1998-01-02,2,22-169,NYI,@,DAL,L,0,0,0,-1,0,0,0,0,0,,,,0,,10,7:19,,,,,
3,1998-01-10,3,22-177,NYI,,CAR,L,0,0,0,-1,0,0,0,0,0,,,,0,,8,6:07,,,,,
4,1998-01-12,4,22-179,NYI,,DET,T,0,0,0,1,0,0,0,0,0,,,,0,,6,5:39,,,,,
5,1998-01-20,5,22-187,NYI,@,CHI,L,0,1,1,0,5,0,0,0,0,,,,1,0.0,12,11:33,,,,,
6,1998-01-26,6,22-193,NYI,@,PHI,L,0,0,0,0,0,0,0,0,0,,,,0,,13,15:50,,,,,
7,1998-01-28,7,22-195,NYI,,PHI,W,0,0,0,0,15,0,0,0,0,,,,0,,14,10:25,,,,,
8,1998-01-30,8,22-197,NYI,,CAR,W,0,0,0,2,0,0,0,0,0,,,,1,0.0,12,8:48,,,,,
9,1998-02-02,9,22-200,NYI,@,PIT,W,0,0,0,0,0,0,0,0,0,,,,0,,11,5:58,,,,,
10,1998-02-04,10,22-202,NYI,,MTL,W,0,0,0,0,2,0,0,0,0,,,,0,,17,12:41,,,,,
11,1998-02-07,11,22-205,NYI,,NJD,L,0,0,0,0,0,0,0,0,0,,,,0,,21,18:41,,,,,
12,1998-02-25,12,22-223,NYI,,DAL,L,0,0,0,0,0,0,0,0,0,,,,0,,15,10:24,,,,,
13,1998-03-01,13,22-227,NYI,,BOS,L,0,0,0,0,5,0,0,0,0,,,,1,0.0,8,7:06,,,,,
14,1998-03-03,14,22-229,NYI,,PHI,W,0,0,0,0,0,0,0,0,0,,,,0,,6,5:41,,,,,
15,1998-03-06,15,22-232,NYI,@,BUF,W,0,0,0,0,2,0,0,0,0,,,,0,,11,9:09,,,,,
16,1998-03-07,16,22-233,NYI,,COL,L,0,0,0,0,0,0,0,0,0,,,,0,,4,2:58,,,,,
17,1998-03-22,17,22-248,NYI,@,EDM,W,0,0,0,0,0,0,0,0,0,,,,0,,14,10:47,,,,,
18,1998-03-24,18,22-250,VAN,,NYI,W,0,1,1,0,5,0,0,0,0,,,,3,0.0,17,10:44,,,,,
19,1998-03-26,19,22-252,VAN,,BUF,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,21,18:06,,,,,
