,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,2015-12-29,1,20-148,ANA,@,CGY,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,21,15:45,0,1,0,0,
1,2015-12-31,2,20-150,ANA,@,EDM,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,23,14:28,0,1,0,0,
2,2016-01-01,3,20-151,ANA,@,VAN,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,25,18:34,0,2,0,0,
3,2016-01-03,4,20-153,ANA,,WPG,W,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,26,19:28,0,0,0,0,
4,2016-01-06,5,20-156,ANA,,TOR,L,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,26,21:45,1,1,0,0,
5,2016-01-08,6,20-158,ANA,,STL,W,0,0,0,1,0,0,0,0,0,0,0,0,3,0.0,26,21:39,0,2,0,0,
6,2016-01-10,7,20-160,ANA,,DET,L,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,20,21:19,1,0,0,0,
7,2016-01-13,8,20-163,ANA,,OTT,W,1,0,1,0,0,0,1,0,1,0,0,0,1,100.0,25,20:10,0,0,0,0,
8,2016-01-15,9,20-165,ANA,,DAL,W,0,1,1,0,0,0,0,0,0,1,0,0,3,0.0,21,18:23,1,2,0,0,
9,2016-01-17,10,20-167,ANA,,LAK,L,0,1,1,1,0,0,0,0,0,1,0,0,0,,26,19:58,1,2,0,0,
10,2016-01-20,11,20-170,ANA,,MIN,W,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,21,17:33,0,3,0,0,
11,2016-01-23,12,20-173,ANA,@,DET,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,21,14:51,0,0,0,0,
12,2016-01-26,13,20-176,ANA,@,BOS,W,1,1,2,1,0,0,1,0,0,1,0,0,3,33.3,21,16:55,1,2,0,0,
13,2016-03-26,14,20-236,ANA,@,OTT,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,28,21:41,0,1,0,0,
14,2016-03-28,15,20-238,ANA,@,EDM,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,24,19:54,0,1,0,0,
15,2016-03-30,16,20-240,ANA,,CGY,W,1,0,1,3,2,1,0,0,0,0,0,0,1,100.0,26,20:15,0,1,0,0,
16,2016-04-01,17,20-242,ANA,,VAN,L,0,0,0,1,0,0,0,0,0,0,0,0,0,,25,19:37,0,1,0,0,
17,2016-04-09,18,20-250,ANA,@,COL,W,0,1,1,0,0,0,0,0,0,0,1,0,1,0.0,23,19:08,1,0,0,0,
18,2016-04-10,19,20-251,ANA,@,WSH,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,24,21:41,0,2,0,0,
19,2016-10-23,1,21-081,ANA,,VAN,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,23,18:49,0,1,0,0,
