,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,2018-10-04,1,19-094,STL,,WPG,L,0,0,0,-2,0,0,0,0,0,0,0,0,2,0.0,16,11:12,0,0,4,3,57.1
1,2018-10-06,2,19-096,STL,,CHI,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,8,6:07,0,0,1,3,25.0
2,2018-10-11,3,19-101,STL,,CGY,W,0,1,1,1,0,0,0,0,0,1,0,0,0,,12,8:01,0,1,3,4,42.9
3,2018-10-13,4,19-103,STL,@,CHI,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,11,8:12,0,0,2,3,40.0
4,2018-10-14,5,19-104,STL,,ANA,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,16,10:41,0,2,4,2,66.7
5,2018-10-27,6,19-117,STL,,CHI,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,10:31,0,0,4,5,44.4
6,2018-11-01,7,19-122,STL,,VEG,W,0,2,2,2,0,0,0,0,0,2,0,0,0,,14,9:28,2,0,7,5,58.3
7,2018-11-03,8,19-124,STL,,MIN,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,11:18,1,0,3,5,37.5
8,2018-11-06,9,19-127,STL,,CAR,W,0,1,1,1,0,0,0,0,0,1,0,0,0,,14,9:15,0,0,3,4,42.9
9,2018-11-09,10,19-130,STL,,SJS,W,0,0,0,0,2,0,0,0,0,0,0,0,3,0.0,21,15:41,0,1,5,2,71.4
10,2018-11-11,11,19-132,STL,,MIN,L,0,0,0,-2,0,0,0,0,0,0,0,0,2,0.0,17,12:55,0,1,4,5,44.4
11,2018-11-14,12,19-135,STL,@,CHI,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,18,13:55,0,0,5,8,38.5
12,2018-11-16,13,19-137,STL,@,VEG,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,19,14:32,1,0,5,3,62.5
13,2018-11-17,14,19-138,STL,@,SJS,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,21,16:24,2,0,5,9,35.7
14,2018-11-19,15,19-140,STL,,LAK,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,21,17:03,0,0,0,8,0.0
15,2018-11-21,16,19-142,STL,@,NSH,L,1,0,1,-1,0,1,0,0,0,0,0,0,2,50.0,25,19:04,1,0,1,3,25.0
16,2018-11-23,17,19-144,STL,,NSH,W,0,2,2,3,0,0,0,0,0,2,0,0,3,0.0,20,15:38,0,2,2,3,40.0
17,2018-11-24,18,19-145,STL,,WPG,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,21,16:17,1,0,1,2,33.3
18,2018-11-28,19,19-149,STL,@,DET,L,0,0,0,-3,0,0,0,0,0,0,0,0,1,0.0,17,13:45,0,0,0,0,
19,2018-12-01,20,19-152,STL,@,ARI,L,1,0,1,-1,0,1,0,0,0,0,0,0,1,100.0,19,15:14,0,1,1,1,50.0
20,2018-12-05,21,19-156,STL,,EDM,L-SO,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,16,12:47,0,1,0,0,
21,2018-12-07,22,19-158,STL,@,WPG,W,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,16,10:15,0,2,1,1,50.0
22,2018-12-09,23,19-160,STL,,VAN,L,0,0,0,-2,0,0,0,0,0,0,0,0,2,0.0,20,17:02,0,0,2,4,33.3
23,2018-12-11,24,19-162,STL,,FLA,W,0,1,1,1,2,0,0,0,0,1,0,0,1,0.0,17,12:47,0,2,1,0,100.0
24,2018-12-14,25,19-165,STL,,COL,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,16,12:02,0,0,0,1,0.0
25,2018-12-16,26,19-167,STL,,CGY,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,18,16:03,0,0,1,2,33.3
26,2018-12-18,27,19-169,STL,@,EDM,W,0,1,1,1,0,0,0,0,0,1,0,0,2,0.0,13,8:38,0,0,0,0,
27,2018-12-20,28,19-171,STL,@,VAN,L,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,18,11:59,1,1,1,1,50.0
28,2018-12-22,29,19-173,STL,@,CGY,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,10:09,0,0,0,0,
29,2018-12-27,30,19-178,STL,,BUF,W,1,1,2,2,0,1,0,0,0,1,0,0,5,20.0,17,13:02,0,0,0,2,0.0
30,2018-12-29,31,19-180,STL,,PIT,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,17,11:01,0,0,2,0,100.0
31,2018-12-31,32,19-182,STL,,NYR,L,0,0,0,-1,2,0,0,0,0,0,0,0,1,0.0,15,12:15,0,1,0,1,0.0
32,2019-01-03,33,19-185,STL,,WSH,W,1,0,1,1,0,1,0,0,0,0,0,0,1,100.0,17,14:20,0,1,1,1,50.0
33,2019-01-05,34,19-187,STL,,NYI,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,20,16:39,0,0,0,1,0.0
34,2019-01-07,35,19-189,STL,@,PHI,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,22,12:10,0,0,3,4,42.9
35,2019-01-08,36,19-190,STL,,DAL,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,10:01,0,0,2,2,50.0
36,2019-01-10,37,19-192,STL,,MTL,W,1,0,1,0,0,0,1,0,0,0,0,0,2,50.0,3,1:55,0,0,1,0,100.0
37,2019-02-02,38,19-215,STL,@,CBJ,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,14,12:10,0,0,1,1,50.0
38,2019-02-05,39,19-218,STL,@,FLA,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,14,9:30,0,0,0,0,
39,2019-02-07,40,19-220,STL,@,TBL,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,16,13:11,0,0,0,1,0.0
40,2019-02-09,41,19-222,STL,,NSH,W,0,2,2,2,0,0,0,0,0,2,0,0,1,0.0,15,11:37,0,0,1,0,100.0
41,2019-02-10,42,19-223,STL,@,NSH,W,0,1,1,-1,0,0,0,0,0,0,1,0,0,,14,9:00,0,0,0,3,0.0
42,2019-02-12,43,19-225,STL,,NJD,W,0,1,1,2,0,0,0,0,0,1,0,0,1,0.0,18,14:04,0,0,1,1,50.0
43,2019-02-14,44,19-227,STL,@,ARI,W,0,1,1,0,0,0,0,0,0,0,1,0,0,,16,12:46,0,1,1,1,50.0
44,2019-02-16,45,19-229,STL,@,COL,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,10:56,0,0,0,0,
45,2019-02-17,46,19-230,STL,@,MIN,W,0,1,1,0,2,0,0,0,0,0,1,0,2,0.0,16,12:09,0,0,1,1,50.0
46,2019-02-19,47,19-232,STL,,TOR,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,16,11:59,0,0,1,1,50.0
47,2019-02-21,48,19-234,STL,@,DAL,L,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,20,15:02,0,0,0,0,
48,2019-02-23,49,19-236,STL,,BOS,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,20,15:57,0,0,0,0,
49,2019-02-24,50,19-237,STL,@,MIN,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,0,,17,13:24,1,0,0,0,
50,2019-02-26,51,19-239,STL,,NSH,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,16,11:18,0,0,0,1,0.0
51,2019-03-01,52,19-242,STL,@,CAR,L,0,2,2,1,0,0,0,0,0,2,0,0,0,,21,14:31,1,0,7,3,70.0
52,2019-03-02,53,19-243,STL,,DAL,L,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,23,17:38,1,0,0,1,0.0
53,2019-03-06,54,19-247,STL,@,ANA,W,2,0,2,0,0,1,1,0,0,0,0,0,3,66.7,16,14:06,0,1,0,2,0.0
54,2019-03-07,55,19-248,STL,@,LAK,W,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,16,14:08,1,1,2,0,100.0
