,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,2005-12-02,1,22-182,BUF,,SJS,L,0,0,0,-1,2,0,0,0,0,,,,1,0.0,12,8:27,,,,,
1,2005-12-04,2,22-184,BUF,@,COL,W,0,1,1,0,5,0,0,0,0,,,,0,,7,5:17,,,,,
2,2006-10-05,1,23-124,PIT,,PHI,W,0,0,0,0,2,0,0,0,0,,,,0,,14,7:37,,,,,
3,2006-10-07,2,23-126,PIT,,DET,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,8,6:08,,,,,
4,2006-10-12,3,23-131,PIT,@,NYR,W,0,0,0,0,0,0,0,0,0,,,,0,,6,2:56,,,,,
5,2006-10-14,4,23-133,PIT,,CAR,L,0,0,0,-1,7,0,0,0,0,,,,0,,9,6:04,,,,,
6,2006-10-18,5,23-137,PIT,,NJD,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,9,5:43,,,,,
7,2006-10-24,6,23-143,PIT,,NJD,W,0,0,0,0,0,0,0,0,0,,,,0,,9,7:08,,,,,
8,2006-10-28,7,23-147,PIT,@,PHI,W,0,0,0,1,10,0,0,0,0,,,,0,,13,6:27,,,,,
9,2006-11-01,8,23-151,PIT,@,LAK,W,0,0,0,0,0,0,0,0,0,,,,0,,10,7:40,,,,,
10,2006-11-04,9,23-154,PIT,@,SJS,L,0,0,0,0,0,0,0,0,0,,,,3,0.0,11,8:17,,,,,
11,2006-11-06,10,23-156,PIT,@,ANA,L-OT,1,1,2,2,4,1,0,0,0,,,,3,33.3,19,12:30,,,,,
12,2006-11-08,11,23-158,PIT,,TBL,L-OT,0,0,0,0,2,0,0,0,0,,,,0,,6,5:07,,,,,
13,2006-11-11,12,23-161,PIT,@,CAR,L,0,0,0,-1,7,0,0,0,0,,,,2,0.0,11,6:01,,,,,
14,2006-11-13,13,23-163,PIT,,PHI,W,0,0,0,1,0,0,0,0,0,,,,1,0.0,10,5:33,,,,,
15,2006-11-17,14,23-167,PIT,@,BUF,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,12,8:34,,,,,
16,2006-11-18,15,23-168,PIT,,NYR,W,0,0,0,-1,5,0,0,0,0,,,,0,,11,6:56,,,,,
17,2006-11-20,16,23-170,PIT,@,PHI,W,0,0,0,0,0,0,0,0,0,,,,0,,12,8:57,,,,,
18,2006-11-24,17,23-174,PIT,@,NYI,L,0,0,0,0,2,0,0,0,0,,,,1,0.0,16,11:47,,,,,
19,2006-11-25,18,23-175,PIT,,NYR,L-OT,0,0,0,0,0,0,0,0,0,,,,2,0.0,14,8:39,,,,,
20,2006-11-28,19,23-178,PIT,,NYI,W,1,0,1,1,0,1,0,0,1,,,,3,33.3,16,11:32,,,,,
21,2006-12-01,20,23-181,PIT,@,NJD,L,0,0,0,-1,2,0,0,0,0,,,,3,0.0,18,13:37,,,,,
22,2006-12-02,21,23-182,PIT,,NYI,L,0,0,0,0,2,0,0,0,0,,,,0,,15,11:09,,,,,
23,2006-12-05,22,23-185,PIT,,FLA,L,0,0,0,0,0,0,0,0,0,,,,0,,6,5:47,,,,,
24,2006-12-11,23,23-191,PIT,@,WSH,W,0,1,1,1,0,0,0,0,0,,,,1,0.0,15,10:57,,,,,
25,2006-12-13,24,23-193,PIT,,PHI,W,1,0,1,1,0,1,0,0,0,,,,2,50.0,16,10:56,,,,,
26,2006-12-15,25,23-195,PIT,,NYI,W,0,0,0,0,7,0,0,0,0,,,,1,0.0,13,7:44,,,,,
27,2006-12-16,26,23-196,PIT,@,MTL,L,0,0,0,1,0,0,0,0,0,,,,1,0.0,12,7:47,,,,,
28,2006-12-19,27,23-199,PIT,,STL,L,0,0,0,0,0,0,0,0,0,,,,0,,11,8:05,,,,,
29,2006-12-26,28,23-206,PIT,@,NJD,L,0,0,0,0,2,0,0,0,0,,,,1,0.0,12,7:09,,,,,
30,2006-12-27,29,23-207,PIT,,ATL,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,10,7:19,,,,,
31,2007-01-02,30,23-213,PIT,,CAR,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,9,8:26,,,,,
32,2007-01-10,31,23-221,PIT,@,FLA,L,0,0,0,0,0,0,0,0,0,,,,0,,13,7:42,,,,,
33,2007-01-13,32,23-224,PIT,@,PHI,W,0,0,0,0,5,0,0,0,0,,,,3,0.0,12,7:57,,,,,
34,2007-01-16,33,23-227,PIT,,NYI,W,0,0,0,-1,0,0,0,0,0,,,,0,,8,6:32,,,,,
35,2007-01-18,34,23-229,PIT,@,BOS,L-SO,0,0,0,0,0,0,0,0,0,,,,1,0.0,12,8:49,,,,,
36,2007-01-20,35,23-231,PIT,,TOR,W,0,0,0,0,10,0,0,0,0,,,,0,,10,7:04,,,,,
37,2007-01-26,36,23-237,PIT,@,DAL,W,0,0,0,-1,0,0,0,0,0,,,,2,0.0,15,10:28,,,,,
38,2007-02-03,37,23-245,PIT,,WSH,W,0,0,0,0,0,0,0,0,0,,,,0,,7,5:31,,,,,
39,2007-02-04,38,23-246,PIT,@,MTL,L-OT,0,0,0,0,0,0,0,0,0,,,,0,,8,6:06,,,,,
40,2007-02-27,39,23-269,PIT,,NJD,L,0,0,0,0,2,0,0,0,0,,,,2,0.0,8,5:17,,,,,
41,2007-10-10,1,24-129,ATL,,OTT,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,6,4:42,2,0,1,0,100.0
42,2007-10-27,2,24-146,ATL,@,CHI,W,0,0,0,0,12,0,0,0,0,,,,0,,10,7:40,0,0,0,0,
43,2007-10-30,3,24-149,ATL,@,MTL,W,0,0,0,0,0,0,0,0,0,,,,0,,10,6:31,3,0,0,0,
44,2007-11-01,4,24-151,ATL,@,OTT,L,0,0,0,0,5,0,0,0,0,,,,0,,10,6:44,0,0,0,0,
45,2007-11-03,5,24-153,ATL,@,TBL,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,11,6:05,0,0,0,0,
46,2007-11-06,6,24-156,ATL,,WSH,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,9,6:11,1,0,0,0,
47,2007-11-09,7,24-159,ATL,@,FLA,W,1,0,1,1,0,1,0,0,1,,,,2,50.0,12,7:28,2,0,0,0,
48,2007-11-10,8,24-160,ATL,,CAR,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,10,6:36,1,0,0,0,
49,2007-11-13,9,24-163,ATL,,FLA,W,0,0,0,0,0,0,0,0,0,,,,0,,9,5:53,0,0,1,0,100.0
50,2007-11-16,10,24-166,ATL,@,CAR,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,12,8:00,1,1,1,0,100.0
51,2007-11-19,11,24-169,ATL,,TBL,W,0,0,0,-1,0,0,0,0,0,,,,0,,9,6:25,0,,,,
52,2007-11-21,12,24-171,ATL,@,WSH,W,0,0,0,0,5,0,0,0,0,,,,2,0.0,10,6:51,1,0,0,0,
53,2007-11-23,13,24-173,ATL,,NJD,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,7,4:40,2,0,1,0,100.0
54,2007-11-24,14,24-174,ATL,@,PIT,L,0,0,0,-1,2,0,0,0,0,,,,2,0.0,12,8:29,3,0,2,0,100.0
55,2007-11-29,15,24-179,ATL,,TOR,L,0,0,0,0,0,0,0,0,0,,,,0,,13,8:19,0,0,0,1,0.0
