,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,1995-01-21,1,18-248,MDA,@,WIN,W,0,0,0,1,0,0,0,0,0,,,,0,,,,,,,,
1,1995-01-23,2,18-250,MDA,,EDM,W,0,3,3,2,0,0,0,0,0,,,,0,,,,,,,,
2,1995-01-25,3,18-252,MDA,,DAL,L,0,0,0,-1,4,0,0,0,0,,,,0,,,,,,,,
3,1995-01-27,4,18-254,MDA,,WIN,W,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
4,1995-01-31,5,18-258,MDA,@,STL,L,0,1,1,-2,0,0,0,0,0,,,,1,0.0,,,,,,,
5,1995-02-01,6,18-259,MDA,@,DAL,L,1,0,1,0,2,0,0,1,0,,,,3,33.3,,,,,,,
6,1995-02-03,7,18-261,MDA,,DET,L,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
7,1995-02-05,8,18-263,MDA,@,LAK,W,0,0,0,1,0,0,0,0,0,,,,0,,,,,,,,
8,1995-02-09,9,18-267,MDA,@,CGY,L,0,0,0,-3,2,0,0,0,0,,,,0,,,,,,,,
9,1995-02-18,10,18-276,MDA,@,SJS,W,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
10,1995-02-23,11,18-281,MDA,@,TOR,L,0,1,1,1,0,0,0,0,0,,,,1,0.0,,,,,,,
11,1995-02-24,12,18-282,MDA,@,WIN,L,0,0,0,1,0,0,0,0,0,,,,3,0.0,,,,,,,
12,1995-02-26,13,18-284,MDA,,CGY,L,0,0,0,-1,2,0,0,0,0,,,,0,,,,,,,,
13,1995-03-01,14,18-287,MDA,,CHI,W,0,0,0,1,0,0,0,0,0,,,,0,,,,,,,,
14,1995-03-03,15,18-289,MDA,@,DAL,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,,,,,,,
15,1995-03-05,16,18-291,MDA,@,CHI,L,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
16,1995-03-07,17,18-293,MDA,@,STL,L,1,0,1,-2,0,0,1,0,0,,,,1,100.0,,,,,,,
17,1995-03-09,18,18-295,MDA,,DET,T,0,0,0,-1,0,0,0,0,0,,,,0,,,,,,,,
18,1995-03-11,19,18-297,MDA,@,VAN,L,0,0,0,-1,0,0,0,0,0,,,,0,,,,,,,,
19,1995-03-19,20,18-305,MDA,,STL,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,,,,,,,
20,1995-03-23,21,18-309,MDA,@,SJS,W,0,0,0,-1,0,0,0,0,0,,,,1,0.0,,,,,,,
21,1995-03-26,22,18-312,MDA,@,CHI,L,0,1,1,1,0,0,0,0,0,,,,1,0.0,,,,,,,
22,1995-03-28,23,18-314,MDA,@,DET,L,0,0,0,-1,0,0,0,0,0,,,,0,,,,,,,,
23,1995-04-02,24,18-319,MDA,,SJS,W,1,0,1,3,2,1,0,0,0,,,,1,100.0,,,,,,,
24,1995-04-09,25,18-326,MDA,,LAK,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
25,1995-04-11,26,18-328,MDA,@,VAN,L,0,0,0,-1,0,0,0,0,0,,,,0,,,,,,,,
26,1995-04-13,27,18-330,MDA,,CGY,W,0,1,1,1,0,0,0,0,0,,,,1,0.0,,,,,,,
27,1995-04-15,28,18-332,MDA,,VAN,L,0,0,0,-2,0,0,0,0,0,,,,0,,,,,,,,
28,1995-04-17,29,18-334,MDA,,SJS,W,0,0,0,1,0,0,0,0,0,,,,2,0.0,,,,,,,
29,1995-04-19,30,18-336,MDA,@,TOR,L,0,1,1,1,0,0,0,0,0,,,,4,0.0,,,,,,,
30,1995-04-21,31,18-338,MDA,@,DET,L,0,0,0,-2,0,0,0,0,0,,,,2,0.0,,,,,,,
31,1995-04-23,32,18-340,MDA,@,LAK,T,0,0,0,1,0,0,0,0,0,,,,1,0.0,,,,,,,
32,1995-04-24,33,18-341,MDA,,CGY,W,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
33,1995-04-26,34,18-343,MDA,,SJS,L,0,0,0,-1,2,0,0,0,0,,,,0,,,,,,,,
34,1995-05-01,35,18-348,MDA,,STL,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
35,1995-05-03,36,18-350,MDA,,TOR,W,0,1,1,0,0,0,0,0,0,,,,0,,,,,,,,
36,1995-10-09,1,19-144,MDA,@,WIN,L,0,0,0,1,2,0,0,0,0,,,,2,0.0,,,,,,,
37,1995-10-11,2,19-146,MDA,@,HAR,L,0,0,0,0,2,0,0,0,0,,,,3,0.0,,,,,,,
38,1995-10-14,3,19-149,MDA,@,PIT,L,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
39,1995-10-18,4,19-153,MDA,,VAN,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,,,,,,,
40,1995-10-20,5,19-155,MDA,,PHI,L,0,0,0,-1,2,0,0,0,0,,,,1,0.0,,,,,,,
41,1995-10-22,6,19-157,MDA,,WIN,W,0,1,1,0,0,0,0,0,0,,,,1,0.0,,,,,,,
42,1995-10-23,7,19-158,MDA,@,COL,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
43,1995-10-26,8,19-161,MDA,@,DAL,L,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
44,1995-10-27,9,19-162,MDA,@,STL,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,,,,,,,
45,1995-10-29,10,19-164,MDA,,CGY,W,0,2,2,3,2,0,0,0,0,,,,2,0.0,,,,,,,
46,1995-11-01,11,19-167,MDA,,STL,W,0,0,0,1,2,0,0,0,0,,,,1,0.0,,,,,,,
47,1995-11-03,12,19-169,MDA,,NYR,W,0,1,1,0,2,0,0,0,0,,,,0,,,,,,,,
