,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,2001-02-07,1,24-149,ATL,@,TOR,L,0,0,0,-2,0,0,0,0,0,,,,0,,14,9:55,,,,,
1,2001-02-09,2,24-151,ATL,,BOS,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,15,9:56,,,,,
2,2002-03-14,1,25-184,ATL,,COL,W,1,0,1,1,0,1,0,0,0,,,,2,50.0,16,11:00,,,,,
3,2002-03-16,2,25-186,ATL,,VAN,L,1,0,1,-1,0,1,0,0,0,,,,1,100.0,14,10:43,,,,,
4,2002-03-18,3,25-188,ATL,,PIT,L,1,0,1,0,2,1,0,0,0,,,,1,100.0,22,15:16,,,,,
5,2002-03-20,4,25-190,ATL,@,TBL,L,0,0,0,-2,2,0,0,0,0,,,,0,,16,14:49,,,,,
6,2002-03-22,5,25-192,ATL,@,NYR,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,17,15:48,,,,,
7,2002-03-23,6,25-193,ATL,@,OTT,W,0,1,1,0,0,0,0,0,0,,,,0,,22,14:47,,,,,
8,2002-03-27,7,25-197,ATL,,MIN,L,0,0,0,-1,0,0,0,0,0,,,,0,,19,12:47,,,,,
9,2002-03-30,8,25-200,ATL,@,DET,L,1,0,1,1,0,1,0,0,0,,,,1,100.0,16,12:56,,,,,
10,2002-04-02,9,25-203,ATL,@,CGY,L,0,0,0,0,0,0,0,0,0,,,,0,,14,13:48,,,,,
11,2002-04-03,10,25-204,ATL,@,COL,L,0,0,0,-1,0,0,0,0,0,,,,2,0.0,19,17:33,,,,,
12,2002-04-05,11,25-206,ATL,,NJD,L,0,0,0,-1,0,0,0,0,0,,,,2,0.0,17,12:17,,,,,
13,2002-04-07,12,25-208,ATL,@,CAR,T,0,0,0,0,0,0,0,0,0,,,,3,0.0,13,13:41,,,,,
14,2002-04-10,13,25-211,ATL,,FLA,T,0,0,0,0,0,0,0,0,0,,,,2,0.0,15,11:06,,,,,
