,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,2006-10-05,1,19-189,SJS,,STL,W,0,0,0,0,0,0,0,0,0,,,,3,0.0,25,20:54,,,,,
1,2006-10-07,2,19-191,SJS,,NYI,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,24,20:26,,,,,
2,2006-10-09,3,19-193,SJS,@,CGY,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,28,19:24,,,,,
3,2006-10-12,4,19-196,SJS,@,EDM,L,0,0,0,0,0,0,0,0,0,,,,0,,25,19:57,,,,,
4,2006-10-13,5,19-197,SJS,@,VAN,W,0,0,0,-1,0,0,0,0,0,,,,1,0.0,20,20:49,,,,,
5,2006-10-17,6,19-201,SJS,,DAL,W,0,0,0,0,0,0,0,0,0,,,,0,,26,18:18,,,,,
6,2006-10-19,7,19-203,SJS,,DET,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,23,21:17,,,,,
7,2006-10-21,8,19-205,SJS,,MIN,L,0,0,0,0,2,0,0,0,0,,,,2,0.0,26,18:54,,,,,
8,2006-10-23,9,19-207,SJS,@,CBJ,W,0,1,1,1,0,0,0,0,0,,,,2,0.0,25,19:33,,,,,
9,2006-10-25,10,19-209,SJS,@,DET,L,0,0,0,0,0,0,0,0,0,,,,0,,22,19:13,,,,,
10,2006-10-26,11,19-210,SJS,@,NSH,L,0,0,0,-1,2,0,0,0,0,,,,2,0.0,26,20:29,,,,,
11,2006-10-29,12,19-213,SJS,@,TBL,W,0,1,1,0,0,0,0,0,0,,,,1,0.0,26,19:26,,,,,
12,2006-10-31,13,19-215,SJS,@,FLA,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,30,22:22,,,,,
13,2006-11-02,14,19-217,SJS,,NYR,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,23,18:40,,,,,
14,2006-11-04,15,19-219,SJS,,PIT,W,0,0,0,1,0,0,0,0,0,,,,2,0.0,34,25:01,,,,,
15,2006-11-07,16,19-222,SJS,,MIN,W,0,0,0,0,0,0,0,0,0,,,,0,,25,20:27,,,,,
16,2006-11-09,17,19-224,SJS,@,LAK,W,0,1,1,3,0,0,0,0,0,,,,3,0.0,27,17:29,,,,,
17,2006-11-11,18,19-226,SJS,@,PHX,W,0,0,0,0,0,0,0,0,0,,,,0,,29,20:06,,,,,
18,2006-11-13,19,19-228,SJS,@,LAK,L,0,1,1,0,0,0,0,0,0,,,,1,0.0,26,19:41,,,,,
19,2006-11-15,20,19-230,SJS,@,COL,W,0,0,0,0,0,0,0,0,0,,,,0,,35,23:38,,,,,
20,2006-11-18,21,19-233,SJS,,PHI,W,0,1,1,1,0,0,0,0,0,,,,0,,29,21:45,,,,,
21,2006-11-21,22,19-236,SJS,@,ANA,L,0,0,0,-1,0,0,0,0,0,,,,0,,29,21:16,,,,,
22,2006-11-22,23,19-237,SJS,,LAK,W,1,1,2,0,0,0,1,0,0,,,,2,50.0,29,25:26,,,,,
23,2006-11-25,24,19-240,SJS,,NJD,W,0,1,1,1,0,0,0,0,0,,,,0,,33,25:19,,,,,
24,2006-11-28,25,19-243,SJS,@,STL,W,0,0,0,0,0,0,0,0,0,,,,0,,28,22:52,,,,,
25,2006-11-29,26,19-244,SJS,@,MIN,W,0,0,0,1,0,0,0,0,0,,,,1,0.0,27,23:14,,,,,
26,2006-12-02,27,19-247,SJS,@,DET,W,0,0,0,2,2,0,0,0,0,,,,0,,29,24:03,,,,,
27,2006-12-04,28,19-249,SJS,@,DAL,L,0,0,0,0,0,0,0,0,0,,,,0,,31,23:41,,,,,
28,2006-12-07,29,19-252,SJS,,COL,L,0,1,1,-1,0,0,0,0,0,,,,1,0.0,29,18:51,,,,,
29,2006-12-09,30,19-254,SJS,,NSH,W,0,0,0,1,0,0,0,0,0,,,,1,0.0,25,21:40,,,,,
30,2006-12-11,31,19-256,SJS,,PHX,W,0,0,0,1,0,0,0,0,0,,,,0,,23,21:12,,,,,
31,2006-12-12,32,19-257,SJS,@,LAK,W,0,0,0,1,0,0,0,0,0,,,,1,0.0,30,22:16,,,,,
32,2006-12-14,33,19-259,SJS,,LAK,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,28,24:24,,,,,
33,2006-12-16,34,19-261,SJS,,ANA,W,0,0,0,0,2,0,0,0,0,,,,0,,31,24:36,,,,,
34,2006-12-21,35,19-266,SJS,,DAL,L,0,0,0,0,0,0,0,0,0,,,,0,,24,20:10,,,,,
35,2006-12-23,36,19-268,SJS,,CGY,W,0,0,0,3,0,0,0,0,0,,,,1,0.0,27,23:45,,,,,
36,2006-12-26,37,19-271,SJS,,ANA,L,0,0,0,-3,0,0,0,0,0,,,,2,0.0,25,21:06,,,,,
37,2006-12-28,38,19-273,SJS,,PHX,L,1,0,1,-1,0,0,1,0,0,,,,1,100.0,29,22:03,,,,,
38,2006-12-30,39,19-275,SJS,@,PHX,L,0,0,0,-1,0,0,0,0,0,,,,0,,26,21:42,,,,,
39,2006-12-31,40,19-276,SJS,@,DAL,W,0,0,0,1,2,0,0,0,0,,,,0,,35,25:44,,,,,
40,2007-01-04,41,19-280,SJS,,DET,W,0,1,1,1,0,0,0,0,0,,,,1,0.0,36,25:34,,,,,
41,2007-01-06,42,19-282,SJS,,CBJ,W,0,2,2,0,0,0,0,0,0,,,,1,0.0,32,25:19,,,,,
42,2007-01-10,43,19-286,SJS,,EDM,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,32,24:05,,,,,
43,2007-01-11,44,19-287,SJS,@,LAK,W,0,0,0,1,0,0,0,0,0,,,,1,0.0,16,13:11,,,,,
44,2007-01-15,45,19-291,SJS,,COL,W,0,0,0,0,0,0,0,0,0,,,,0,,23,21:51,,,,,
45,2007-01-18,46,19-294,SJS,,PHX,W,0,1,1,2,0,0,0,0,0,,,,1,0.0,32,22:36,,,,,
46,2007-01-20,47,19-296,SJS,,STL,L,0,0,0,-1,2,0,0,0,0,,,,1,0.0,26,19:15,,,,,
47,2007-01-26,48,19-302,SJS,@,EDM,W,0,1,1,2,0,0,0,0,0,,,,1,0.0,31,22:48,,,,,
48,2007-01-28,49,19-304,SJS,@,VAN,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,30,24:48,,,,,
49,2007-01-30,50,19-306,SJS,,DAL,L-SO,0,1,1,1,0,0,0,0,0,,,,0,,34,27:58,,,,,
50,2007-02-01,51,19-308,SJS,,DAL,L,0,0,0,1,0,0,0,0,0,,,,0,,28,24:17,,,,,
51,2007-02-03,52,19-310,SJS,,CHI,W,0,0,0,1,0,0,0,0,0,,,,0,,36,27:44,,,,,
52,2007-02-06,53,19-313,SJS,,ANA,L,0,1,1,-3,0,0,0,0,0,,,,0,,28,20:45,,,,,
53,2007-02-07,54,19-314,SJS,@,ANA,W,0,1,1,0,0,0,0,0,0,,,,0,,27,20:58,,,,,
54,2007-02-13,55,19-320,SJS,@,STL,W,0,0,0,-1,0,0,0,0,0,,,,0,,28,18:58,,,,,
55,2007-02-14,56,19-321,SJS,@,NSH,L,0,0,0,-3,0,0,0,0,0,,,,0,,28,22:03,,,,,
56,2007-02-16,57,19-323,SJS,@,CBJ,L,0,0,0,-1,0,0,0,0,0,,,,0,,26,19:22,,,,,
57,2007-02-18,58,19-325,SJS,@,DAL,L,0,1,1,-2,0,0,0,0,0,,,,0,,29,20:42,,,,,
58,2007-02-21,59,19-328,SJS,@,WSH,W,0,0,0,-2,0,0,0,0,0,,,,1,0.0,35,21:15,,,,,
59,2007-02-22,60,19-329,SJS,@,CHI,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,28,23:13,,,,,
