,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,1995-10-26,1,26-199,BOS,,WSH,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
1,1995-10-28,2,26-201,BOS,,HAR,W,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
2,1995-11-02,3,26-206,BOS,,DET,L,0,0,0,1,0,0,0,0,0,,,,0,,,,,,,,
3,1995-11-04,4,26-208,BOS,@,MTL,L,0,0,0,-1,4,0,0,0,0,,,,0,,,,,,,,
4,1995-11-07,5,26-211,BOS,@,WSH,W,0,0,0,0,2,0,0,0,0,,,,1,0.0,,,,,,,
5,1995-11-09,6,26-213,BOS,,OTT,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
6,1995-11-11,7,26-215,BOS,,TOR,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,,,,,,,
7,1995-11-14,8,26-218,BOS,@,TBL,L,0,2,2,1,0,0,0,0,0,,,,0,,,,,,,,
8,1995-12-08,9,26-242,BOS,@,TBL,L,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
9,1996-02-14,10,26-310,BOS,@,HAR,W,0,0,0,1,0,0,0,0,0,,,,0,,,,,,,,
10,1996-02-15,11,26-311,BOS,@,CHI,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
11,1996-02-17,12,26-313,BOS,@,VAN,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,,,,,,,
12,1996-02-19,13,26-315,BOS,@,LAK,T,0,0,0,0,4,0,0,0,0,,,,1,0.0,,,,,,,
13,1996-02-21,14,26-317,BOS,@,MDA,L,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
14,1996-02-23,15,26-319,BOS,@,EDM,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,,,,,,,
15,1996-02-28,16,26-324,BOS,@,NYR,W,0,0,0,0,2,0,0,0,0,,,,1,0.0,,,,,,,
16,1996-03-02,17,26-327,BOS,,WSH,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,,,,,,,
17,1996-03-07,18,26-332,BOS,,NYI,W,0,1,1,0,0,0,0,0,0,,,,2,0.0,,,,,,,
18,1996-03-09,19,26-334,BOS,,PHI,W,0,0,0,0,2,0,0,0,0,,,,0,,,,,,,,
19,1996-03-10,20,26-335,BOS,@,FLA,W,0,1,1,1,0,0,0,0,0,,,,2,0.0,,,,,,,
20,1996-03-14,21,26-339,BOS,,PIT,W,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
21,1996-03-15,22,26-340,BOS,@,WSH,W,0,0,0,0,2,0,0,0,0,,,,0,,,,,,,,
22,1996-03-18,23,26-343,BOS,,SJS,T,0,0,0,-1,0,0,0,0,0,,,,1,0.0,,,,,,,
23,1996-03-20,24,26-345,BOS,@,NJD,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
24,1996-03-31,25,26-356,BOS,@,BUF,W,0,0,0,-1,0,0,0,0,0,,,,0,,,,,,,,
25,1996-04-01,26,26-357,BOS,@,OTT,T,0,0,0,1,0,0,0,0,0,,,,0,,,,,,,,
26,1996-04-03,27,26-359,BOS,@,MTL,W,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
27,1996-11-02,1,27-206,OTT,@,PIT,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,,,,,,,
28,1996-11-09,2,27-213,OTT,,BOS,L,0,0,0,-2,0,0,0,0,0,,,,0,,,,,,,,
29,1996-11-10,3,27-214,OTT,@,CHI,L,0,0,0,0,2,0,0,0,0,,,,0,,,,,,,,
30,1996-12-07,4,27-241,OTT,@,VAN,W,0,0,0,-1,0,0,0,0,0,,,,0,,,,,,,,
31,1996-12-10,5,27-244,OTT,@,CGY,T,0,1,1,0,0,0,0,0,0,,,,0,,,,,,,,
32,1996-12-13,6,27-247,OTT,,PHX,L,0,0,0,1,5,0,0,0,0,,,,1,0.0,,,,,,,
