,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,2008-10-10,1,19-056,CBJ,@,DAL,W,1,1,2,2,0,1,0,0,0,,,,1,100.0,16,9:09,1,0,0,0,
1,2008-10-11,2,19-057,CBJ,@,PHX,L,0,0,0,0,2,0,0,0,0,,,,2,0.0,20,12:03,0,0,0,0,
2,2008-10-14,3,19-060,CBJ,@,SJS,L,0,0,0,-1,0,0,0,0,0,,,,0,,21,14:05,0,0,0,0,
3,2008-10-17,4,19-063,CBJ,,NSH,W,1,0,1,0,0,1,0,0,0,,,,2,50.0,15,8:54,1,0,0,0,
4,2008-10-18,5,19-064,CBJ,@,NSH,L,0,0,0,-1,4,0,0,0,0,,,,1,0.0,22,15:18,1,0,0,0,
5,2008-10-21,6,19-067,CBJ,,VAN,W,0,2,2,0,2,0,0,0,0,,,,0,,16,10:53,0,0,0,0,
6,2008-10-24,7,19-070,CBJ,,NYR,L,1,0,1,1,0,1,0,0,0,,,,4,25.0,16,11:51,0,0,0,0,
7,2008-10-25,8,19-071,CBJ,@,MIN,L,0,0,0,0,2,0,0,0,0,,,,3,0.0,22,14:58,0,0,0,0,
8,2008-10-27,9,19-073,CBJ,,ANA,L,0,1,1,1,2,0,0,0,0,,,,0,,19,13:41,1,0,0,0,
9,2008-10-30,10,19-076,CBJ,@,COL,W,0,0,0,1,0,0,0,0,0,,,,0,,16,12:07,0,0,0,0,
10,2008-11-01,11,19-078,CBJ,,CHI,L-SO,0,1,1,-1,0,0,0,0,0,,,,6,0.0,20,16:23,1,0,0,0,
11,2008-11-03,12,19-080,CBJ,@,NYI,L-OT,0,0,0,0,0,0,0,0,0,,,,1,0.0,17,14:27,0,0,0,0,
12,2008-11-05,13,19-082,CBJ,,EDM,W,0,2,2,-1,0,0,0,0,0,,,,3,0.0,14,12:18,0,0,0,0,
13,2008-11-07,14,19-084,CBJ,,MTL,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,18,13:11,0,0,0,0,
14,2008-11-08,15,19-085,CBJ,,CGY,W,0,0,0,2,2,0,0,0,0,,,,0,,16,10:37,0,0,0,0,
15,2008-11-12,16,19-089,CBJ,,PHX,L,0,1,1,1,2,0,0,0,0,,,,2,0.0,21,14:03,0,0,0,0,
16,2008-11-14,17,19-091,CBJ,@,BUF,W,0,0,0,1,0,0,0,0,0,,,,0,,14,10:26,0,0,0,1,0.0
17,2008-11-15,18,19-092,CBJ,@,MIN,L-SO,0,0,0,-1,0,0,0,0,0,,,,0,,13,9:22,0,0,0,0,
18,2008-11-18,19,19-095,CBJ,,EDM,L,0,0,0,-1,0,0,0,0,0,,,,0,,15,10:08,0,0,0,0,
19,2008-11-22,20,19-099,CBJ,@,ATL,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,13,8:58,1,0,0,0,
20,2008-11-26,21,19-103,CBJ,,PHX,L,0,0,0,1,0,0,0,0,0,,,,2,0.0,21,12:45,3,0,0,0,
21,2008-11-28,22,19-105,CBJ,@,DET,L,1,0,1,3,0,1,0,0,0,,,,1,100.0,18,11:35,2,0,0,0,
22,2008-11-29,23,19-106,CBJ,,WSH,W,0,0,0,0,0,0,0,0,0,,,,0,,16,9:52,1,0,0,0,
23,2008-12-01,24,19-108,CBJ,,VAN,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,15,11:40,0,0,0,0,
