,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,1990-10-13,1,32-173,MTL,@,HAR,L,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
1,1991-01-15,2,32-267,MTL,@,MNS,W,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
2,1991-01-17,3,32-269,MTL,@,STL,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,,,,,,,
3,1991-01-23,4,32-275,MTL,,TOR,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
4,1991-01-26,5,32-278,MTL,,BUF,W,0,1,1,2,0,0,0,0,0,,,,3,0.0,,,,,,,
5,1991-01-27,6,32-279,MTL,,BOS,L,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
6,1991-01-31,7,32-283,MTL,@,BOS,L,0,0,0,2,0,0,0,0,0,,,,1,0.0,,,,,,,
7,1991-02-06,8,32-289,MTL,,CHI,L,0,0,0,-3,0,0,0,0,0,,,,0,,,,,,,,
8,1991-02-07,9,32-290,MTL,@,QUE,W,0,0,0,1,2,0,0,0,0,,,,0,,,,,,,,
9,1991-02-09,10,32-292,MTL,,NYR,W,0,0,0,-1,0,0,0,0,0,,,,0,,,,,,,,
10,1991-02-13,11,32-296,MTL,,BOS,L,0,0,0,-2,0,0,0,0,0,,,,1,0.0,,,,,,,
11,1991-02-15,12,32-298,MTL,@,BUF,T,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
12,1991-02-16,13,32-299,MTL,,HAR,L,0,0,0,-1,0,0,0,0,0,,,,0,,,,,,,,
13,1991-02-20,14,32-303,MTL,@,HAR,L,0,0,0,1,0,0,0,0,0,,,,0,,,,,,,,
14,1991-02-23,15,32-306,MTL,,TOR,T,0,0,0,1,10,0,0,0,0,,,,0,,,,,,,,
15,1991-02-27,16,32-310,MTL,@,DET,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
16,1991-03-02,17,32-313,MTL,@,EDM,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
17,1991-03-04,18,32-315,MTL,@,CGY,L,0,0,0,-1,0,0,0,0,0,,,,0,,,,,,,,
18,1991-03-14,19,32-325,MTL,@,BOS,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
19,1991-03-16,20,32-327,MTL,,BUF,W,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
20,1991-03-17,21,32-328,MTL,,EDM,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,,,,,,,
21,1991-03-20,22,32-331,MTL,@,BUF,L,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
22,1991-03-23,23,32-334,MTL,,NJD,T,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
23,1991-03-25,24,32-336,MTL,,HAR,W,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
24,1991-03-31,25,32-342,MTL,@,QUE,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,,,,,,,
25,1991-10-04,1,33-164,VAN,,SJS,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
26,1991-10-05,2,33-165,VAN,@,SJS,W,0,0,0,0,2,0,0,0,0,,,,0,,,,,,,,
27,1991-10-08,3,33-168,VAN,@,WIN,W,0,0,0,0,21,0,0,0,0,,,,0,,,,,,,,
28,1991-10-10,4,33-170,VAN,@,CHI,L,1,0,1,0,0,0,1,0,0,,,,1,100.0,,,,,,,
29,1991-10-12,5,33-172,VAN,@,TOR,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
30,1991-10-13,6,33-173,VAN,@,BUF,W,0,1,1,1,0,0,0,0,0,,,,0,,,,,,,,
31,1991-10-17,7,33-177,VAN,,BOS,T,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
32,1991-10-19,8,33-179,VAN,,CGY,W,0,1,1,1,2,0,0,0,0,,,,0,,,,,,,,
33,1991-10-21,9,33-181,VAN,,TOR,W,0,0,0,1,2,0,0,0,0,,,,1,0.0,,,,,,,
34,1991-10-24,10,33-184,VAN,,WSH,W,0,0,0,-1,0,0,0,0,0,,,,0,,,,,,,,
35,1991-10-26,11,33-186,VAN,@,EDM,L,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
36,1991-10-27,12,33-187,VAN,,EDM,L,0,1,1,0,2,0,0,0,0,,,,1,0.0,,,,,,,
37,1991-10-29,13,33-189,VAN,,NJD,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
38,1991-11-01,14,33-192,VAN,,STL,L,0,0,0,0,0,0,0,0,0,,,,4,0.0,,,,,,,
39,1991-11-03,15,33-194,VAN,,EDM,W,0,0,0,1,0,0,0,0,0,,,,0,,,,,,,,
40,1991-11-05,16,33-196,VAN,,WIN,T,0,0,0,1,0,0,0,0,0,,,,2,0.0,,,,,,,
41,1991-11-07,17,33-198,VAN,@,LAK,W,0,0,0,-1,0,0,0,0,0,,,,2,0.0,,,,,,,
42,1991-11-10,18,33-201,VAN,,NYI,W,0,0,0,1,0,0,0,0,0,,,,1,0.0,,,,,,,
43,1991-11-12,19,33-203,VAN,,LAK,W,0,0,0,1,0,0,0,0,0,,,,0,,,,,,,,
44,1991-11-14,20,33-205,VAN,@,CGY,T,0,1,1,0,0,0,0,0,0,,,,0,,,,,,,,
45,1991-11-19,21,33-210,VAN,,NYR,L,0,0,0,-2,0,0,0,0,0,,,,0,,,,,,,,
46,1991-11-21,22,33-212,VAN,@,CGY,L,0,1,1,1,0,0,0,0,0,,,,1,0.0,,,,,,,
47,1991-11-22,23,33-213,VAN,,CGY,W,0,0,0,-1,0,0,0,0,0,,,,2,0.0,,,,,,,
48,1991-11-26,24,33-217,VAN,@,SJS,L,0,0,0,0,0,0,0,0,0,,,,4,0.0,,,,,,,
49,1991-11-29,25,33-220,VAN,,CHI,W,0,1,1,0,2,0,0,0,0,,,,1,0.0,,,,,,,
50,1991-12-01,26,33-222,VAN,@,EDM,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,,,,,,,
51,1991-12-03,27,33-224,VAN,@,QUE,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
52,1991-12-04,28,33-225,VAN,@,MTL,W,0,0,0,1,0,0,0,0,0,,,,1,0.0,,,,,,,
53,1991-12-07,29,33-228,VAN,@,TOR,L,0,1,1,1,0,0,0,0,0,,,,2,0.0,,,,,,,
54,1991-12-10,30,33-231,VAN,,EDM,L,0,2,2,1,0,0,0,0,0,,,,1,0.0,,,,,,,
55,1991-12-12,31,33-233,VAN,,MNS,W,1,0,1,1,0,1,0,0,0,,,,1,100.0,,,,,,,
56,1991-12-14,32,33-235,VAN,@,LAK,T,0,0,0,-1,0,0,0,0,0,,,,2,0.0,,,,,,,
57,1991-12-17,33,33-238,VAN,,DET,W,0,1,1,1,0,0,0,0,0,,,,1,0.0,,,,,,,
58,1991-12-19,34,33-240,VAN,,WIN,W,0,0,0,0,10,0,0,0,0,,,,2,0.0,,,,,,,
59,1991-12-22,35,33-243,VAN,,QUE,T,0,0,0,-3,2,0,0,0,0,,,,1,0.0,,,,,,,
60,1991-12-27,36,33-248,VAN,,PHI,T,0,0,0,-1,0,0,0,0,0,,,,5,0.0,,,,,,,
61,1991-12-28,37,33-249,VAN,@,SJS,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
62,1991-12-31,38,33-252,VAN,@,LAK,W,1,0,1,2,0,1,0,0,0,,,,1,100.0,,,,,,,
63,1992-01-03,39,33-255,VAN,@,WSH,T,0,0,0,-1,0,0,0,0,0,,,,1,0.0,,,,,,,
64,1992-01-04,40,33-256,VAN,@,MNS,L,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
65,1992-01-12,41,33-264,VAN,,PIT,L,0,0,0,-1,0,0,0,0,0,,,,3,0.0,,,,,,,
66,1992-01-14,42,33-266,VAN,@,WIN,W,0,0,0,0,2,0,0,0,0,,,,1,0.0,,,,,,,
67,1992-01-15,43,33-267,VAN,@,EDM,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
68,1992-01-21,44,33-273,VAN,@,QUE,W,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
69,1992-01-23,45,33-275,VAN,@,DET,W,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
70,1992-01-25,46,33-277,VAN,@,STL,W,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
71,1992-01-28,47,33-280,VAN,,EDM,L,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
72,1992-01-30,48,33-282,VAN,,CHI,W,0,1,1,1,0,0,0,0,0,,,,3,0.0,,,,,,,
73,1992-02-01,49,33-284,VAN,,HAR,T,1,0,1,1,0,0,0,1,0,,,,1,100.0,,,,,,,
74,1992-02-04,50,33-287,VAN,,MTL,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
75,1992-02-06,51,33-289,VAN,,NYI,L,0,0,0,0,0,0,0,0,0,,,,3,0.0,,,,,,,
76,1992-02-10,52,33-293,VAN,@,MTL,L,0,0,0,-1,0,0,0,0,0,,,,0,,,,,,,,
77,1992-02-13,53,33-296,VAN,@,NJD,L,1,0,1,2,0,1,0,0,0,,,,1,100.0,,,,,,,
78,1992-02-15,54,33-298,VAN,@,NYI,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
79,1992-02-28,55,33-311,VAN,,WIN,W,0,0,0,0,2,0,0,0,0,,,,2,0.0,,,,,,,
80,1992-03-01,56,33-313,VAN,,CGY,W,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
81,1992-03-02,57,33-314,VAN,,STL,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,,,,,,,
82,1992-03-05,58,33-317,VAN,@,BOS,T,1,0,1,1,0,1,0,0,0,,,,3,33.3,,,,,,,
83,1992-03-07,59,33-319,VAN,@,HAR,W,0,0,0,1,0,0,0,0,0,,,,2,0.0,,,,,,,
84,1992-03-08,60,33-320,VAN,@,PHI,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
85,1992-03-12,61,33-324,VAN,,NJD,W,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
86,1992-03-14,62,33-326,VAN,@,CGY,W,0,0,0,1,0,0,0,0,0,,,,2,0.0,,,,,,,
87,1992-03-20,63,33-332,VAN,,WIN,T,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
88,1992-03-22,64,33-334,VAN,@,WIN,L,0,0,0,-1,0,0,0,0,0,,,,0,,,,,,,,
89,1992-03-24,65,33-336,VAN,@,MNS,W,0,0,0,-1,0,0,0,0,0,,,,0,,,,,,,,
90,1992-03-29,66,33-341,VAN,@,WSH,L,0,0,0,0,2,0,0,0,0,,,,0,,,,,,,,
91,1992-04-12,67,33-355,VAN,,LAK,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
