,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,1995-10-07,1,19-253,FLA,@,NJD,L,0,0,0,-1,0,0,0,0,0,,,,0,,,,,,,,
1,1995-10-08,2,19-254,FLA,,CGY,W,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
2,1995-10-11,3,19-257,FLA,,MTL,W,0,0,0,1,2,0,0,0,0,,,,0,,,,,,,,
3,1995-10-17,4,19-263,FLA,,CHI,L,0,0,0,-2,0,0,0,0,0,,,,2,0.0,,,,,,,
4,1995-10-21,5,19-267,FLA,,HAR,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,,,,,,,
5,1995-10-24,6,19-270,FLA,@,TOR,W,0,0,0,3,17,0,0,0,0,,,,0,,,,,,,,
6,1995-10-25,7,19-271,FLA,@,MTL,L,0,0,0,-1,0,0,0,0,0,,,,0,,,,,,,,
7,1995-10-28,8,19-274,FLA,@,OTT,W,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
8,1995-10-31,9,19-277,FLA,,NYI,L,0,0,0,0,2,0,0,0,0,,,,1,0.0,,,,,,,
9,1995-11-19,10,19-296,FLA,@,MDA,W,0,0,0,-1,0,0,0,0,0,,,,0,,,,,,,,
10,1995-11-21,11,19-298,FLA,,NJD,W,0,0,0,1,0,0,0,0,0,,,,2,0.0,,,,,,,
11,1995-11-29,12,19-306,FLA,,PHI,L,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
12,1995-12-02,13,19-309,FLA,@,HAR,W,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
13,1996-01-08,14,19-346,FLA,@,SJS,W,0,1,1,2,0,0,0,0,0,,,,1,0.0,,,,,,,
14,1996-01-10,15,19-348,FLA,@,COL,T,0,0,0,1,2,0,0,0,0,,,,0,,,,,,,,
