,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,2001-11-27,1,23-209,ATL,@,MTL,L,0,0,0,1,0,0,0,0,0,,,,1,0.0,22,19:15,,,,,
1,2001-12-01,2,23-213,ATL,@,FLA,W,0,1,1,1,0,0,0,0,0,,,,0,,22,16:40,,,,,
2,2001-12-04,3,23-216,ATL,,BOS,L,0,0,0,0,2,0,0,0,0,,,,0,,10,6:58,,,,,
3,2001-12-23,4,23-235,ATL,,DAL,L,0,0,0,-1,2,0,0,0,0,,,,3,0.0,20,14:41,,,,,
4,2001-12-26,5,23-238,ATL,,FLA,T,0,0,0,1,0,0,0,0,0,,,,2,0.0,16,13:37,,,,,
5,2001-12-28,6,23-240,ATL,,TOR,W,0,0,0,1,2,0,0,0,0,,,,0,,15,10:16,,,,,
6,2001-12-31,7,23-243,ATL,@,FLA,L,0,0,0,0,0,0,0,0,0,,,,0,,17,10:17,,,,,
7,2002-01-02,8,23-245,ATL,@,DAL,L,0,0,0,0,2,0,0,0,0,,,,1,0.0,17,13:38,,,,,
8,2002-01-03,9,23-246,ATL,@,PHX,L,0,0,0,0,0,0,0,0,0,,,,0,,20,15:13,,,,,
9,2002-01-06,10,23-249,ATL,,NYI,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,18,17:20,,,,,
10,2002-01-08,11,23-251,ATL,@,PHI,L,0,0,0,-1,2,0,0,0,0,,,,1,0.0,20,15:56,,,,,
11,2002-01-09,12,23-252,ATL,,OTT,W,0,0,0,0,0,0,0,0,0,,,,0,,16,13:38,,,,,
12,2002-01-11,13,23-254,ATL,,CGY,W,0,0,0,0,0,0,0,0,0,,,,0,,18,12:57,,,,,
13,2002-01-13,14,23-256,ATL,,TBL,T,0,0,0,0,0,0,0,0,0,,,,0,,21,14:22,,,,,
14,2002-01-15,15,23-258,ATL,@,TOR,W,0,0,0,-1,0,0,0,0,0,,,,0,,21,14:01,,,,,
15,2002-01-22,16,23-265,ATL,,WSH,L,0,0,0,-1,0,0,0,0,0,,,,0,,18,13:39,,,,,
16,2002-10-31,1,24-182,ATL,@,TOR,T,0,0,0,0,2,0,0,0,0,,,,0,,20,12:54,,,,,
17,2002-11-02,2,24-184,ATL,@,FLA,W,0,0,0,2,4,0,0,0,0,,,,1,0.0,19,16:53,,,,,
18,2002-11-07,3,24-189,ATL,@,CHI,L,0,0,0,-2,0,0,0,0,0,,,,0,,28,22:43,,,,,
19,2002-11-09,4,24-191,ATL,@,BUF,W,0,0,0,0,2,0,0,0,0,,,,1,0.0,25,18:35,,,,,
20,2002-11-11,5,24-193,ATL,,CGY,W,0,0,0,0,0,0,0,0,0,,,,0,,16,9:29,,,,,
