,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,2009-01-20,1,24-348,LAK,@,MIN,W,0,0,0,0,0,0,0,0,0,,,,0,,6,4:39,1,1,0,1,0.0
1,2009-01-21,2,24-349,LAK,@,COL,W,0,0,0,0,0,0,0,0,0,,,,0,,6,2:50,1,0,0,0,
2,2009-03-07,3,25-028,LAK,,MIN,W,0,0,0,1,0,0,0,0,0,,,,1,0.0,9,6:27,0,0,0,0,
3,2009-03-09,4,25-030,LAK,,VAN,W,0,0,0,0,7,0,0,0,0,,,,0,,6,3:16,1,0,0,0,
4,2009-03-13,5,25-034,LAK,@,VAN,L,0,0,0,0,2,0,0,0,0,,,,0,,7,4:31,0,0,0,0,
5,2009-03-14,6,25-035,LAK,@,SJS,L-SO,0,0,0,0,0,0,0,0,0,,,,0,,9,6:12,2,0,0,0,
6,2009-03-16,7,25-037,LAK,,NSH,L,0,0,0,0,0,0,0,0,0,,,,0,,7,5:44,0,,,,
7,2009-03-19,8,25-040,LAK,@,BOS,W,0,0,0,0,0,0,0,0,0,,,,0,,10,7:34,0,0,0,0,
8,2009-03-22,9,25-043,LAK,@,CHI,L,0,0,0,0,0,0,0,0,0,,,,0,,7,4:08,2,0,0,0,
9,2010-10-09,1,26-244,LAK,@,VAN,W,0,0,0,0,0,0,0,0,0,,,,0,,10,5:03,0,1,0,0,
10,2010-10-10,2,26-245,LAK,@,CGY,L,0,0,0,0,4,0,0,0,0,,,,0,,10,6:09,0,0,0,0,
11,2010-10-12,3,26-247,LAK,,ATL,W,0,0,0,-1,0,0,0,0,0,,,,1,0.0,7,5:09,2,0,0,0,
12,2010-10-15,4,26-250,LAK,,VAN,W,0,0,0,0,0,0,0,0,0,,,,0,,4,2:10,0,0,0,0,
13,2010-10-21,5,26-256,LAK,@,PHX,L,0,0,0,0,0,0,0,0,0,,,,0,,9,8:05,0,,,,
14,2010-10-23,6,26-258,LAK,@,COL,W,0,0,0,0,0,0,0,0,0,,,,0,,4,3:04,0,1,0,0,
15,2010-10-25,7,26-260,LAK,@,MIN,W,0,0,0,-1,2,0,0,0,0,,,,0,,6,4:09,1,0,0,0,
16,2010-10-28,8,26-263,LAK,@,DAL,W,0,0,0,-1,2,0,0,0,0,,,,0,,7,5:26,0,0,0,0,
17,2010-10-30,9,26-265,LAK,,NJD,W,0,0,0,-1,0,0,0,0,0,,,,0,,8,4:54,1,1,0,0,
18,2010-11-06,10,26-272,LAK,,NSH,W,0,0,0,0,2,0,0,0,0,,,,0,,12,7:38,2,0,0,0,
19,2010-11-11,11,26-277,LAK,,DAL,W,0,0,0,0,0,0,0,0,0,,,,0,,4,2:46,1,0,0,0,
20,2010-11-13,12,26-279,LAK,,NYI,W,0,0,0,0,12,0,0,0,0,,,,0,,13,9:41,0,0,0,0,
21,2010-11-15,13,26-281,LAK,@,SJS,L,0,0,0,0,0,0,0,0,0,,,,0,,8,7:02,3,0,0,0,
22,2010-11-17,14,26-283,LAK,,CBJ,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,8,5:10,0,0,0,0,
23,2010-11-19,15,26-285,LAK,@,BUF,L,0,0,0,-1,5,0,0,0,0,,,,0,,6,3:48,0,0,0,0,
24,2010-11-20,16,26-286,LAK,@,BOS,W,0,1,1,1,0,0,0,0,0,,,,0,,10,6:18,2,0,0,0,
25,2010-11-22,17,26-288,LAK,@,OTT,L,0,0,0,0,5,0,0,0,0,,,,0,,6,4:01,0,0,0,0,
26,2010-11-27,18,26-293,LAK,,CHI,L,0,0,0,0,5,0,0,0,0,,,,0,,8,4:50,0,0,0,0,
