,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,2005-11-09,1,22-234,STL,@,CBJ,L,0,0,0,0,2,0,0,0,0,,,,1,0.0,22,19:23,,,,,
1,2005-11-10,2,22-235,STL,,CHI,L,0,0,0,-1,0,0,0,0,0,,,,2,0.0,17,18:16,,,,,
2,2005-11-12,3,22-237,STL,@,NSH,L,0,1,1,0,4,0,0,0,0,,,,3,0.0,18,13:19,,,,,
3,2005-11-16,4,22-241,STL,@,CBJ,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,19,15:57,,,,,
4,2005-11-19,5,22-244,STL,@,DET,W,0,0,0,1,2,0,0,0,0,,,,1,0.0,15,11:45,,,,,
5,2005-11-22,6,22-247,STL,,LAK,L,0,0,0,0,2,0,0,0,0,,,,1,0.0,20,16:29,,,,,
6,2005-11-25,7,22-250,STL,@,MIN,L,0,1,1,0,0,0,0,0,0,,,,2,0.0,22,19:47,,,,,
7,2005-11-26,8,22-251,STL,,CBJ,L,0,0,0,-2,0,0,0,0,0,,,,3,0.0,21,17:18,,,,,
8,2005-12-01,9,22-256,STL,,CBJ,W,1,1,2,1,0,0,1,0,1,,,,9,11.1,18,18:38,,,,,
9,2005-12-06,10,22-261,STL,,NYI,L,0,0,0,-1,0,0,0,0,0,,,,3,0.0,29,26:04,,,,,
10,2005-12-08,11,22-263,STL,@,TBL,L,0,1,1,1,0,0,0,0,0,,,,3,0.0,29,26:31,,,,,
11,2005-12-10,12,22-265,STL,,NYR,L-OT,0,0,0,-1,0,0,0,0,0,,,,4,0.0,30,28:06,,,,,
12,2005-12-13,13,22-268,STL,,PIT,W,0,0,0,1,0,0,0,0,0,,,,2,0.0,13,10:30,,,,,
13,2005-12-16,14,22-271,STL,@,CHI,L,0,0,0,-2,0,0,0,0,0,,,,4,0.0,25,19:45,,,,,
14,2005-12-17,15,22-272,STL,,PHI,L,0,0,0,-1,0,0,0,0,0,,,,2,0.0,20,18:03,,,,,
15,2005-12-20,16,22-275,STL,@,PHX,W,0,1,1,0,0,0,0,0,0,,,,0,,16,12:49,,,,,
16,2005-12-21,17,22-276,STL,@,MDA,L,1,0,1,0,7,0,1,0,0,,,,1,100.0,23,16:25,,,,,
17,2005-12-23,18,22-278,STL,@,SJS,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,27,18:48,,,,,
18,2005-12-26,19,22-281,STL,,DAL,L,1,0,1,0,7,1,0,0,0,,,,2,50.0,21,16:38,,,,,
19,2005-12-28,20,22-283,STL,@,CHI,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,24,19:17,,,,,
20,2005-12-29,21,22-284,STL,@,DAL,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,24,19:37,,,,,
21,2005-12-31,22,22-286,STL,,MDA,L-SO,0,2,2,-1,0,0,0,0,0,,,,3,0.0,27,23:48,,,,,
22,2006-01-02,23,22-288,STL,,VAN,W,0,1,1,0,5,0,0,0,0,,,,0,,27,20:28,,,,,
23,2006-01-04,24,22-290,STL,,NSH,L,0,0,0,-1,0,0,0,0,0,,,,2,0.0,25,22:31,,,,,
