,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,1999-02-05,1,21-237,CAR,@,WSH,L,0,0,0,0,0,0,0,0,0,,,,0,,7,4:46,,,,,
1,1999-02-06,2,21-238,CAR,,FLA,T,0,0,0,-1,0,0,0,0,0,,,,0,,3,2:40,,,,,
2,1999-02-10,3,21-242,CAR,@,TOR,W,0,0,0,-1,0,0,0,0,0,,,,0,,2,0:37,,,,,
3,1999-02-12,4,21-244,CAR,@,NYR,W,0,0,0,0,0,0,0,0,0,,,,0,,1,1:21,,,,,
4,1999-02-13,5,21-245,CAR,@,NJD,L,0,0,0,0,0,0,0,0,0,,,,0,,2,1:59,,,,,
5,1999-02-15,6,21-247,CAR,@,BUF,L,0,0,0,0,0,0,0,0,0,,,,0,,1,0:26,,,,,
6,1999-02-27,7,21-259,CAR,@,EDM,T,0,0,0,0,0,0,0,0,0,,,,1,0.0,4,2:21,,,,,
7,2000-02-21,1,22-253,CAR,,WSH,T,0,0,0,0,0,0,0,0,0,,,,1,0.0,10,8:25,,,,,
8,2000-02-24,2,22-256,CAR,,FLA,L,0,0,0,-1,0,0,0,0,0,,,,0,,4,3:15,,,,,
9,2000-10-07,1,23-116,CAR,,WSH,T,1,2,3,2,0,0,1,0,0,,,,3,33.3,20,14:42,,,,,
10,2000-10-10,2,23-119,CAR,,DAL,W,0,1,1,0,0,0,0,0,0,,,,1,0.0,17,13:30,,,,,
11,2000-10-13,3,23-122,CAR,@,FLA,T,0,0,0,1,2,0,0,0,0,,,,2,0.0,22,20:45,,,,,
12,2000-10-14,4,23-123,CAR,@,NSH,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,24,19:35,,,,,
13,2000-10-18,5,23-127,CAR,@,PIT,W,0,0,0,0,2,0,0,0,0,,,,4,0.0,16,11:21,,,,,
14,2000-10-21,6,23-130,CAR,@,MTL,L,1,0,1,-2,0,0,1,0,0,,,,3,33.3,22,16:30,,,,,
15,2000-10-24,7,23-133,CAR,,SJS,L,0,1,1,-1,0,0,0,0,0,,,,2,0.0,15,15:11,,,,,
16,2000-10-25,8,23-134,CAR,@,BUF,L,0,0,0,-1,0,0,0,0,0,,,,0,,17,15:47,,,,,
17,2000-10-27,9,23-136,CAR,,NJD,T,1,0,1,-1,2,1,0,0,0,,,,1,100.0,25,20:40,,,,,
18,2000-10-29,10,23-138,CAR,,STL,L,0,0,0,-1,0,0,0,0,0,,,,2,0.0,19,18:43,,,,,
19,2000-10-31,11,23-140,CAR,,TBL,W,0,1,1,1,2,0,0,0,0,,,,2,0.0,14,10:30,,,,,
20,2000-11-03,12,23-143,CAR,@,COL,L,1,0,1,0,0,0,1,0,0,,,,6,16.7,23,17:47,,,,,
21,2000-11-04,13,23-144,CAR,@,SJS,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,21,15:26,,,,,
22,2000-11-08,14,23-148,CAR,@,TOR,L,0,0,0,-1,0,0,0,0,0,,,,7,0.0,18,18:35,,,,,
23,2000-11-10,15,23-150,CAR,,TOR,W,0,1,1,-1,0,0,0,0,0,,,,3,0.0,16,16:25,,,,,
24,2000-11-12,16,23-152,CAR,,OTT,W,2,1,3,2,2,2,0,0,1,,,,3,66.7,21,15:29,,,,,
25,2000-11-15,17,23-155,CAR,,FLA,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,22,18:02,,,,,
26,2000-11-16,18,23-156,CAR,@,OTT,W,1,0,1,0,0,0,1,0,1,,,,5,20.0,23,19:35,,,,,
27,2000-11-18,19,23-158,CAR,@,NJD,L-OT,0,0,0,-1,0,0,0,0,0,,,,1,0.0,25,20:14,,,,,
28,2000-11-22,20,23-162,CAR,@,PIT,W,0,0,0,-1,0,0,0,0,0,,,,0,,22,18:10,,,,,
29,2000-11-24,21,23-164,CAR,@,BOS,W,1,0,1,0,2,0,1,0,1,,,,4,25.0,19,15:19,,,,,
30,2000-11-26,22,23-166,CAR,,NSH,L,0,0,0,-1,2,0,0,0,0,,,,4,0.0,24,17:35,,,,,
31,2000-11-29,23,23-169,CAR,@,FLA,W,0,0,0,-1,0,0,0,0,0,,,,4,0.0,21,20:53,,,,,
32,2000-11-30,24,23-170,CAR,,PHI,W,0,1,1,0,0,0,0,0,0,,,,3,0.0,25,17:49,,,,,
