,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,1995-11-18,1,20-265,BUF,@,NJD,W,0,0,0,0,2,0,0,0,0,,,,2,0.0,,,,,,,
1,1995-11-19,2,20-266,BUF,,OTT,W,0,0,0,1,2,0,0,0,0,,,,0,,,,,,,,
2,1995-11-25,3,20-272,BUF,@,PIT,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,,,,,,,
3,1995-11-27,4,20-274,BUF,@,STL,W,0,0,0,0,2,0,0,0,0,,,,0,,,,,,,,
4,1995-11-29,5,20-276,BUF,@,NYR,L,0,0,0,-1,0,0,0,0,0,,,,0,,,,,,,,
5,1995-12-02,6,20-279,BUF,@,BOS,L,0,0,0,-2,2,0,0,0,0,,,,0,,,,,,,,
6,1995-12-07,7,20-284,BUF,@,PHI,L,0,0,0,-1,0,0,0,0,0,,,,2,0.0,,,,,,,
7,1995-12-08,8,20-285,BUF,,WSH,T,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
8,1995-12-13,9,20-290,BUF,,COL,W,0,0,0,1,2,0,0,0,0,,,,0,,,,,,,,
9,1995-12-15,10,20-292,BUF,,NYR,W,0,1,1,0,0,0,0,0,0,,,,2,0.0,,,,,,,
10,1995-12-16,11,20-293,BUF,@,NJD,W,0,0,0,1,0,0,0,0,0,,,,1,0.0,,,,,,,
11,1995-12-20,12,20-297,BUF,,MTL,W,0,0,0,1,0,0,0,0,0,,,,2,0.0,,,,,,,
12,1995-12-22,13,20-299,BUF,,BOS,L,0,0,0,-1,0,0,0,0,0,,,,0,,,,,,,,
13,1995-12-23,14,20-300,BUF,@,OTT,W,0,0,0,1,2,0,0,0,0,,,,1,0.0,,,,,,,
14,1995-12-26,15,20-303,BUF,@,PIT,L,0,0,0,-1,2,0,0,0,0,,,,0,,,,,,,,
15,1995-12-27,16,20-304,BUF,,OTT,L,0,1,1,2,2,0,0,0,0,,,,0,,,,,,,,
16,1995-12-29,17,20-306,BUF,,CHI,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
17,1995-12-31,18,20-308,BUF,,NYI,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
18,1996-01-05,19,20-313,BUF,,TOR,W,0,0,0,1,0,0,0,0,0,,,,1,0.0,,,,,,,
19,1996-01-06,20,20-314,BUF,@,MTL,W,0,1,1,4,0,0,0,0,0,,,,0,,,,,,,,
20,1996-01-10,21,20-318,BUF,@,WIN,L,0,0,0,0,2,0,0,0,0,,,,1,0.0,,,,,,,
21,1996-01-12,22,20-320,BUF,@,CGY,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,,,,,,,
22,1996-01-13,23,20-321,BUF,@,EDM,L,0,1,1,-1,0,0,0,0,0,,,,2,0.0,,,,,,,
23,1996-01-17,24,20-325,BUF,,PIT,L,0,0,0,-1,0,0,0,0,0,,,,0,,,,,,,,
24,1996-01-24,25,20-332,BUF,,HAR,W,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
25,1996-01-30,26,20-338,BUF,@,NYI,L,1,0,1,0,0,1,0,0,0,,,,1,100.0,,,,,,,
26,1996-01-31,27,20-339,BUF,,FLA,W,0,0,0,1,0,0,0,0,0,,,,1,0.0,,,,,,,
27,1996-02-03,28,20-342,BUF,@,BOS,L,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
28,1996-02-07,29,20-346,BUF,,BOS,W,0,0,0,-1,2,0,0,0,0,,,,1,0.0,,,,,,,
29,1996-02-08,30,20-347,BUF,@,PHI,W,1,0,1,1,0,1,0,0,1,,,,1,100.0,,,,,,,
30,1996-02-10,31,20-349,BUF,@,TOR,T,0,0,0,1,0,0,0,0,0,,,,0,,,,,,,,
31,1996-02-14,32,20-353,BUF,,LAK,T,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
32,1996-02-16,33,20-355,BUF,,NJD,T,0,0,0,0,2,0,0,0,0,,,,1,0.0,,,,,,,
33,1996-02-17,34,20-356,BUF,@,HAR,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,,,,,,,
34,1996-02-21,35,20-360,BUF,,PIT,W,0,0,0,1,0,0,0,0,0,,,,1,0.0,,,,,,,
35,1996-02-23,36,20-362,BUF,,PHI,W,0,0,0,4,0,0,0,0,0,,,,2,0.0,,,,,,,
36,1996-02-25,37,20-364,BUF,,FLA,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
37,1996-02-28,38,21-002,BUF,@,OTT,W,0,0,0,1,4,0,0,0,0,,,,0,,,,,,,,
38,1996-03-01,39,21-004,BUF,@,NYR,T,0,0,0,1,0,0,0,0,0,,,,0,,,,,,,,
39,1996-03-03,40,21-006,BUF,,VAN,L,0,0,0,-1,2,0,0,0,0,,,,0,,,,,,,,
40,1996-03-06,41,21-009,BUF,@,VAN,L,0,0,0,1,0,0,0,0,0,,,,0,,,,,,,,
41,1996-03-08,42,21-011,BUF,@,MDA,L,0,0,0,0,4,0,0,0,0,,,,3,0.0,,,,,,,
42,1996-03-10,43,21-013,BUF,@,SJS,L,0,0,0,-1,0,0,0,0,0,,,,0,,,,,,,,
43,1996-03-13,44,21-016,BUF,@,LAK,W,0,1,1,2,5,0,0,0,0,,,,1,0.0,,,,,,,
44,1996-03-16,45,21-019,BUF,@,HAR,L,0,1,1,1,0,0,0,0,0,,,,3,0.0,,,,,,,
45,1996-03-18,46,21-021,BUF,@,MTL,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
46,1996-03-22,47,21-025,BUF,,MTL,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
47,1996-03-23,48,21-026,BUF,@,PIT,W,1,0,1,2,0,1,0,0,0,,,,3,33.3,,,,,,,
48,1996-03-27,49,21-030,BUF,@,DET,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,,,,,,,
49,1996-03-29,50,21-032,BUF,,PHI,L,0,0,0,-1,0,0,0,0,0,,,,3,0.0,,,,,,,
50,1996-03-31,51,21-034,BUF,,BOS,L,0,0,0,1,0,0,0,0,0,,,,1,0.0,,,,,,,
51,1996-04-01,52,21-035,BUF,@,MTL,W,1,1,2,0,0,0,1,0,0,,,,1,100.0,,,,,,,
52,1996-04-03,53,21-037,BUF,,WSH,L,0,0,0,-4,0,0,0,0,0,,,,0,,,,,,,,
53,1996-04-05,54,21-039,BUF,@,TBL,W,0,0,0,1,0,0,0,0,0,,,,1,0.0,,,,,,,
54,1996-04-06,55,21-040,BUF,@,NYI,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
55,1996-04-10,56,21-044,BUF,,OTT,W,0,1,1,3,2,0,0,0,0,,,,1,0.0,,,,,,,
56,1996-04-13,57,21-047,BUF,@,WSH,W,0,0,0,-1,0,0,0,0,0,,,,0,,,,,,,,
57,1996-04-14,58,21-048,BUF,,HAR,W,0,0,0,0,2,0,0,0,0,,,,0,,,,,,,,
58,1996-10-04,1,21-221,BUF,@,EDM,L,0,0,0,-2,0,0,0,0,0,,,,1,0.0,,,,,,,
