,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,1997-11-16,1,21-187,DAL,@,MDA,W,0,0,0,1,0,0,0,0,0,,,,0,,7,4:50,,,,,
1,1998-01-09,2,21-241,DAL,,DET,T,1,0,1,0,0,1,0,0,0,,,,1,100.0,11,7:38,,,,,
2,1998-01-11,3,21-243,DAL,@,MDA,L,0,0,0,0,0,0,0,0,0,,,,0,,4,2:42,,,,,
3,1998-01-12,4,21-244,DAL,@,SJS,W,0,0,0,0,0,0,0,0,0,,,,0,,1,0:59,,,,,
4,1998-02-07,5,21-270,DAL,,CHI,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,15,9:24,,,,,
5,1998-03-08,6,21-299,DAL,,PHX,T,0,0,0,0,0,0,0,0,0,,,,0,,2,1:42,,,,,
6,1998-03-13,7,21-304,DAL,,MDA,W,0,1,1,1,0,0,0,0,0,,,,0,,19,12:35,,,,,
7,1998-03-17,8,21-308,DAL,@,LAK,W,0,1,1,2,0,0,0,0,0,,,,2,0.0,17,11:56,,,,,
8,1998-03-18,9,21-309,DAL,@,SJS,W,1,0,1,1,0,1,0,0,1,,,,2,50.0,18,12:38,,,,,
9,1998-03-20,10,21-311,DAL,,CAR,W,1,0,1,2,0,1,0,0,1,,,,1,100.0,17,10:56,,,,,
10,1998-03-22,11,21-313,DAL,,PIT,T,0,0,0,0,0,0,0,0,0,,,,0,,11,7:35,,,,,
11,1998-03-26,12,21-317,DAL,,TOR,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,14,9:03,,,,,
12,1998-03-28,13,21-319,DAL,,SJS,L,0,0,0,1,0,0,0,0,0,,,,0,,12,7:25,,,,,
13,1998-03-29,14,21-320,DAL,,NJD,W,0,0,0,0,0,0,0,0,0,,,,0,,14,8:31,,,,,
14,1998-04-01,15,21-323,DAL,@,CGY,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,12,5:42,,,,,
15,1998-04-03,16,21-325,DAL,@,EDM,L,0,0,0,0,0,0,0,0,0,,,,0,,17,7:00,,,,,
16,1998-04-04,17,21-326,DAL,@,VAN,L,0,0,0,0,0,0,0,0,0,,,,0,,14,9:58,,,,,
17,1998-04-06,18,21-328,DAL,,TOR,W,1,0,1,1,0,1,0,0,0,,,,5,20.0,16,9:51,,,,,
18,1998-04-08,19,21-330,DAL,,WSH,W,0,0,0,0,2,0,0,0,0,,,,0,,13,5:23,,,,,
19,1998-04-12,20,21-334,DAL,,STL,W,0,0,0,-1,0,0,0,0,0,,,,0,,14,8:22,,,,,
20,1998-04-16,21,21-338,DAL,@,PHX,L,0,0,0,0,0,0,0,0,0,,,,0,,11,8:23,,,,,
21,1998-10-10,1,22-150,DAL,,BUF,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,17,8:52,,,,,
22,1998-10-13,2,22-153,DAL,,CHI,W,0,0,0,-1,0,0,0,0,0,,,,1,0.0,13,9:36,,,,,
23,1998-10-15,3,22-155,DAL,@,CAR,T,0,0,0,0,0,0,0,0,0,,,,2,0.0,14,11:36,,,,,
24,1998-10-17,4,22-157,DAL,@,CHI,L,0,0,0,-2,0,0,0,0,0,,,,1,0.0,11,7:33,,,,,
25,1998-10-20,5,22-160,DAL,,CGY,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,9,5:34,,,,,
26,1999-01-08,6,22-240,DAL,@,CGY,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,10,9:01,,,,,
27,1999-01-10,7,22-242,DAL,@,VAN,L,0,0,0,0,0,0,0,0,0,,,,0,,7,4:05,,,,,
28,1999-01-12,8,22-244,DAL,@,EDM,T,0,0,0,0,0,0,0,0,0,,,,0,,9,5:49,,,,,
29,1999-03-16,9,22-307,DAL,@,PIT,T,0,0,0,0,0,0,0,0,0,,,,1,0.0,14,8:27,,,,,
30,1999-03-17,10,22-308,DAL,@,WSH,L,0,0,0,0,0,0,0,0,0,,,,0,,5,1:55,,,,,
31,1999-03-21,11,22-312,DAL,,CAR,W,0,0,0,1,0,0,0,0,0,,,,2,0.0,15,11:15,,,,,
32,1999-11-05,1,23-176,DAL,@,PHX,W,1,1,2,2,0,1,0,0,0,,,,2,50.0,25,17:25,,,,,
33,1999-11-06,2,23-177,DAL,@,SJS,L,0,0,0,0,0,0,0,0,0,,,,0,,21,11:47,,,,,
34,1999-11-09,3,23-180,DAL,@,STL,W,0,0,0,0,4,0,0,0,0,,,,0,,20,13:38,,,,,
35,1999-11-10,4,23-181,DAL,,DET,L,0,0,0,-2,0,0,0,0,0,,,,0,,18,12:12,,,,,
36,1999-11-17,5,23-188,DAL,@,WSH,T,0,0,0,0,0,0,0,0,0,,,,0,,17,10:48,,,,,
37,1999-11-18,6,23-189,DAL,@,PHI,T,0,0,0,0,0,0,0,0,0,,,,0,,15,10:53,,,,,
38,1999-11-20,7,23-191,DAL,@,CAR,L,0,0,0,0,2,0,0,0,0,,,,2,0.0,17,9:54,,,,,
39,1999-11-22,8,23-193,DAL,,COL,L-OT,0,0,0,0,0,0,0,0,0,,,,1,0.0,18,11:55,,,,,
40,1999-11-24,9,23-195,DAL,,LAK,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,14,11:24,,,,,
41,1999-11-26,10,23-197,DAL,,MDA,L,0,0,0,0,4,0,0,0,0,,,,0,,18,12:16,,,,,
42,1999-11-28,11,23-199,DAL,@,ATL,W,0,0,0,1,0,0,0,0,0,,,,1,0.0,16,11:24,,,,,
43,1999-12-01,12,23-202,DAL,@,MTL,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,13,9:44,,,,,
44,1999-12-06,13,23-207,DAL,,PHX,L,0,1,1,1,0,0,0,0,0,,,,0,,10,7:19,,,,,
45,1999-12-08,14,23-209,DAL,,CAR,W,0,0,0,0,0,0,0,0,0,,,,0,,11,8:46,,,,,
46,2000-02-03,15,23-266,DAL,@,PHX,W,0,0,0,0,0,0,0,0,0,,,,0,,8,4:39,,,,,
47,2000-02-09,16,23-272,DAL,@,MDA,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,6,3:40,,,,,
48,2000-02-11,17,23-274,DAL,@,LAK,L,0,1,1,1,0,0,0,0,0,,,,1,0.0,8,6:14,,,,,
49,2000-02-23,18,23-286,DAL,@,DET,W,0,1,1,1,0,0,0,0,0,,,,3,0.0,18,13:22,,,,,
50,2000-02-25,19,23-288,DAL,,CHI,L-OT,0,0,0,0,2,0,0,0,0,,,,1,0.0,12,10:04,,,,,
51,2000-02-27,20,23-290,DAL,,COL,T,0,0,0,0,2,0,0,0,0,,,,0,,9,6:22,,,,,
52,2000-03-01,21,23-293,DAL,,PHI,W,0,0,0,0,0,0,0,0,0,,,,0,,8,5:59,,,,,
53,2000-03-03,22,23-295,DAL,@,PHX,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,8,6:28,,,,,
54,2000-03-08,23,23-300,DAL,,VAN,T,0,0,0,0,2,0,0,0,0,,,,0,,11,9:48,,,,,
55,2001-01-26,1,24-258,DAL,,SJS,L,1,0,1,-1,0,1,0,0,0,,,,4,25.0,17,9:19,,,,,
56,2001-01-30,2,24-262,DAL,@,LAK,L,0,0,0,-2,0,0,0,0,0,,,,0,,17,12:11,,,,,
57,2001-10-20,1,25-160,CGY,,TOR,W,1,0,1,1,0,1,0,0,0,,,,4,25.0,18,13:01,,,,,
58,2001-10-22,2,25-162,CGY,@,STL,W,0,0,0,-1,0,0,0,0,0,,,,2,0.0,23,15:27,,,,,
59,2001-10-23,3,25-163,CGY,@,CHI,L,0,0,0,-1,0,0,0,0,0,,,,3,0.0,18,16:20,,,,,
60,2001-10-25,4,25-165,CGY,,NSH,L-OT,0,1,1,2,0,0,0,0,0,,,,1,0.0,21,15:55,,,,,
61,2001-10-27,5,25-167,CGY,,MIN,W,0,0,0,1,0,0,0,0,0,,,,0,,20,13:51,,,,,
62,2001-11-01,6,25-172,CGY,,CBJ,W,0,0,0,0,0,0,0,0,0,,,,3,0.0,18,13:03,,,,,
63,2001-11-03,7,25-174,CGY,,MTL,W,0,1,1,0,0,0,0,0,0,,,,0,,15,8:51,,,,,
64,2001-11-07,8,25-178,CGY,@,MDA,T,0,0,0,-2,0,0,0,0,0,,,,0,,15,12:22,,,,,
65,2001-11-08,9,25-179,CGY,@,LAK,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,18,13:50,,,,,
66,2001-11-10,10,25-181,CGY,,COL,W,0,0,0,1,0,0,0,0,0,,,,3,0.0,19,14:51,,,,,
67,2001-11-15,11,25-186,CGY,,CHI,T,0,0,0,0,0,0,0,0,0,,,,0,,16,11:53,,,,,
68,2001-11-17,12,25-188,CGY,,STL,W,0,0,0,0,0,0,0,0,0,,,,0,,15,11:13,,,,,
69,2001-11-20,13,25-191,CGY,,LAK,T,0,1,1,1,0,0,0,0,0,,,,3,0.0,18,11:23,,,,,
70,2001-11-22,14,25-193,CGY,@,OTT,T,0,0,0,0,0,0,0,0,0,,,,0,,11,6:40,,,,,
71,2001-11-25,15,25-196,CGY,@,CBJ,L,1,0,1,1,0,1,0,0,0,,,,2,50.0,16,10:35,,,,,
72,2001-11-27,16,25-198,CGY,@,DET,L,0,0,0,0,2,0,0,0,0,,,,0,,20,13:45,,,,,
73,2001-11-29,17,25-200,CGY,,DAL,L,0,0,0,-1,2,0,0,0,0,,,,2,0.0,19,13:27,,,,,
74,2002-01-28,18,25-260,CGY,@,MIN,W,0,0,0,0,2,0,0,0,0,,,,0,,19,11:53,,,,,
75,2002-01-30,19,25-262,CGY,,DET,W,0,2,2,2,0,0,0,0,0,,,,2,0.0,22,15:17,,,,,
76,2002-02-06,20,25-269,CGY,@,SJS,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,18,14:32,,,,,
77,2002-02-08,21,25-271,CGY,,VAN,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,25,17:16,,,,,
78,2002-02-09,22,25-272,CGY,@,VAN,W,0,0,0,1,0,0,0,0,0,,,,4,0.0,26,15:44,,,,,
79,2002-02-12,23,25-275,CGY,@,PHX,L-OT,0,1,1,1,2,0,0,0,0,,,,0,,20,15:36,,,,,
80,2002-02-13,24,25-276,CGY,@,MDA,L,0,1,1,0,0,0,0,0,0,,,,1,0.0,22,15:11,,,,,
81,2002-03-06,25,25-297,CGY,@,WSH,L,0,0,0,0,0,0,0,0,0,,,,0,,13,7:52,,,,,
82,2002-03-07,26,25-298,CGY,@,PHI,W,0,1,1,1,0,0,0,0,0,,,,3,0.0,22,16:58,,,,,
83,2002-03-09,27,25-300,CGY,@,BOS,L,0,1,1,-1,2,0,0,0,0,,,,2,0.0,21,15:17,,,,,
84,2002-03-11,28,25-302,CGY,@,CAR,T,0,0,0,-1,0,0,0,0,0,,,,0,,21,12:08,,,,,
85,2002-03-13,29,25-304,CGY,@,FLA,T,2,0,2,1,0,2,0,0,0,,,,6,33.3,23,14:45,,,,,
86,2002-03-14,30,25-305,CGY,@,TBL,L,0,0,0,1,0,0,0,0,0,,,,0,,22,15:02,,,,,
87,2002-03-16,31,25-307,CGY,@,CBJ,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,18,13:17,,,,,
88,2002-03-18,32,25-309,CGY,@,MIN,L,0,1,1,0,0,0,0,0,0,,,,0,,19,14:28,,,,,
89,2002-03-21,33,25-312,CGY,,SJS,L,0,0,0,-1,0,0,0,0,0,,,,2,0.0,18,15:39,,,,,
90,2002-03-23,34,25-314,CGY,@,EDM,L,0,0,0,0,0,0,0,0,0,,,,3,0.0,15,9:55,,,,,
91,2002-03-25,35,25-316,CGY,,CBJ,W,0,0,0,0,2,0,0,0,0,,,,2,0.0,18,13:52,,,,,
92,2002-03-28,36,25-319,CGY,,DAL,T,0,0,0,0,0,0,0,0,0,,,,2,0.0,23,15:50,,,,,
93,2002-03-30,37,25-321,CGY,,LAK,W,0,2,2,1,0,0,0,0,0,,,,1,0.0,17,13:03,,,,,
94,2002-04-02,38,25-324,CGY,,ATL,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,21,18:15,,,,,
95,2002-04-04,39,25-326,CGY,,MIN,W,0,0,0,-1,2,0,0,0,0,,,,0,,21,13:27,,,,,
96,2002-04-06,40,25-328,CGY,@,NSH,L,0,0,0,0,2,0,0,0,0,,,,0,,16,11:35,,,,,
97,2002-04-07,41,25-329,CGY,@,CHI,L,0,0,0,1,2,0,0,0,0,,,,3,0.0,25,16:30,,,,,
98,2002-04-09,42,25-331,CGY,,PHX,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,18,13:04,,,,,
99,2002-04-12,43,25-334,CGY,@,EDM,W,0,0,0,1,2,0,0,0,0,,,,1,0.0,31,16:23,,,,,
100,2002-04-13,44,25-335,CGY,,VAN,L,0,0,0,0,0,0,0,0,0,,,,3,0.0,18,14:51,,,,,
101,2002-10-10,1,26-150,CGY,,VAN,L,0,0,0,-1,0,0,0,0,0,,,,0,,16,12:43,,,,,
102,2002-10-14,2,26-154,CGY,@,VAN,W,0,1,1,1,0,0,0,0,0,,,,2,0.0,19,11:36,,,,,
103,2002-10-17,3,26-157,CGY,,BOS,T,0,0,0,0,0,0,0,0,0,,,,2,0.0,20,14:10,,,,,
104,2002-10-24,4,26-164,CGY,,DAL,T,1,0,1,2,2,1,0,0,0,,,,4,25.0,22,15:57,,,,,
105,2002-10-26,5,26-166,CGY,,STL,L-OT,0,0,0,0,0,0,0,0,0,,,,1,0.0,21,16:31,,,,,
106,2002-10-31,6,26-171,CGY,,BUF,W,0,0,0,0,2,0,0,0,0,,,,0,,19,12:40,,,,,
107,2002-11-02,7,26-173,CGY,,COL,T,0,0,0,-1,0,0,0,0,0,,,,0,,24,14:39,,,,,
108,2002-11-04,8,26-175,CGY,@,NYI,W,0,0,0,0,0,0,0,0,0,,,,0,,26,16:53,,,,,
