,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,1993-10-06,1,19-335,OTT,,QUE,T,0,1,1,0,0,0,0,0,0,,,,1,0.0,,,,,,,
1,1993-10-09,2,19-338,OTT,@,STL,L,0,1,1,-2,0,0,0,0,0,,,,5,0.0,,,,,,,
2,1993-10-14,3,19-343,OTT,@,FLA,L,1,0,1,1,2,1,0,0,0,,,,2,50.0,,,,,,,
3,1993-10-16,4,19-345,OTT,@,TBL,L,0,0,0,-1,2,0,0,0,0,,,,3,0.0,,,,,,,
4,1993-10-21,5,19-350,OTT,,DAL,L,2,0,2,-1,0,2,0,0,0,,,,3,66.7,,,,,,,
5,1993-10-23,6,19-352,OTT,@,NYI,T,0,1,1,2,0,0,0,0,0,,,,1,0.0,,,,,,,
6,1993-10-25,7,19-354,OTT,,MDA,W,1,0,1,1,0,1,0,0,0,,,,4,25.0,,,,,,,
7,1993-10-27,8,19-356,OTT,,PHI,L,1,1,2,-1,0,0,0,1,0,,,,4,25.0,,,,,,,
8,1993-10-28,9,19-357,OTT,@,BOS,L,1,0,1,-1,0,0,1,0,0,,,,4,25.0,,,,,,,
9,1993-10-30,10,19-359,OTT,@,DAL,W,0,0,0,-1,2,0,0,0,0,,,,2,0.0,,,,,,,
10,1993-11-03,11,19-363,OTT,@,EDM,W,3,2,5,4,0,3,0,0,1,,,,5,60.0,,,,,,,
11,1993-11-05,12,20-000,OTT,@,WIN,W,0,4,4,2,0,0,0,0,0,,,,4,0.0,,,,,,,
12,1993-11-10,13,20-005,OTT,@,HAR,L,1,1,2,3,0,1,0,0,0,,,,5,20.0,,,,,,,
13,1993-11-11,14,20-006,OTT,,FLA,L,1,1,2,-3,0,0,1,0,0,,,,7,14.3,,,,,,,
14,1993-11-13,15,20-008,OTT,@,MTL,W,0,1,1,1,0,0,0,0,0,,,,0,,,,,,,,
15,1993-11-15,16,20-010,OTT,,MTL,L,0,0,0,0,0,0,0,0,0,,,,4,0.0,,,,,,,
16,1993-11-17,17,20-012,OTT,,NYI,L,0,0,0,-2,0,0,0,0,0,,,,3,0.0,,,,,,,
17,1993-11-18,18,20-013,OTT,,NJD,L,0,0,0,0,0,0,0,0,0,,,,4,0.0,,,,,,,
18,1993-11-22,19,20-017,OTT,,BUF,L,0,1,1,-2,0,0,0,0,0,,,,8,0.0,,,,,,,
19,1993-11-24,20,20-019,OTT,,NYR,L,1,0,1,-1,0,0,1,0,0,,,,1,100.0,,,,,,,
20,1993-11-26,21,20-021,OTT,@,BUF,L,1,0,1,-2,0,0,1,0,0,,,,3,33.3,,,,,,,
21,1993-11-27,22,20-022,OTT,@,PIT,T,0,2,2,2,0,0,0,0,0,,,,3,0.0,,,,,,,
22,1993-11-29,23,20-024,OTT,,HAR,L,0,2,2,0,0,0,0,0,0,,,,1,0.0,,,,,,,
23,1993-12-01,24,20-026,OTT,@,MTL,W,1,1,2,1,0,0,1,0,0,,,,4,25.0,,,,,,,
24,1993-12-03,25,20-028,OTT,@,DET,L,0,1,1,-2,0,0,0,0,0,,,,1,0.0,,,,,,,
25,1993-12-06,26,20-031,OTT,,CGY,L,0,0,0,-1,0,0,0,0,0,,,,3,0.0,,,,,,,
26,1993-12-08,27,20-033,OTT,,BUF,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
27,1993-12-09,28,20-034,OTT,vs.,DAL,L,1,0,1,-2,0,1,0,0,0,,,,4,25.0,,,,,,,
28,1993-12-11,29,20-036,OTT,@,QUE,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
29,1993-12-13,30,20-038,OTT,,LAK,W,0,1,1,0,2,0,0,0,0,,,,1,0.0,,,,,,,
