,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,1990-10-04,1,25-005,CHI,,NYR,W,1,0,1,0,5,0,1,0,0,,,,2,50.0,,,,,,,
1,1990-10-06,2,25-007,CHI,@,STL,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
2,1990-10-07,3,25-008,CHI,,NYI,L,1,1,2,0,0,0,1,0,0,,,,4,25.0,,,,,,,
3,1990-10-11,4,25-012,CHI,,PIT,W,0,1,1,2,0,0,0,0,0,,,,1,0.0,,,,,,,
4,1990-10-13,5,25-014,CHI,@,MNS,W,0,0,0,1,0,0,0,0,0,,,,3,0.0,,,,,,,
5,1990-10-14,6,25-015,CHI,,CGY,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
6,1990-10-16,7,25-017,CHI,@,DET,L,0,1,1,-1,0,0,0,0,0,,,,0,,,,,,,,
7,1990-10-18,8,25-019,CHI,,TOR,W,0,1,1,0,0,0,0,0,0,,,,0,,,,,,,,
8,1990-10-20,9,25-021,CHI,@,TOR,L,0,2,2,1,0,0,0,0,0,,,,1,0.0,,,,,,,
9,1990-10-21,10,25-022,CHI,,MNS,W,1,0,1,1,0,0,1,0,0,,,,3,33.3,,,,,,,
10,1990-10-25,11,25-026,CHI,,WSH,W,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
11,1990-10-27,12,25-028,CHI,@,BOS,L,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
12,1990-10-28,13,25-029,CHI,,MTL,W,0,0,0,1,0,0,0,0,0,,,,4,0.0,,,,,,,
13,1990-11-01,14,25-033,CHI,,QUE,W,0,0,0,2,0,0,0,0,0,,,,1,0.0,,,,,,,
14,1990-11-03,15,25-035,CHI,@,PHI,W,0,0,0,1,4,0,0,0,0,,,,1,0.0,,,,,,,
15,1990-11-04,16,25-036,CHI,,LAK,L,0,0,0,-1,0,0,0,0,0,,,,3,0.0,,,,,,,
16,1990-11-06,17,25-038,CHI,@,HAR,T,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
17,1990-11-08,18,25-040,CHI,,EDM,W,0,0,0,1,0,0,0,0,0,,,,1,0.0,,,,,,,
18,1990-11-10,19,25-042,CHI,@,TOR,W,0,0,0,2,4,0,0,0,0,,,,0,,,,,,,,
19,1990-11-11,20,25-043,CHI,,WIN,T,0,1,1,-1,0,0,0,0,0,,,,1,0.0,,,,,,,
20,1990-11-16,21,25-048,CHI,@,WSH,W,0,0,0,2,0,0,0,0,0,,,,0,,,,,,,,
21,1990-11-17,22,25-049,CHI,@,QUE,W,0,0,0,1,0,0,0,0,0,,,,0,,,,,,,,
22,1990-11-20,23,25-052,CHI,@,EDM,W,0,0,0,1,0,0,0,0,0,,,,1,0.0,,,,,,,
23,1990-11-21,24,25-053,CHI,@,VAN,L,0,0,0,-2,0,0,0,0,0,,,,1,0.0,,,,,,,
24,1990-12-06,25,25-068,CHI,,NYI,W,0,1,1,1,0,0,0,0,0,,,,0,,,,,,,,
25,1990-12-11,26,25-073,CHI,@,PIT,W,0,0,0,1,0,0,0,0,0,,,,1,0.0,,,,,,,
26,1990-12-13,27,25-075,CHI,,WIN,W,0,0,0,1,2,0,0,0,0,,,,0,,,,,,,,
27,1990-12-15,28,25-077,CHI,@,MNS,L,0,0,0,-1,2,0,0,0,0,,,,0,,,,,,,,
28,1990-12-16,29,25-078,CHI,,MNS,W,0,0,0,1,0,0,0,0,0,,,,0,,,,,,,,
29,1990-12-19,30,25-081,CHI,,WSH,W,0,0,0,-1,0,0,0,0,0,,,,0,,,,,,,,
30,1990-12-22,31,25-084,CHI,@,STL,L,0,0,0,-1,0,0,0,0,0,,,,0,,,,,,,,
31,1990-12-29,32,25-091,CHI,@,NYI,W,0,0,0,1,2,0,0,0,0,,,,1,0.0,,,,,,,
32,1990-12-31,33,25-093,CHI,@,DET,W,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
33,1991-01-03,34,25-096,CHI,,NJD,W,0,0,0,1,0,0,0,0,0,,,,0,,,,,,,,
34,1991-01-06,35,25-099,CHI,,LAK,L,0,0,0,0,2,0,0,0,0,,,,0,,,,,,,,
35,1991-01-10,36,25-103,CHI,,TOR,W,0,1,1,0,4,0,0,0,0,,,,0,,,,,,,,
36,1991-01-11,37,25-104,CHI,@,WIN,W,0,0,0,-1,0,0,0,0,0,,,,1,0.0,,,,,,,
37,1991-01-13,38,25-106,CHI,,MNS,W,0,0,0,0,2,0,0,0,0,,,,1,0.0,,,,,,,
38,1991-01-16,39,25-109,CHI,@,NJD,T,0,0,0,-1,4,0,0,0,0,,,,2,0.0,,,,,,,
39,1991-01-17,40,25-110,CHI,@,NYR,W,0,1,1,1,0,0,0,0,0,,,,0,,,,,,,,
40,1991-01-24,41,25-117,CHI,,BUF,L,0,0,0,-2,0,0,0,0,0,,,,0,,,,,,,,
41,1991-01-26,42,25-119,CHI,,TOR,W,0,0,0,0,2,0,0,0,0,,,,1,0.0,,,,,,,
42,1991-01-28,43,25-121,CHI,@,VAN,W,0,0,0,0,2,0,0,0,0,,,,0,,,,,,,,
43,1991-02-01,44,25-125,CHI,@,EDM,L,0,1,1,0,2,0,0,0,0,,,,3,0.0,,,,,,,
44,1991-02-02,45,25-126,CHI,@,CGY,L,0,0,0,-1,4,0,0,0,0,,,,0,,,,,,,,
45,1991-02-10,46,25-134,CHI,@,HAR,L,0,0,0,-1,0,0,0,0,0,,,,0,,,,,,,,
46,1991-02-14,47,25-138,CHI,,QUE,W,0,1,1,0,0,0,0,0,0,,,,2,0.0,,,,,,,
47,1991-02-17,48,25-141,CHI,,DET,T,0,0,0,-2,0,0,0,0,0,,,,1,0.0,,,,,,,
48,1991-02-18,49,25-142,CHI,@,PHI,L,0,0,0,-1,0,0,0,0,0,,,,3,0.0,,,,,,,
49,1991-02-21,50,25-145,CHI,,BOS,W,0,0,0,0,4,0,0,0,0,,,,0,,,,,,,,
50,1991-02-23,51,25-147,CHI,@,MNS,T,0,0,0,1,0,0,0,0,0,,,,0,,,,,,,,
51,1991-02-28,52,25-152,CHI,,HAR,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
52,1991-03-06,53,25-158,CHI,,MTL,L,0,0,0,-1,0,0,0,0,0,,,,2,0.0,,,,,,,
53,1991-03-08,54,25-160,CHI,@,BUF,W,0,1,1,0,4,0,0,0,0,,,,2,0.0,,,,,,,
54,1991-03-14,55,25-166,CHI,@,LAK,W,0,0,0,1,2,0,0,0,0,,,,1,0.0,,,,,,,
55,1991-03-16,56,25-168,CHI,@,STL,W,0,0,0,0,4,0,0,0,0,,,,0,,,,,,,,
56,1991-03-17,57,25-169,CHI,,STL,W,0,0,0,0,15,0,0,0,0,,,,0,,,,,,,,
57,1991-03-21,58,25-173,CHI,,NJD,T,0,0,0,1,0,0,0,0,0,,,,0,,,,,,,,
58,1991-03-23,59,25-175,CHI,@,PIT,W,0,0,0,-1,0,0,0,0,0,,,,0,,,,,,,,
59,1991-03-26,60,25-178,CHI,@,TOR,T,0,0,0,0,7,0,0,0,0,,,,0,,,,,,,,
60,1991-03-30,61,25-182,CHI,@,MNS,L,0,0,0,-1,0,0,0,0,0,,,,0,,,,,,,,
61,1991-12-17,1,26-079,CGY,,WIN,W,0,0,0,1,0,0,0,0,0,,,,1,0.0,,,,,,,
62,1991-12-19,2,26-081,CGY,,QUE,T,0,1,1,-1,2,0,0,0,0,,,,1,0.0,,,,,,,
63,1991-12-21,3,26-083,CGY,@,WIN,L,0,1,1,0,0,0,0,0,0,,,,0,,,,,,,,
64,1991-12-23,4,26-085,CGY,@,EDM,L,0,1,1,-1,0,0,0,0,0,,,,0,,,,,,,,
65,1991-12-28,5,26-090,CGY,,PHI,W,0,2,2,0,0,0,0,0,0,,,,0,,,,,,,,
66,1991-12-29,6,26-091,CGY,,LAK,W,1,0,1,0,2,0,1,0,0,,,,1,100.0,,,,,,,
67,1991-12-31,7,26-093,CGY,,MTL,W,0,0,0,0,2,0,0,0,0,,,,1,0.0,,,,,,,
68,1992-01-04,8,26-097,CGY,,EDM,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,,,,,,,
69,1992-01-05,9,26-098,CGY,@,EDM,W,0,0,0,0,4,0,0,0,0,,,,0,,,,,,,,
70,1992-01-08,10,26-101,CGY,,SJS,W,1,0,1,2,2,1,0,0,0,,,,1,100.0,,,,,,,
71,1992-01-10,11,26-103,CGY,,PIT,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
72,1992-01-13,12,26-106,CGY,@,MTL,T,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
73,1992-01-14,13,26-107,CGY,@,QUE,W,0,0,0,1,0,0,0,0,0,,,,0,,,,,,,,
74,1992-01-16,14,26-109,CGY,@,NYR,L,0,0,0,-1,0,0,0,0,0,,,,0,,,,,,,,
75,1992-01-22,15,26-115,CGY,,NYR,T,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
76,1992-01-24,16,26-117,CGY,@,SJS,W,0,0,0,-1,0,0,0,0,0,,,,2,0.0,,,,,,,
77,1992-01-25,17,26-118,CGY,@,LAK,L,1,0,1,1,0,1,0,0,0,,,,2,50.0,,,,,,,
78,1992-01-27,18,26-120,CGY,,CHI,L,1,0,1,-1,0,1,0,0,0,,,,1,100.0,,,,,,,
79,1992-01-30,19,26-123,CGY,@,BOS,L,0,0,0,0,2,0,0,0,0,,,,2,0.0,,,,,,,
80,1992-02-02,20,26-126,CGY,@,NYI,L,0,0,0,-1,0,0,0,0,0,,,,0,,,,,,,,
81,1992-02-05,21,26-129,CGY,,QUE,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,,,,,,,
82,1992-02-07,22,26-131,CGY,@,WIN,L,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
83,1992-02-11,23,26-135,CGY,,NYI,L,0,0,0,-1,0,0,0,0,0,,,,2,0.0,,,,,,,
84,1992-02-13,24,26-137,CGY,,WSH,T,0,1,1,-1,19,0,0,0,0,,,,0,,,,,,,,
85,1992-02-15,25,26-139,CGY,@,STL,L,0,0,0,-2,2,0,0,0,0,,,,1,0.0,,,,,,,
86,1992-02-16,26,26-140,CGY,@,CHI,T,0,0,0,1,4,0,0,0,0,,,,0,,,,,,,,
87,1992-02-19,27,26-143,CGY,,BOS,W,0,0,0,1,0,0,0,0,0,,,,1,0.0,,,,,,,
88,1992-02-21,28,26-145,CGY,,LAK,W,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
89,1992-02-23,29,26-147,CGY,@,SJS,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
90,1992-02-25,30,26-149,CGY,,BUF,L,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
91,1992-02-27,31,26-151,CGY,,PHI,L,0,0,0,-1,0,0,0,0,0,,,,2,0.0,,,,,,,
92,1992-03-01,32,26-154,CGY,@,VAN,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,,,,,,,
93,1992-03-03,33,26-156,CGY,,PIT,L,0,0,0,-2,2,0,0,0,0,,,,0,,,,,,,,
94,1992-03-05,34,26-158,CGY,,TOR,T,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
95,1992-03-07,35,26-160,CGY,,STL,W,0,0,0,2,0,0,0,0,0,,,,3,0.0,,,,,,,
96,1992-03-10,36,26-163,CGY,@,PIT,L,0,0,0,-1,0,0,0,0,0,,,,0,,,,,,,,
97,1992-03-12,37,26-165,CGY,@,PHI,L,0,0,0,1,4,0,0,0,0,,,,0,,,,,,,,
98,1992-03-14,38,26-167,CGY,,VAN,L,0,0,0,-1,0,0,0,0,0,,,,0,,,,,,,,
99,1992-03-16,39,26-169,CGY,,HAR,L,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
100,1992-03-19,40,26-172,CGY,,SJS,W,0,0,0,1,0,0,0,0,0,,,,2,0.0,,,,,,,
101,1992-03-21,41,26-174,CGY,@,LAK,L,0,0,0,-2,0,0,0,0,0,,,,0,,,,,,,,
102,1992-03-24,42,26-177,CGY,,EDM,T,0,0,0,-1,0,0,0,0,0,,,,0,,,,,,,,
103,1992-03-26,43,26-179,CGY,,LAK,W,0,1,1,2,0,0,0,0,0,,,,1,0.0,,,,,,,
104,1992-03-28,44,26-181,CGY,,MNS,W,0,2,2,3,0,0,0,0,0,,,,0,,,,,,,,
105,1992-03-31,45,26-184,CGY,,EDM,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
106,1992-04-12,46,26-196,CGY,,WIN,L,0,0,0,-1,0,0,0,0,0,,,,0,,,,,,,,
107,1992-04-16,47,26-200,CGY,@,VAN,T,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
108,1992-11-19,1,27-051,CGY,,VAN,W,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
109,1992-11-25,2,27-057,CGY,,SJS,L,0,0,0,1,0,0,0,0,0,,,,0,,,,,,,,
110,1992-11-27,3,27-059,CGY,,TBL,W,0,0,0,-1,0,0,0,0,0,,,,1,0.0,,,,,,,
111,1992-11-28,4,27-060,CGY,,CHI,L,0,1,1,0,0,0,0,0,0,,,,1,0.0,,,,,,,
112,1992-12-02,5,27-064,CGY,,WIN,T,0,1,1,-1,0,0,0,0,0,,,,4,0.0,,,,,,,
113,1992-12-04,6,27-066,CGY,,STL,W,0,2,2,1,0,0,0,0,0,,,,2,0.0,,,,,,,
114,1992-12-07,7,27-069,CGY,,EDM,W,0,0,0,2,2,0,0,0,0,,,,1,0.0,,,,,,,
