,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,2003-01-22,1,23-104,LAK,@,MDA,L,0,0,0,-2,0,0,0,0,0,,,,0,,11,8:03,,,,,
1,2003-03-20,2,23-161,LAK,,TBL,T,0,1,1,1,0,0,0,0,0,,,,2,0.0,21,19:10,,,,,
2,2003-03-22,3,23-163,LAK,,BOS,L-OT,0,0,0,0,0,0,0,0,0,,,,2,0.0,20,16:21,,,,,
3,2003-03-25,4,23-166,LAK,,CBJ,L-OT,0,1,1,0,0,0,0,0,0,,,,3,0.0,18,15:45,,,,,
4,2003-03-27,5,23-168,LAK,@,COL,L,0,0,0,-2,0,0,0,0,0,,,,3,0.0,20,18:10,,,,,
5,2003-03-29,6,23-170,LAK,,VAN,L,0,0,0,-1,0,0,0,0,0,,,,0,,19,16:36,,,,,
6,2003-03-31,7,23-172,LAK,@,PHX,W,0,1,1,1,0,0,0,0,0,,,,0,,17,17:07,,,,,
7,2003-04-02,8,23-174,LAK,,COL,W,0,0,0,0,0,0,0,0,0,,,,0,,17,13:11,,,,,
8,2003-04-04,9,23-176,LAK,@,CGY,L-OT,0,0,0,-1,0,0,0,0,0,,,,2,0.0,22,17:25,,,,,
9,2003-04-06,10,23-178,LAK,@,VAN,W,0,0,0,0,4,0,0,0,0,,,,0,,17,12:09,,,,,
10,2003-10-15,1,24-005,LAK,,OTT,W,0,0,0,0,2,0,0,0,0,,,,2,0.0,21,15:00,,,,,
11,2003-10-18,2,24-008,LAK,,BOS,L,0,0,0,-1,4,0,0,0,0,,,,0,,24,17:48,,,,,
12,2004-01-31,3,24-113,LAK,@,EDM,W,0,0,0,-1,2,0,0,0,0,,,,1,0.0,18,11:05,,,,,
13,2004-02-03,4,24-116,LAK,@,CGY,T,0,0,0,-1,0,0,0,0,0,,,,2,0.0,32,24:41,,,,,
14,2004-02-10,5,24-123,LAK,@,MIN,W,0,0,0,1,0,0,0,0,0,,,,2,0.0,17,13:39,,,,,
15,2004-02-11,6,24-124,LAK,@,CBJ,L-OT,0,0,0,0,0,0,0,0,0,,,,3,0.0,20,14:06,,,,,
16,2004-02-13,7,24-126,LAK,@,BUF,L,0,0,0,-3,2,0,0,0,0,,,,1,0.0,21,14:42,,,,,
17,2004-02-15,8,24-128,LAK,@,NJD,L-OT,1,0,1,1,0,0,1,0,0,,,,2,50.0,17,13:27,,,,,
18,2004-02-16,9,24-129,LAK,@,NYI,T,0,0,0,0,0,0,0,0,0,,,,1,0.0,26,20:56,,,,,
19,2004-02-18,10,24-131,LAK,,DAL,L,0,0,0,1,0,0,0,0,0,,,,2,0.0,20,14:55,,,,,
20,2004-02-21,11,24-134,LAK,,CBJ,W,0,1,1,-1,0,0,0,0,0,,,,2,0.0,17,18:26,,,,,
21,2004-02-23,12,24-136,LAK,,NSH,W,0,1,1,0,2,0,0,0,0,,,,0,,19,17:54,,,,,
22,2004-02-25,13,24-138,LAK,@,DAL,T,0,1,1,1,0,0,0,0,0,,,,0,,23,17:08,,,,,
23,2004-02-28,14,24-141,LAK,,MDA,W,1,0,1,2,0,1,0,0,0,,,,2,50.0,20,17:48,,,,,
24,2004-02-29,15,24-142,LAK,@,MDA,L,0,0,0,-3,0,0,0,0,0,,,,4,0.0,27,21:56,,,,,
