,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,2017-03-09,1,21-298,CAR,,NYR,W,1,0,1,1,0,1,0,0,0,0,0,0,3,33.3,15,11:53,0,0,0,0,
1,2017-03-11,2,21-300,CAR,,TOR,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0:37,0,0,0,0,
2,2018-03-20,1,22-309,CAR,,EDM,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,16,15:05,0,0,0,0,
3,2018-03-22,2,22-311,CAR,,ARI,W,2,0,2,3,0,2,0,0,0,0,0,0,5,40.0,19,12:59,0,0,0,0,
4,2018-03-24,3,22-313,CAR,@,OTT,W,0,2,2,2,0,0,0,0,0,2,0,0,2,0.0,21,13:55,2,0,0,1,0.0
5,2018-03-26,4,22-315,CAR,,OTT,W,1,0,1,1,0,1,0,0,1,0,0,0,3,33.3,20,14:15,1,0,0,0,
6,2018-03-27,5,22-316,CAR,@,NJD,L,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,20,15:49,0,0,0,0,
7,2018-03-30,6,22-319,CAR,@,WSH,W,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,19,16:05,0,1,0,0,
8,2018-03-31,7,22-320,CAR,,NYR,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,12,11:38,0,0,0,0,
9,2018-04-02,8,22-322,CAR,@,FLA,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,22,15:36,0,0,0,0,
10,2018-04-05,9,22-325,CAR,@,PHI,L,0,1,1,0,0,0,0,0,0,1,0,0,0,,18,12:55,0,0,0,0,
11,2018-04-07,10,22-327,CAR,,TBL,W,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,14,8:47,0,0,0,0,
12,2018-10-04,1,23-142,CAR,,NYI,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,13,10:16,0,0,0,0,
13,2018-10-05,2,23-143,CAR,@,CBJ,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,11:44,0,0,0,0,
14,2018-10-13,3,23-151,CAR,@,MIN,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,6,4:43,0,0,0,0,
15,2018-10-14,4,23-152,CAR,@,WPG,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,9:18,0,1,0,1,0.0
16,2018-10-16,5,23-154,CAR,@,TBL,L,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,17,11:38,1,0,0,0,
17,2018-10-20,6,23-158,CAR,,COL,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,13,11:46,0,0,1,1,50.0
18,2018-10-22,7,23-160,CAR,@,DET,W,0,1,1,-1,0,0,0,0,0,0,1,0,3,0.0,13,11:25,1,1,0,1,0.0
19,2018-10-26,8,23-164,CAR,,SJS,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,11,10:40,1,0,0,0,
20,2018-10-28,9,23-166,CAR,,NYI,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,12,11:17,2,0,1,0,100.0
21,2018-10-30,10,23-168,CAR,,BOS,L,0,1,1,0,0,0,0,0,0,0,1,0,1,0.0,14,10:02,1,0,0,0,
22,2018-11-02,11,23-171,CAR,@,ARI,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,0,,17,12:38,0,0,0,1,0.0
23,2018-11-03,12,23-172,CAR,@,VEG,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,9,4:41,0,0,0,1,0.0
24,2018-11-06,13,23-175,CAR,@,STL,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,10,6:38,0,0,0,1,0.0
25,2018-12-07,14,23-206,EDM,,MIN,W,0,0,0,0,2,0,0,0,0,0,0,0,0,,16,11:41,2,1,0,0,
26,2018-12-09,15,23-208,EDM,,CGY,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,8,7:01,0,0,0,0,
