	 Date	 Team	 Acquired	 Relinquished	 Notes
0	2002-08-01	 Sabres	 	 • Maxim Afinogenov	 head injury (out indefinitely) (date approximate)
1	2005-11-11	 Sabres	 	 • Maxim Afinogenov	 rib injury (DTD)
2	2005-11-22	 Sabres	 • Maxim Afinogenov	 	 returned to lineup
3	2006-11-04	 Sabres	 	 • Maxim Afinogenov	 shoulder injury (DTD)
4	2006-11-17	 Sabres	 • Maxim Afinogenov	 	 returned to lineup
5	2007-02-15	 Sabres	 	 • Maxim Afinogenov	 broken left wrist (out indefinitely)
6	2007-04-05	 Sabres	 • Maxim Afinogenov	 	 returned to lineup
7	2008-01-04	 Sabres	 	 • Maxim Afinogenov	 groin injury (DTD)
8	2008-02-29	 Sabres	 • Maxim Afinogenov	 	 returned to lineup
9	2009-01-05	 Sabres	 	 • Maxim Afinogenov	 groin injury (DTD)
10	2009-03-04	 Sabres	 • Maxim Afinogenov	 	 returned to lineup
11	2009-04-09	 Sabres	 	 • Maxim Afinogenov	 flu (DTD)
