	 Date	 Team	 Acquired	 Relinquished	 Notes
0	2015-11-09	 Predators	 	 • Carter Hutton	 placed on IR with undisclosed injury
1	2015-11-15	 Predators	 • Carter Hutton	 	 activated from IR
2	2015-11-28	 Predators	 	 • Carter Hutton	 lower body injury (DTD)
3	2015-12-01	 Predators	 • Carter Hutton	 	 returned to lineup
4	2017-12-07	 Blues	 	 • Carter Hutton	 placed on IR with lower body injury
5	2017-12-15	 Blues	 • Carter Hutton	 	 activated from IR
6	2018-03-10	 Blues	 	 • Carter Hutton	 neck injury (DTD)
7	2018-03-27	 Blues	 • Carter Hutton	 	 returned to lineup
8	2018-12-07	 Sabres	 	 • Carter Hutton	 upper body injury (DTD)
9	2018-12-11	 Sabres	 • Carter Hutton	 	 returned to lineup
