	 Date	 Team	 Acquired	 Relinquished	 Notes
0	2006-01-19	 Mighty Ducks	 	 • Zenon Konopka	 sprained ankle (DTD)
1	2006-03-05	 Mighty Ducks	 • Zenon Konopka	 	 returned to lineup
2	2009-12-21	 Lightning	 	 • Zenon Konopka	 neck injury (DTD)
3	2009-12-23	 Lightning	 • Zenon Konopka	 	 returned to lineup
4	2010-03-09	 Lightning	 	 • Zenon Konopka	 back injury (DTD)
5	2010-03-20	 Lightning	 • Zenon Konopka	 	 returned to lineup
6	2013-04-13	 Wild	 	 • Zenon Konopka	 fractured foot (DTD)
7	2013-04-23	 Wild	 • Zenon Konopka	 	 returned to lineup
8	2013-05-09	 Wild	 	 • Zenon Konopka	 undisclosed (out for season)
9	2013-11-30	 Wild	 	 • Zenon Konopka	 facial injury (DTD)
10	2013-12-02	 Wild	 • Zenon Konopka	 	 returned to lineup
11	2014-02-25	 Sabres	 	 • Zenon Konopka	 finger injury (DTD)
12	2014-02-28	 Sabres	 • Zenon Konopka	 	 returned to lineup
13	2014-03-25	 Sabres	 	 • Zenon Konopka	 back injury (DTD)
14	2014-04-13	 Sabres	 • Zenon Konopka	 	 returned to lineup
