	 Date	 Team	 Acquired	 Relinquished	 Notes
0	2009-12-20	 Panthers	 	 • Dmitry Kulikov	 knee injury (out indefinitely)
1	2010-01-21	 Panthers	 • Dmitry Kulikov	 	 activated from IR
2	2011-01-20	 Panthers	 	 • Dmitry Kulikov	 ribs injury (DTD)
3	2011-01-25	 Panthers	 • Dmitry Kulikov	 	 returned to lineup
4	2011-02-13	 Panthers	 	 • Dmitry Kulikov	 bruised ankle (DTD)
5	2011-02-18	 Panthers	 	 • Dmitry Kulikov	 placed on IR with bruised ankle
6	2011-02-27	 Panthers	 • Dmitry Kulikov	 	 activated from IR
7	2011-11-23	 Panthers	 	 • Dmitry Kulikov	 lower body injury (DTD)
8	2011-11-25	 Panthers	 • Dmitry Kulikov	 	 returned to lineup
9	2012-01-24	 Panthers	 	 • Dmitry Kulikov	 placed on IR with surgery on knee
10	2012-03-17	 Panthers	 • Dmitry Kulikov	 	 activated from IR
11	2013-03-03	 Panthers	 	 • Dmitry Kulikov	 placed on IR with wrist injury
12	2013-03-23	 Panthers	 • Dmitry Kulikov	 	 activated from IR
13	2013-04-22	 Panthers	 	 • Dmitry Kulikov	 shoulder injury (out for season)
14	2014-11-09	 Panthers	 	 • Dmitry Kulikov	 sprained left knee (DTD)
15	2014-11-20	 Panthers	 • Dmitry Kulikov	 	 returned to lineup
16	2015-01-09	 Panthers	 	 • Dmitry Kulikov	 flu (DTD)
17	2015-01-11	 Panthers	 • Dmitry Kulikov	 	 returned to lineup
18	2015-11-15	 Panthers	 	 • Dmitry Kulikov	 leg injury (DTD)
19	2015-11-27	 Panthers	 	 • Dmitry Kulikov	 placed on IR with leg injury
20	2015-12-04	 Panthers	 • Dmitry Kulikov	 	 activated from IR
21	2016-10-01	 Sabres	 	 • Dmitry Kulikov	 middle body injury (DTD)
22	2016-10-13	 Sabres	 	 • Dmitry Kulikov	 lower body injury (DTD)
23	2016-10-16	 Sabres	 • Dmitry Kulikov	 	 returned to lineup
24	2016-11-11	 Sabres	 	 • Dmitry Kulikov	 undisclosed injury (DTD)
25	2016-12-05	 Sabres	 	 • Dmitry Kulikov	 placed on IR with back injury
26	2016-12-09	 Sabres	 • Dmitry Kulikov	 	 activated from IR
27	2016-12-29	 Sabres	 	 • Dmitry Kulikov	 lower body injury (DTD)
28	2017-01-05	 Sabres	 	 • Dmitry Kulikov	 placed on IR with lower body injury
29	2017-01-24	 Sabres	 • Dmitry Kulikov	 	 activated from IR
30	2017-03-05	 Sabres	 	 • Dmitry Kulikov	 upper body injury (DTD)
31	2017-03-25	 Sabres	 • Dmitry Kulikov	 	 returned to lineup
32	2017-10-17	 Jets	 	 • Dmitry Kulikov	 lower body injury (DTD)
33	2017-10-26	 Jets	 • Dmitry Kulikov	 	 returned to lineup
34	2018-01-25	 Jets	 	 • Dmitry Kulikov	 concussion (DTD)
35	2018-02-02	 Jets	 • Dmitry Kulikov	 	 returned to lineup
36	2018-03-09	 Jets	 	 • Dmitry Kulikov	 upper body injury (DTD)
37	2018-03-17	 Jets	 	 • Dmitry Kulikov	 back injury (DTD)
38	2018-05-20	 Jets	 • Dmitry Kulikov	 	 returned to lineup
39	2018-11-10	 Jets	 	 • Dmitry Kulikov	 upper body injury (out indefinitely)
40	2018-11-11	 Jets	 	 • Dmitry Kulikov	 placed on IR with upper body injury
41	2018-12-07	 Jets	 • Dmitry Kulikov	 	 activated from IR
42	2019-02-09	 Jets	 	 • Dmitry Kulikov	 upper body injury (DTD)
43	2019-02-16	 Jets	 • Dmitry Kulikov	 	 returned to lineup
44	2019-11-30	 Jets	 	 • Dmitry Kulikov	 upper body injury (DTD)
45	2019-12-04	 Jets	 	 • Dmitry Kulikov	 placed on IR with upper body injury
46	2020-01-09	 Jets	 • Dmitry Kulikov	 	 activated from IR
47	2020-01-14	 Jets	 	 • Dmitry Kulikov	 flu (DTD)
48	2020-01-17	 Jets	 • Dmitry Kulikov	 	 returned to lineup
