	 Date	 Team	 Acquired	 Relinquished	 Notes
0	2016-02-09	 Blackhawks	 	 • Artemi Panarin	 illness (DTD)
1	2016-02-13	 Blackhawks	 • Artemi Panarin	 	 returned to lineup
2	2018-11-15	 Blue Jackets	 	 • Artemi Panarin	 illness (DTD)
3	2018-11-17	 Blue Jackets	 • Artemi Panarin	 	 returned to lineup
4	2018-12-17	 Blue Jackets	 	 • Artemi Panarin	 lower body injury (DTD)
5	2018-12-19	 Blue Jackets	 • Artemi Panarin	 	 returned to lineup
6	2019-02-19	 Blue Jackets	 	 • Artemi Panarin	 illness (DTD)
7	2019-02-22	 Blue Jackets	 • Artemi Panarin	 	 returned to lineup
8	2020-01-21	 Rangers	 	 • Artemi Panarin	 upper body injury (DTD)
9	2020-01-30	 Rangers	 • Artemi Panarin	 	 returned to lineup
