	 Date	 Team	 Acquired	 Relinquished	 Notes
0	2006-12-22	 Maple Leafs	 	 • Alexei Ponikarovsky	 shoulder injury (DTD)
1	2007-01-16	 Maple Leafs	 • Alexei Ponikarovsky	 	 returned to lineup
2	2007-10-11	 Maple Leafs	 	 • Alexei Ponikarovsky	 ankle injury (DTD)
3	2007-10-18	 Maple Leafs	 • Alexei Ponikarovsky	 	 returned to lineup
4	2007-11-27	 Maple Leafs	 	 • Alexei Ponikarovsky	 leg injury (DTD)
5	2007-12-01	 Maple Leafs	 • Alexei Ponikarovsky	 	 returned to lineup
6	2008-01-24	 Maple Leafs	 	 • Alexei Ponikarovsky	 placed on IR with shoulder injury
7	2008-02-13	 Maple Leafs	 • Alexei Ponikarovsky	 	 activated from IR
8	2008-02-25	 Maple Leafs	 	 • Alexei Ponikarovsky	 rib injury (DTD)
9	2008-03-04	 Maple Leafs	 • Alexei Ponikarovsky	 	 returned to lineup
10	2010-11-08	 Kings	 	 • Alexei Ponikarovsky	 broken finger (DTD)
11	2010-11-16	 Kings	 	 • Alexei Ponikarovsky	 placed on IR with broken finger
12	2010-12-09	 Kings	 • Alexei Ponikarovsky	 	 activated from IR
13	2010-12-27	 Kings	 	 • Alexei Ponikarovsky	 lower body injury (DTD)
14	2011-01-08	 Kings	 • Alexei Ponikarovsky	 	 returned to lineup
15	2012-03-02	 Devils	 	 • Alexei Ponikarovsky	 right leg injury (DTD)
16	2012-03-08	 Devils	 • Alexei Ponikarovsky	 	 returned to lineup
17	2013-03-20	 Devils	 	 • Alexei Ponikarovsky	 lower body injury (DTD)
18	2013-03-24	 Devils	 	 • Alexei Ponikarovsky	 placed on IR
19	2013-03-29	 Devils	 • Alexei Ponikarovsky	 	 activated from IR
