	 Date	 Team	 Acquired	 Relinquished	 Notes
0	2015-12-18	 Rangers	 	 • Antti Raanta	 head injury (DTD)
1	2015-12-28	 Rangers	 • Antti Raanta	 	 returned to lineup
2	2017-01-15	 Rangers	 	 • Antti Raanta	 placed on IR with lower body injury
3	2017-01-17	 Rangers	 	 • Antti Raanta	 placed on IR with lower body injury
4	2017-01-31	 Rangers	 • Antti Raanta	 	 activated from IR
5	2017-04-09	 Rangers	 	 • Antti Raanta	 knee injury (out for season)
6	2017-10-14	 Coyotes	 	 • Antti Raanta	 lower body injury (DTD)
7	2017-10-29	 Coyotes	 	 • Antti Raanta	 placed on IR with lower body injury
8	2017-11-02	 Coyotes	 • Antti Raanta	 	 activated from IR
9	2017-11-23	 Coyotes	 	 • Antti Raanta	 upper body injury (DTD)
10	2017-11-29	 Coyotes	 	 • Antti Raanta	 placed on IR with upper body injury
11	2017-12-05	 Coyotes	 • Antti Raanta	 	 activated from IR
12	2018-02-01	 Coyotes	 	 • Antti Raanta	 upper body injury (DTD)
13	2018-02-06	 Coyotes	 • Antti Raanta	 	 returned to lineup
14	2018-03-06	 Coyotes	 	 • Antti Raanta	 lower body injury (DTD)
15	2018-03-17	 Coyotes	 • Antti Raanta	 	 returned to lineup
16	2018-11-07	 Coyotes	 	 • Antti Raanta	 placed on IR with lower body injury
17	2018-11-23	 Coyotes	 • Antti Raanta	 	 activated from IR
18	2018-11-29	 Coyotes	 	 • Antti Raanta	 lower body injury (out for season)
19	2018-12-06	 Coyotes	 	 • Antti Raanta	 placed on IR with lower body injury (out for season)
20	2019-10-02	 Coyotes	 	 • Antti Raanta	 lower body injury (DTD)
21	2019-10-05	 Coyotes	 • Antti Raanta	 	 returned to lineup
22	2019-11-27	 Coyotes	 	 • Antti Raanta	 illness (DTD)
23	2019-11-30	 Coyotes	 • Antti Raanta	 	 returned to lineup
24	2019-12-17	 Coyotes	 	 • Antti Raanta	 illness (DTD)
25	2019-12-19	 Coyotes	 • Antti Raanta	 	 returned to lineup
26	2020-01-06	 Coyotes	 	 • Antti Raanta	 lower body injury (DTD)
27	2020-01-10	 Coyotes	 • Antti Raanta	 	 returned to lineup
28	2020-01-11	 Coyotes	 	 • Antti Raanta	 lower body injury (DTD)
29	2020-01-17	 Coyotes	 • Antti Raanta	 	 returned to lineup
30	2020-02-08	 Coyotes	 	 • Antti Raanta	 lower body injury (DTD)
31	2020-08-04	 Coyotes	 	 • Antti Raanta	 undisclosed (DTD)
32	2020-08-14	 Coyotes	 • Antti Raanta	 	 returned to lineup
