	 Date	 Team	 Acquired	 Relinquished	 Notes
0	2005-11-22	 Flyers	 	 • Mike Richards	 sprained right wrist (DTD)
1	2005-11-25	 Flyers	 • Mike Richards	 	 returned to lineup
2	2005-12-15	 Flyers	 	 • Mike Richards	 concussion (left game)
3	2005-12-16	 Flyers	 	 • Mike Richards	 head injury (DTD)
4	2005-12-22	 Flyers	 • Mike Richards	 	 returned to lineup
5	2006-12-10	 Flyers	 	 • Mike Richards	 sports hernia (out 4-6 weeks)
6	2007-01-18	 Flyers	 • Mike Richards	 	 returned to lineup
7	2007-03-21	 Flyers	 	 • Mike Richards	 separated left shoulder (out 1-3 weeks)
8	2007-04-07	 Flyers	 • Mike Richards	 	 returned to lineup
9	2008-02-25	 Flyers	 	 • Mike Richards	 hamstring injury (out indefinitely)
10	2008-03-15	 Flyers	 • Mike Richards	 	 returned to lineup
11	2009-02-04	 Flyers	 	 • Mike Richards	 flu (DTD)
12	2009-02-12	 Flyers	 • Mike Richards	 	 returned to lineup
13	2011-02-18	 Flyers	 	 • Mike Richards	 flu (DTD)
14	2011-02-20	 Flyers	 • Mike Richards	 	 returned to lineup
15	2011-12-02	 Kings	 	 • Mike Richards	 placed on IR with head injury
16	2011-12-22	 Kings	 • Mike Richards	 	 activated from IR
17	2013-06-02	 Kings	 	 • Mike Richards	 upper body injury (DTD)
18	2013-06-08	 Kings	 • Mike Richards	 	 returned to lineup
