	 Date	 Team	 Acquired	 Relinquished	 Notes
0	2005-12-04	 Flyers	 	 • Patrick Sharp	 head injury (DTD)
1	2006-01-17	 Blackhawks	 	 • Patrick Sharp	 flu (DTD)
2	2007-11-24	 Blackhawks	 	 • Patrick Sharp	 flu (DTD)
3	2007-11-28	 Blackhawks	 • Patrick Sharp	 	 returned to lineup
4	2009-02-15	 Blackhawks	 	 • Patrick Sharp	 sprained left knee (DTD)
5	2009-02-18	 Blackhawks	 	 • Patrick Sharp	 placed on IR with sprained left knee
6	2009-03-22	 Blackhawks	 • Patrick Sharp	 	 activated from IR
7	2009-04-04	 Blackhawks	 	 • Patrick Sharp	 left leg injury (DTD)
8	2009-04-16	 Blackhawks	 • Patrick Sharp	 	 returned to lineup
9	2010-10-09	 Blackhawks	 	 • Patrick Sharp	 upper body injury (DTD)
10	2010-10-11	 Blackhawks	 • Patrick Sharp	 	 returned to lineup
11	2011-03-21	 Blackhawks	 	 • Patrick Sharp	 left knee injury (out indefinitely)
12	2011-04-06	 Blackhawks	 • Patrick Sharp	 	 returned to lineup
13	2012-01-09	 Blackhawks	 	 • Patrick Sharp	 placed on IR with hand injury
14	2012-01-31	 Blackhawks	 • Patrick Sharp	 	 activated from IR
15	2013-03-07	 Blackhawks	 	 • Patrick Sharp	 placed on IR with sprained left shoulder
16	2013-04-09	 Blackhawks	 • Patrick Sharp	 	 activated from IR
17	2013-04-14	 Blackhawks	 	 • Patrick Sharp	 shoulder injury (DTD)
18	2013-04-24	 Blackhawks	 • Patrick Sharp	 	 returned to lineup
19	2014-11-05	 Blackhawks	 	 • Patrick Sharp	 right leg injury (DTD)
20	2014-11-21	 Blackhawks	 	 • Patrick Sharp	 placed on IR with right leg injury
21	2014-12-09	 Blackhawks	 • Patrick Sharp	 	 activated from IR
22	2016-03-03	 Stars	 	 • Patrick Sharp	 lower body injury (DTD)
23	2016-03-17	 Stars	 • Patrick Sharp	 	 returned to lineup
24	2016-10-21	 Stars	 	 • Patrick Sharp	 placed on IR with concussion-like symptoms
25	2016-11-18	 Stars	 • Patrick Sharp	 	 activated from IR
26	2016-12-03	 Stars	 	 • Patrick Sharp	 placed on IR with concussion
27	2016-12-31	 Stars	 • Patrick Sharp	 	 activated from IR
28	2017-03-25	 Stars	 	 • Patrick Sharp	 surgery on hip (out for season)
