	 Date	 Team	 Acquired	 Relinquished	 Notes
0	2007-11-23	 Sabres	 	 • Drew Stafford	 shoulder injury (DTD)
1	2007-11-28	 Sabres	 • Drew Stafford	 	 returned to lineup
2	2007-12-28	 Sabres	 	 • Drew Stafford	 concussion (DTD)
3	2008-01-04	 Sabres	 • Drew Stafford	 	 returned to lineup
4	2008-02-01	 Sabres	 	 • Drew Stafford	 sprained right ankle (DTD)
5	2008-02-05	 Sabres	 • Drew Stafford	 	 returned to lineup
6	2008-02-09	 Sabres	 	 • Drew Stafford	 right ankle injury (out indefinitely)
7	2008-02-29	 Sabres	 • Drew Stafford	 	 returned to lineup
8	2009-11-14	 Sabres	 	 • Drew Stafford	 hip flexor (DTD)
9	2009-11-18	 Sabres	 • Drew Stafford	 	 returned to lineup
10	2009-11-21	 Sabres	 	 • Drew Stafford	 bruised hip (DTD)
11	2009-11-25	 Sabres	 • Drew Stafford	 	 returned to lineup
12	2010-03-06	 Sabres	 	 • Drew Stafford	 groin injury (DTD)
13	2010-03-20	 Sabres	 • Drew Stafford	 	 returned to lineup
14	2010-04-11	 Sabres	 	 • Drew Stafford	 concussion (DTD)
15	2010-04-19	 Sabres	 • Drew Stafford	 	 returned to lineup
16	2010-11-06	 Sabres	 	 • Drew Stafford	 upper body injury (out indefinitely)
17	2010-12-03	 Sabres	 • Drew Stafford	 	 activated from IR
18	2010-12-04	 Sabres	 	 • Drew Stafford	 upper body injury (DTD)
19	2010-12-15	 Sabres	 • Drew Stafford	 	 returned to lineup
20	2011-01-19	 Sabres	 	 • Drew Stafford	 groin injury (DTD)
21	2011-01-25	 Sabres	 • Drew Stafford	 	 returned to lineup
22	2011-03-12	 Sabres	 	 • Drew Stafford	 hamstring injury (DTD)
23	2011-03-15	 Sabres	 • Drew Stafford	 	 returned to lineup
24	2012-02-01	 Sabres	 	 • Drew Stafford	 flu (DTD)
25	2012-02-04	 Sabres	 • Drew Stafford	 	 returned to lineup
26	2014-01-03	 Sabres	 	 • Drew Stafford	 upper body injury (out indefinitely)
27	2014-01-09	 Sabres	 	 • Drew Stafford	 placed on IR with upper body injury
28	2014-01-15	 Sabres	 • Drew Stafford	 	 activated from IR
29	2014-01-27	 Sabres	 	 • Drew Stafford	 upper body injury (DTD)
30	2014-01-30	 Sabres	 	 • Drew Stafford	 placed on IR with upper body injury
31	2014-02-03	 Sabres	 • Drew Stafford	 	 activated from IR
32	2014-04-03	 Sabres	 	 • Drew Stafford	 undisclosed (DTD)
33	2014-04-09	 Sabres	 • Drew Stafford	 	 returned to lineup
34	2014-11-29	 Sabres	 	 • Drew Stafford	 lower body injury (DTD)
35	2014-12-06	 Sabres	 • Drew Stafford	 	 returned to lineup
36	2016-01-15	 Jets	 	 • Drew Stafford	 placed on IR with undisclosed injury
37	2016-01-17	 Jets	 	 • Drew Stafford	 placed on IR with undisclosed injury (CBC)
38	2016-01-23	 Jets	 • Drew Stafford	 	 activated from IR
39	2016-10-26	 Jets	 	 • Drew Stafford	 upper body injury (DTD)
40	2016-11-01	 Jets	 	 • Drew Stafford	 placed on IR with upper body injury
41	2016-11-23	 Jets	 • Drew Stafford	 	 activated from IR
42	2017-01-22	 Jets	 	 • Drew Stafford	 lower body injury (DTD)
43	2017-01-24	 Jets	 	 • Drew Stafford	 placed on IR with lower body injury
44	2017-02-07	 Jets	 • Drew Stafford	 	 activated from IR
45	2017-02-18	 Jets	 	 • Drew Stafford	 illness (DTD)
46	2017-02-28	 Jets	 • Drew Stafford	 	 returned to lineup
47	2017-10-09	 Devils	 	 • Drew Stafford	 lower body injury (DTD)
48	2017-10-14	 Devils	 • Drew Stafford	 	 returned to lineup
49	2018-02-22	 Devils	 	 • Drew Stafford	 lower body injury (DTD)
50	2018-02-24	 Devils	 • Drew Stafford	 	 returned to lineup
51	2018-10-23	 Devils	 	 • Drew Stafford	 placed on IR with upper body injury
52	2018-11-03	 Devils	 • Drew Stafford	 	 activated from IR
